N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
31.77   48.56   51.51   52.04   1.29   
49.11   49.05   63.59   51.88   2.06   
49.17   49.02   64.60   51.85   2.05   
49.11   48.60   64.19   52.25   1.99   
49.28   48.74   65.82   52.67   2.01   
49.20   48.37   60.21   51.44   2.01   
47.48   47.72   63.36   52.33   1.93   
48.90   48.81   64.88   52.30   2.02   
49.03   48.12   63.88   52.34   2.13   
48.85   48.74   64.50   50.26   1.98   
47.75   47.83   65.43   52.11   1.95   
49.08   48.82   65.95   51.77   2.10   
48.85   48.59   65.06   52.42   2.05   
49.29   48.85   64.71   52.14   2.06   
49.01   48.87   64.94   52.91   2.05   
49.32   48.56   64.74   52.34   2.06   
49.00   48.62   64.41   52.52   2.05   
49.11   49.07   64.79   52.70   2.05   
49.23   48.86   65.95   52.56   2.06   
49.30   48.87   60.28   52.39   2.04   
47.88   47.85   64.31   52.00   1.94   
49.37   48.84   64.85   52.92   1.99   
49.34   48.91   64.89   52.76   2.09   
49.12   48.69   63.92   52.58   2.05   
49.21   49.02   64.60   52.70   2.06   
49.03   48.91   64.76   52.71   2.05   
49.11   48.86   62.81   52.39   2.06   
47.76   47.65   41.47   48.61   2.03   
46.29   42.17   53.28   47.73   2.11   
46.96   45.28   57.03   48.85   1.99   
48.22   48.87   63.80   52.61   1.98   
49.20   48.78   63.78   52.48   2.01   
49.16   47.99   64.97   51.95   1.98   
49.22   47.93   62.43   47.71   2.14   
48.97   44.99   63.76   52.62   2.00   
48.81   48.71   63.54   53.03   2.00   
49.13   48.70   63.88   52.47   2.01   
49.19   48.08   62.43   48.04   2.10   
48.12   47.39   64.40   52.41   1.95   
49.29   48.84   65.94   52.57   1.99   
49.44   48.68   65.72   52.60   2.00   
49.43   47.92   64.85   52.93   2.03   
49.35   48.90   64.65   52.75   2.07   
49.10   48.65   53.56   49.87   2.09   
48.96   47.81   63.36   52.49   2.03   
49.20   48.15   65.86   52.68   2.07   
49.37   48.87   65.61   51.26   2.09   
47.28   48.53   60.43   51.46   1.98   
48.35   48.82   64.12   52.70   2.04   
49.29   48.34   64.78   52.40   2.06   
48.97   49.03   62.86   52.64   2.05   
49.24   48.63   64.97   52.67   2.06   
49.23   48.78   65.86   52.63   2.06   
49.34   48.87   64.72   52.56   2.06   
49.43   48.78   65.26   52.62   2.08   
49.48   48.75   64.29   52.96   2.07   
48.93   48.53   64.65   52.69   2.05   
49.28   48.65   64.79   52.56   2.05   
49.25   48.80   64.48   51.07   2.17   
47.14   47.34   64.69   51.79   1.98   
49.23   48.25   65.74   51.79   2.14   
47.52   46.39   62.30   51.07   1.95   
48.72   48.87   63.43   52.33   2.05   
49.08   49.01   59.72   51.69   2.00   
48.57   47.16   64.07   52.31   1.97   
48.81   48.54   58.08   48.94   2.06   
49.07   48.66   65.73   52.57   1.99   
49.50   48.22   64.81   53.01   2.07   
49.37   48.93   64.80   52.75   2.07   
48.91   49.02   64.64   52.66   2.04   
49.14   49.08   64.83   52.51   2.06   
49.20   48.68   64.90   52.56   2.06   
49.29   48.75   65.95   52.42   2.07   
49.43   48.82   65.68   52.66   2.08   
49.43   48.88   65.81   52.61   2.08   
49.34   48.82   64.88   47.78   2.12   
48.44   48.00   64.22   52.45   2.03   
49.03   49.10   64.54   52.47   2.04   
47.07   46.36   61.23   51.88   2.02   
49.37   48.00   65.34   51.90   2.07   
49.38   48.60   65.70   52.44   2.08   
47.79   44.92   56.90   47.69   1.94   
46.96   48.29   62.73   52.38   1.98   
48.84   48.68   64.04   52.47   2.05   
49.08   48.44   63.49   52.26   2.08   
49.46   48.40   65.88   52.56   2.08   
49.44   48.83   65.45   52.81   2.09   
49.12   48.81   64.69   53.15   2.06   
49.14   48.99   64.69   47.68   2.14   
49.09   47.18   60.29   52.20   2.08   
49.32   48.50   65.66   52.82   1.99   
49.38   48.84   65.59   52.70   2.00   
49.32   47.85   65.46   52.06   1.99   
49.29   48.57   64.92   52.51   2.02   
49.44   48.78   64.83   53.06   2.00   
49.41   48.90   53.26   49.93   1.99   
48.97   47.24   62.91   50.94   2.14   
47.56   47.90   64.79   52.63   1.92   
49.41   48.84   65.99   52.60   2.00   
48.41   48.74   65.94   52.58   1.96   
