N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
36.81   48.38   56.51   49.66   1.63   
44.75   45.45   58.55   52.24   1.87   
47.38   46.95   58.29   51.55   1.93   
48.44   47.34   62.96   51.47   1.96   
48.59   47.89   64.73   51.67   2.06   
49.14   47.45   60.71   36.10   2.07   
49.01   48.43   63.69   51.82   2.07   
46.06   46.99   54.18   48.46   1.87   
48.66   48.43   64.81   51.80   1.98   
48.66   48.38   63.74   52.17   1.98   
48.69   43.30   55.20   48.27   1.99   
47.77   45.19   61.08   49.69   1.96   
48.84   48.09   61.13   51.87   2.06   
48.92   47.66   64.55   51.76   2.06   
48.35   48.63   64.17   51.57   2.07   
48.49   48.60   63.58   52.17   2.09   
49.17   48.37   63.95   51.99   2.09   
49.10   48.02   63.21   51.29   2.06   
48.82   47.98   64.59   51.86   2.06   
48.62   48.72   64.59   51.88   2.04   
48.78   48.60   64.50   51.22   2.06   
47.92   46.99   63.31   51.87   2.03   
48.81   48.60   64.38   51.45   2.07   
48.62   48.69   63.78   52.01   2.04   
49.05   48.62   64.67   52.05   2.10   
49.11   48.19   64.69   52.05   2.11   
48.97   48.15   64.81   52.08   2.07   
49.13   48.62   64.73   52.12   2.08   
49.14   48.25   64.59   51.76   2.13   
48.84   48.11   64.43   51.37   2.10   
49.10   47.28   64.74   51.61   2.08   
49.03   48.63   64.65   52.02   2.06   
49.19   48.23   64.78   51.51   2.10   
49.03   48.57   64.29   52.23   2.09   
48.97   48.65   64.57   51.78   2.08   
48.75   48.34   63.85   51.01   2.07   
48.82   48.21   64.05   50.81   2.07   
48.78   48.66   64.69   52.14   2.05   
49.17   48.56   64.71   52.09   2.07   
49.15   48.62   63.01   52.10   2.07   
49.16   48.65   63.78   51.97   2.12   
49.14   48.25   64.50   51.95   2.08   
48.82   47.92   64.34   51.18   2.09   
49.05   47.53   64.31   52.05   2.07   
49.22   47.29   64.33   52.14   2.07   
49.14   48.32   64.71   52.23   2.10   
49.11   48.62   64.62   52.12   2.08   
48.99   48.35   64.69   51.97   2.06   
49.08   48.71   62.79   51.70   2.06   
49.12   48.66   64.71   51.42   2.07   
48.80   47.04   63.63   52.10   2.05   
49.06   48.59   64.81   50.83   2.07   
48.12   48.65   64.71   52.18   2.03   
49.20   48.72   64.13   52.12   2.07   
49.02   48.72   64.50   52.09   2.08   
48.59   48.51   63.58   52.12   2.05   
49.10   48.41   63.73   51.49   2.11   
47.41   45.77   64.12   52.13   2.02   
48.88   48.66   64.69   51.93   2.06   
49.16   48.69   64.57   52.01   2.12   
49.02   48.70   64.69   51.77   2.06   
49.02   48.64   64.74   52.16   2.10   
49.05   47.81   64.17   51.39   2.08   
48.53   48.59   63.52   52.24   2.05   
48.81   48.50   63.61   51.79   2.06   
49.21   48.40   63.76   52.19   2.07   
49.02   48.69   64.81   52.08   2.06   
49.06   48.69   64.76   51.78   2.06   
49.14   48.53   64.69   52.25   2.10   
48.91   48.63   64.52   51.98   2.08   
48.81   48.66   64.71   51.45   2.05   
49.09   48.01   64.66   52.14   2.06   
49.10   48.66   64.38   52.05   2.07   
49.14   48.57   64.31   50.53   2.07   
49.06   48.60   63.61   51.98   2.07   
47.79   48.39   61.41   51.65   2.02   
48.40   47.03   64.33   52.25   2.04   
49.08   48.25   64.60   52.23   2.06   
48.17   47.79   64.29   52.08   2.03   
48.97   48.75   64.33   52.12   2.09   
49.19   48.59   64.50   52.13   2.07   
49.12   48.72   63.85   52.17   2.09   
49.17   48.69   64.47   51.97   2.07   
48.12   48.70   64.60   52.18   2.03   
48.72   48.30   64.76   51.86   2.05   
49.13   48.62   64.71   51.92   2.06   
48.99   48.34   64.83   52.24   2.07   
49.07   48.54   64.00   51.69   2.10   
49.12   48.72   64.17   52.13   2.08   
49.02   48.72   64.66   51.92   2.06   
49.00   48.27   64.69   51.55   2.09   
47.87   47.99   64.48   51.56   2.01   
49.19   48.57   64.15   51.69   2.10   
49.01   48.27   64.55   51.92   2.08   
49.01   48.27   64.41   51.80   2.08   
49.07   48.65   63.71   51.61   2.08   
48.80   48.65   64.85   51.97   2.05   
49.12   48.65   64.19   51.35   2.07   
49.16   48.37   63.37   52.06   2.07   
48.51   48.69   64.60   52.14   2.07   
