N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
129.85   134.81   124.41   125.45   2.01   
130.71   138.40   129.11   130.01   1.96   
137.80   136.40   131.95   132.09   2.03   
138.65   140.22   133.86   129.37   2.04   
137.80   141.34   129.94   129.74   1.95   
140.72   136.07   130.71   132.09   2.02   
139.26   139.84   132.68   130.51   1.99   
135.68   137.46   132.16   131.09   1.94   
140.22   139.14   131.36   132.38   2.02   
139.84   140.37   133.40   131.23   2.03   
134.46   135.35   132.38   131.29   1.90   
139.72   139.99   130.87   129.59   2.02   
138.43   137.80   131.72   130.44   1.97   
139.49   139.00   133.49   132.09   2.04   
138.40   140.10   132.09   126.26   2.05   
139.37   141.34   132.09   130.85   2.00   
137.24   139.00   130.87   132.73   2.01   
139.52   134.68   132.30   131.59   1.98   
139.84   140.25   131.52   131.93   2.02   
139.72   139.26   132.02   131.14   2.00   
139.37   140.34   131.65   131.29   1.95   
136.18   139.26   131.28   130.87   1.99   
139.84   138.43   130.85   132.68   2.03   
138.40   140.34   131.29   129.39   2.00   
137.72   136.40   130.14   130.58   1.96   
139.61   136.76   130.16   131.36   1.97   
134.46   142.48   131.79   127.92   1.93   
140.10   136.65   131.43   130.58   2.04   
138.06   136.18   130.92   131.52   1.97   
140.72   138.06   132.24   131.14   2.01   
142.60   141.10   133.12   130.78   2.12   
142.85   139.49   131.00   132.45   2.01   
136.29   141.22   131.65   130.78   1.96   
139.14   135.14   132.59   130.58   1.99   
138.06   141.46   131.79   129.39   1.98   
139.03   140.84   131.57   132.89   2.01   
139.61   138.06   130.36   130.31   2.00   
141.46   137.80   130.58   131.23   2.07   
142.09   139.14   130.65   130.85   2.04   
135.71   136.15   131.59   131.95   1.99   
141.61   137.46   133.03   130.09   2.06   
135.93   136.07   128.48   131.00   1.95   
136.18   134.54   131.95   132.09   1.98   
138.65   141.34   132.68   132.59   2.06   
140.99   138.40   131.23   132.00   2.04   
139.72   137.94   129.17   130.16   2.00   
137.72   137.10   132.82   131.43   2.03   
136.98   138.77   133.63   131.59   1.95   
141.82   138.43   131.21   129.67   2.07   
139.84   136.87   131.16   132.36   2.03   
139.64   140.10   130.78   130.16   2.01   
137.46   137.10   129.80   130.65   1.94   
141.58   133.13   133.63   131.86   2.04   
141.82   137.72   131.43   132.52   2.01   
139.11   139.14   130.87   130.92   1.98   
139.37   140.22   133.05   132.52   1.99   
142.33   138.54   130.29   130.36   2.10   
138.54   140.60   129.65   132.89   1.98   
138.88   139.00   131.65   132.52   2.01   
140.34   138.77   131.16   132.23   2.01   
138.40   141.97   132.23   133.49   2.03   
141.70   142.36   132.45   129.52   2.01   
140.13   141.70   131.00   131.29   2.01   
139.11   135.71   131.95   130.71   1.97   
137.57   141.82   132.31   130.51   1.96   
138.77   138.77   132.30   132.31   2.01   
140.87   136.85   131.95   132.59   2.05   
136.76   138.88   128.27   131.59   2.02   
139.14   140.10   128.27   130.09   2.05   
140.10   136.07   132.23   132.02   2.09   
139.75   143.76   131.72   128.61   1.99   
140.72   134.70   132.30   130.71   2.01   
140.48   135.46   132.52   130.22   2.01   
142.72   135.27   131.21   130.71   2.05   
139.99   138.88   131.59   130.01   2.06   
134.35   141.97   131.50   132.24   1.94   
140.22   140.10   130.78   132.31   2.03   
138.40   136.15   134.16   130.71   1.95   
142.85   138.54   132.52   132.31   2.02   
139.72   139.87   132.16   128.14   2.06   
138.65   138.40   129.45   129.74   1.98   
142.72   136.62   131.59   130.29   2.05   
138.43   138.17   132.09   131.07   1.96   
138.77   138.03   131.36   132.38   2.00   
137.83   142.09   130.94   130.51   1.96   
139.03   139.11   131.29   133.42   2.06   
138.51   138.43   129.45   124.41   2.04   
141.97   140.37   131.50   133.12   2.04   
141.10   141.07   130.80   130.36   2.02   
137.21   140.48   131.29   132.96   1.98   
139.23   140.37   131.14   131.88   2.07   
140.10   139.00   132.89   129.45   2.06   
139.14   135.46   131.88   131.07   1.97   
138.06   138.28   134.07   131.65   1.98   
138.91   140.84   133.03   130.94   1.96   
140.72   138.51   133.33   132.45   2.01   
133.34   135.57   132.31   130.94   1.91   
136.76   138.51   131.59   131.14   1.97   
135.71   137.80   130.58   130.58   1.95   
140.75   140.10   130.71   133.03   2.00   
