MPI startup(): Warning: I_MPI_PMI_LIBRARY will be ignored since the hydra process manager was found
[0] 0, 0
Iteration 0/40000
Iteration 100/40000
Iteration 200/40000
Iteration 300/40000
Iteration 400/40000
Iteration 500/40000
Iteration 600/40000
Iteration 700/40000
Iteration 800/40000
Iteration 900/40000
Iteration 1000/40000
Iteration 1100/40000
Iteration 1200/40000
Iteration 1300/40000
Iteration 1400/40000
Iteration 1500/40000
Iteration 1600/40000
Iteration 1700/40000
Iteration 1800/40000
Iteration 1900/40000
Iteration 2000/40000
Iteration 2100/40000
Iteration 2200/40000
Iteration 2300/40000
Iteration 2400/40000
Iteration 2500/40000
Iteration 2600/40000
Iteration 2700/40000
Iteration 2800/40000
Iteration 2900/40000
Iteration 3000/40000
Iteration 3100/40000
Iteration 3200/40000
Iteration 3300/40000
Iteration 3400/40000
Iteration 3500/40000
Iteration 3600/40000
Iteration 3700/40000
Iteration 3800/40000
Iteration 3900/40000
Iteration 4000/40000
Iteration 4100/40000
Iteration 4200/40000
Iteration 4300/40000
Iteration 4400/40000
Iteration 4500/40000
Iteration 4600/40000
Iteration 4700/40000
Iteration 4800/40000
Iteration 4900/40000
Iteration 5000/40000
Iteration 5100/40000
Iteration 5200/40000
Iteration 5300/40000
Iteration 5400/40000
Iteration 5500/40000
Iteration 5600/40000
Iteration 5700/40000
Iteration 5800/40000
Iteration 5900/40000
Iteration 6000/40000
Iteration 6100/40000
Iteration 6200/40000
Iteration 6300/40000
Iteration 6400/40000
Iteration 6500/40000
Iteration 6600/40000
Iteration 6700/40000
Iteration 6800/40000
Iteration 6900/40000
Iteration 7000/40000
Iteration 7100/40000
Iteration 7200/40000
Iteration 7300/40000
Iteration 7400/40000
Iteration 7500/40000
Iteration 7600/40000
Iteration 7700/40000
Iteration 7800/40000
Iteration 7900/40000
Iteration 8000/40000
Iteration 8100/40000
Iteration 8200/40000
Iteration 8300/40000
Iteration 8400/40000
Iteration 8500/40000
Iteration 8600/40000
Iteration 8700/40000
Iteration 8800/40000
Iteration 8900/40000
Iteration 9000/40000
Iteration 9100/40000
Iteration 9200/40000
Iteration 9300/40000
Iteration 9400/40000
Iteration 9500/40000
Iteration 9600/40000
Iteration 9700/40000
Iteration 9800/40000
Iteration 9900/40000
Iteration 10000/40000
Iteration 10100/40000
Iteration 10200/40000
Iteration 10300/40000
Iteration 10400/40000
Iteration 10500/40000
Iteration 10600/40000
Iteration 10700/40000
Iteration 10800/40000
Iteration 10900/40000
Iteration 11000/40000
Iteration 11100/40000
Iteration 11200/40000
