N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
28.77   44.70   47.72   42.00   1.27   
40.02   42.94   60.79   43.77   1.64   
40.66   47.44   53.09   49.75   1.92   
47.29   39.79   58.06   43.80   2.00   
41.94   44.42   54.30   49.02   1.96   
47.95   45.91   56.85   46.72   2.00   
46.55   39.52   62.83   44.52   1.92   
41.90   47.19   53.50   44.54   2.04   
45.14   38.54   50.73   44.75   2.05   
40.41   44.32   48.40   42.72   1.87   
42.01   42.59   46.70   43.73   1.92   
44.16   40.63   43.10   43.05   2.18   
42.44   45.06   50.06   39.89   2.13   
40.56   41.68   53.89   40.80   1.84   
44.47   42.63   46.63   46.79   1.95   
45.47   43.44   52.38   49.92   1.95   
48.30   46.96   61.70   50.17   2.07   
48.50   46.98   62.97   50.07   2.07   
46.88   48.17   63.34   50.24   2.02   
48.30   48.57   62.50   51.49   2.08   
48.50   47.14   60.77   51.12   2.10   
48.22   46.96   63.16   51.68   2.07   
47.31   47.73   63.44   50.23   2.04   
46.78   48.71   63.59   51.19   2.02   
48.53   48.17   63.76   51.60   2.07   
48.38   47.81   63.49   50.55   2.06   
47.89   48.13   64.19   50.56   2.06   
48.72   48.19   62.03   51.02   2.08   
48.19   48.04   61.49   50.87   2.14   
43.75   44.77   47.40   41.91   2.01   
41.81   43.72   51.28   45.97   1.89   
44.15   47.65   51.18   44.81   1.94   
47.76   43.97   50.48   45.47   2.25   
45.39   44.57   50.14   48.24   2.06   
44.53   43.32   62.83   45.62   2.09   
44.19   45.01   52.14   46.21   2.01   
47.72   44.32   50.43   46.49   2.07   
44.90   44.67   51.64   49.11   2.01   
44.30   42.95   54.00   45.35   2.06   
43.73   45.77   50.29   49.10   1.96   
44.43   41.47   52.82   42.43   2.02   
43.54   43.37   51.41   44.00   2.05   
43.75   44.53   51.94   45.11   1.94   
44.88   43.43   51.28   47.19   2.14   
45.12   43.90   55.46   44.74   2.04   
45.24   45.37   51.33   46.39   2.00   
45.95   39.80   51.89   45.80   2.02   
45.79   47.38   59.80   50.43   2.00   
46.69   43.79   52.52   46.61   2.09   
42.64   42.11   46.93   46.57   2.00   
48.29   46.59   63.24   50.85   2.00   
47.21   47.65   63.76   49.51   1.99   
47.90   48.24   61.51   50.99   2.04   
48.56   48.15   60.44   51.40   2.06   
47.93   47.15   60.12   51.42   1.99   
48.19   47.55   61.90   51.57   1.98   
47.38   47.80   63.73   51.23   1.98   
48.10   48.02   64.31   51.56   2.03   
48.16   47.11   58.87   49.07   1.99   
48.31   47.65   62.81   51.14   2.03   
48.22   47.16   63.01   50.60   1.99   
47.56   47.77   59.29   50.97   2.07   
47.88   45.61   62.19   49.29   1.98   
48.49   46.18   62.52   50.73   1.99   
48.28   48.21   60.26   51.55   2.00   
48.72   47.89   61.15   51.43   2.05   
48.08   47.73   63.68   51.78   2.03   
48.22   46.32   63.46   51.61   1.99   
46.77   47.55   55.91   49.05   1.94   
47.32   47.93   61.57   52.00   1.93   
46.67   48.08   59.30   51.11   2.10   
48.14   47.86   61.78   51.31   2.00   
48.48   46.95   62.80   51.32   1.99   
46.63   46.66   56.78   47.53   2.03   
48.65   47.49   60.71   50.98   2.11   
47.83   45.24   58.29   48.07   2.07   
46.15   46.48   62.40   49.64   1.87   
46.50   47.53   63.91   49.93   1.91   
48.03   46.45   61.13   51.18   2.00   
46.17   46.11   62.60   48.62   1.94   
45.11   47.77   61.40   49.97   1.95   
46.40   47.63   60.73   52.30   2.00   
47.85   47.59   62.60   50.57   2.00   
46.28   48.21   63.09   51.81   1.99   
46.76   47.85   61.41   51.30   2.02   
48.19   47.98   59.79   50.58   2.18   
45.77   42.45   50.99   47.56   1.94   
43.99   44.93   53.87   46.95   1.90   
45.48   43.96   52.42   45.28   1.97   
44.13   45.16   50.68   46.78   1.96   
44.12   46.42   52.78   45.79   1.98   
44.84   44.15   54.31   42.67   2.09   
47.59   47.02   60.70   50.96   1.99   
48.05   47.79   62.31   50.16   2.01   
45.99   47.34   58.91   51.07   2.00   
47.25   47.72   60.35   50.99   2.10   
48.27   46.77   62.70   50.25   1.99   
48.22   46.31   63.69   49.72   2.07   
47.18   47.90   60.95   51.14   2.08   
48.74   47.41   59.72   51.73   2.12   
