N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
35.59   48.02   52.87   51.13   1.52   
47.79   48.22   61.29   51.46   1.98   
44.95   47.63   60.83   49.33   1.97   
46.54   46.51   59.36   50.46   2.02   
48.53   47.37   62.29   51.74   1.99   
47.72   48.12   63.11   51.02   1.97   
48.27   46.62   59.25   50.93   1.97   
48.60   47.85   64.33   50.80   2.09   
48.72   48.06   63.56   50.85   2.01   
48.45   48.14   62.66   51.30   1.99   
48.41   48.25   62.03   51.36   1.98   
48.37   48.44   62.26   51.11   2.13   
47.53   47.61   63.59   51.33   1.96   
48.62   46.99   63.82   51.34   2.01   
48.13   47.96   63.01   51.37   1.98   
47.96   47.91   63.17   51.19   1.97   
48.44   47.92   62.95   50.94   1.98   
48.24   48.22   62.71   51.18   1.99   
48.25   48.22   63.83   51.50   1.99   
48.74   47.90   64.12   51.03   2.00   
48.99   48.00   63.33   51.78   2.01   
43.97   48.28   60.27   50.58   1.79   
48.54   47.98   63.01   51.06   2.08   
48.08   48.27   64.46   51.65   2.06   
48.62   47.65   56.05   48.51   2.04   
46.11   45.86   62.35   50.64   1.91   
48.60   48.09   62.81   51.09   1.98   
48.19   48.41   63.18   51.50   1.97   
48.38   48.35   63.85   51.49   1.99   
49.17   48.05   63.80   51.41   2.10   
48.87   47.85   63.41   51.96   2.08   
48.60   48.15   63.06   51.50   2.06   
48.09   48.75   63.16   51.62   2.06   
48.68   48.15   63.90   51.14   2.09   
49.01   47.72   64.52   51.31   2.10   
48.08   48.13   63.37   50.74   2.07   
48.41   48.22   63.44   51.40   2.08   
46.84   46.46   60.26   51.22   2.04   
48.23   44.93   63.46   49.00   2.10   
44.71   45.13   54.36   47.94   1.87   
45.99   47.38   56.66   49.37   1.97   
47.35   45.80   59.95   48.55   2.15   
47.11   43.61   55.11   45.86   1.93   
46.45   47.62   61.98   49.11   1.91   
47.35   46.70   58.63   49.83   2.07   
47.24   44.64   59.00   46.75   2.15   
46.26   46.14   58.72   45.42   1.97   
48.74   46.92   59.20   49.84   2.02   
47.22   47.82   58.71   50.33   1.94   
46.38   45.79   55.88   49.12   2.07   
47.20   44.57   58.05   43.55   2.11   
43.79   47.96   58.25   44.56   1.88   
44.78   45.41   52.28   46.63   1.96   
45.46   47.49   54.18   47.07   2.05   
44.01   46.35   57.14   50.16   1.89   
48.68   46.23   57.34   49.25   2.09   
45.77   47.70   54.67   50.29   1.94   
47.83   46.11   63.07   48.26   2.13   
48.31   46.84   61.73   50.00   2.03   
47.65   47.38   58.77   50.90   1.94   
48.08   48.23   62.23   51.55   2.02   
48.19   48.05   63.24   51.53   1.98   
48.66   47.93   63.93   51.50   2.09   
49.05   48.09   63.04   51.88   2.09   
48.86   47.57   63.24   51.71   2.07   
48.15   47.86   63.21   51.26   2.05   
48.34   47.87   61.35   47.12   2.12   
44.20   44.54   53.36   48.19   1.90   
46.47   45.21   58.25   45.68   2.07   
46.10   47.10   63.46   47.98   1.98   
48.06   46.95   62.98   50.98   2.02   
46.85   46.50   54.25   48.72   2.06   
48.22   48.07   63.66   49.07   1.99   
48.81   46.77   64.01   49.30   2.11   
48.96   47.76   62.08   50.15   2.02   
46.79   48.31   59.57   51.00   2.02   
47.45   46.52   61.87   50.67   2.14   
46.11   46.87   60.15   46.26   2.10   
46.87   45.06   57.80   46.97   2.02   
48.13   46.99   62.39   47.74   2.13   
45.88   45.73   55.53   48.11   1.95   
47.69   48.02   59.47   49.64   2.00   
47.44   47.77   58.76   50.96   2.03   
48.25   47.79   63.73   51.24   2.00   
47.92   46.70   63.51   50.57   1.97   
48.69   47.92   63.24   51.53   2.08   
47.93   48.56   62.23   51.52   2.04   
48.12   47.70   63.12   50.69   2.06   
49.05   48.11   64.36   51.28   2.11   
48.84   47.77   64.45   51.14   2.09   
48.23   48.37   63.11   51.14   2.06   
48.47   48.08   62.18   51.09   2.08   
47.63   48.44   61.94   51.53   2.06   
48.22   46.71   64.29   51.28   1.97   
48.78   47.32   64.40   51.58   2.08   
48.23   48.31   62.74   52.01   2.10   
48.40   47.39   63.24   50.91   2.07   
48.74   48.22   55.88   50.30   2.04   
48.37   47.96   64.19   51.25   2.06   
48.47   48.16   63.34   51.58   2.06   
