N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
135.38   138.28   125.58   126.32   1.93   
135.93   132.34   127.20   123.20   2.04   
137.32   138.06   129.65   127.26   1.97   
139.49   137.21   129.39   129.30   2.00   
140.84   140.60   130.71   128.35   1.99   
143.49   139.49   130.58   128.56   2.03   
140.84   139.75   129.30   125.00   2.02   
140.48   137.32   129.45   127.33   2.04   
138.77   137.46   128.01   126.45   2.02   
137.46   139.00   122.82   116.35   2.20   
117.82   124.41   117.42   113.96   1.95   
139.64   142.33   131.36   129.45   2.02   
142.60   140.60   130.29   129.11   2.02   
140.60   140.22   131.07   96.35   2.02   
134.00   139.49   97.44   129.96   2.60   
139.14   138.40   128.82   97.29   1.93   
101.20   145.16   98.16   128.22   1.40   
101.77   138.54   132.09   97.01   1.41   
102.77   137.57   130.01   129.04   2.00   
144.17   101.77   130.44   96.35   1.99   
102.69   100.51   97.33   128.14   1.46   
140.48   138.17   128.69   126.84   2.01   
140.72   140.10   127.73   128.41   2.04   
138.17   139.11   129.74   127.45   1.97   
140.72   138.77   128.82   124.94   2.01   
139.87   138.40   130.51   128.07   1.99   
140.72   139.49   130.29   127.79   2.00   
138.03   139.52   130.01   128.14   1.96   
140.60   139.37   129.87   127.86   2.00   
141.34   139.99   127.92   127.86   2.02   
139.14   137.69   129.32   126.64   2.00   
139.11   139.49   129.87   126.32   1.99   
140.22   139.99   129.94   127.73   2.01   
141.10   139.03   130.43   97.56   2.56   
104.22   103.44   128.14   97.09   1.49   
140.60   132.13   129.02   127.05   2.08   
134.89   143.52   129.24   127.52   1.94   
139.99   139.37   129.45   127.86   2.00   
140.60   138.74   128.35   127.86   2.02   
140.96   140.37   130.01   128.07   2.02   
140.99   139.37   127.79   126.18   2.02   
141.22   138.77   129.39   126.84   2.04   
139.11   138.40   130.16   127.86   2.00   
135.93   139.37   129.94   127.92   1.95   
140.60   139.87   130.16   127.99   2.02   
139.99   139.61   128.22   127.99   2.00   
139.64   139.72   130.16   128.35   2.01   
139.49   138.28   128.48   96.54   2.77   
101.73   102.57   98.24   97.49   1.46   
140.34   141.73   129.37   126.99   2.00   
139.03   138.51   129.67   127.73   1.99   
139.64   139.49   130.49   127.73   2.05   
140.37   139.11   129.74   126.78   2.04   
139.61   138.17   128.97   128.20   2.00   
139.87   137.57   130.16   127.73   2.01   
139.99   139.37   130.51   127.92   1.99   
139.61   139.64   128.96   128.28   2.00   
141.10   139.37   130.22   128.14   2.02   
140.10   137.80   128.82   126.65   2.08   
138.77   137.91   129.80   128.20   2.00   
139.99   139.49   130.01   128.07   2.00   
139.87   137.69   129.65   128.35   2.00   
139.75   139.35   130.16   97.76   2.73   
101.59   102.63   98.53   127.79   1.47   
139.23   138.17   128.63   126.57   2.00   
140.60   139.61   128.14   128.20   2.02   
140.84   139.99   129.72   127.81   2.02   
140.10   140.37   129.37   124.94   2.00   
140.37   139.26   129.52   127.92   2.01   
139.99   139.14   126.72   126.24   2.04   
136.29   139.00   128.96   128.63   1.96   
139.14   139.72   130.38   127.73   2.01   
139.64   139.96   128.01   128.69   2.00   
140.60   139.87   130.36   127.73   2.03   
139.11   138.17   129.04   124.54   2.01   
135.93   136.98   128.76   125.72   1.95   
139.14   138.06   129.02   97.56   2.85   
100.51   98.27   95.70   124.68   1.45   
140.10   139.37   130.02   127.86   2.02   
138.54   137.21   128.20   126.05   2.03   
138.03   136.76   126.99   126.51   1.99   
138.77   136.87   128.48   126.99   2.00   
135.38   136.85   127.88   126.11   1.96   
138.17   132.89   129.09   125.99   2.00   
140.10   137.57   129.65   127.60   2.01   
139.03   138.17   128.27   125.99   2.07   
136.98   136.73   129.45   125.99   1.98   
138.17   138.51   128.82   127.94   1.99   
137.94   135.46   128.28   125.52   2.00   
138.43   134.78   129.04   126.05   2.00   
139.49   138.40   127.26   97.76   2.75   
100.89   99.49   96.66   126.26   1.48   
136.40   135.49   125.58   126.05   1.97   
140.22   138.88   130.01   128.01   2.01   
140.45   139.37   129.32   124.21   2.06   
137.80   136.98   128.15   127.12   1.99   
141.22   139.03   129.94   127.39   2.01   
136.65   139.96   129.39   126.84   1.98   
137.69   135.82   127.26   125.66   1.99   
136.98   137.83   126.84   127.73   1.98   
