N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
20.65   46.48   39.17   51.63   0.84   
48.60   48.15   62.57   51.78   2.00   
48.27   47.99   62.89   50.97   1.97   
47.68   47.70   64.24   51.56   1.96   
48.32   48.14   64.52   51.53   2.01   
48.25   48.18   61.90   50.50   2.06   
46.23   47.86   60.81   51.66   1.91   
48.41   47.34   62.84   50.48   2.01   
47.64   47.90   61.58   50.53   2.06   
47.67   47.09   63.81   52.31   2.07   
46.77   47.15   59.20   48.79   1.98   
47.45   47.72   56.59   51.48   1.96   
47.13   47.41   59.78   47.32   2.06   
47.22   45.15   58.68   51.94   1.93   
45.22   47.49   61.57   49.76   2.44   
41.82   44.39   63.98   50.85   1.78   
48.28   48.32   62.84   52.68   2.07   
48.66   48.45   63.16   52.23   2.06   
45.66   48.44   63.01   47.84   1.96   
47.76   45.14   64.69   49.54   2.03   
48.57   46.14   63.37   50.17   2.08   
46.81   48.25   63.37   51.94   1.90   
48.83   47.48   61.52   51.55   2.05   
47.76   46.88   59.76   49.30   1.98   
47.93   48.36   64.24   51.31   1.98   
47.04   47.06   60.18   51.89   2.01   
48.66   47.75   64.05   51.63   1.97   
48.53   48.12   63.88   51.96   2.04   
46.77   47.76   62.66   51.65   2.06   
46.12   46.48   64.22   49.84   1.98   
48.24   46.28   62.88   51.32   2.07   
48.81   48.25   63.31   47.42   2.13   
47.48   44.88   63.34   48.71   2.02   
46.32   46.42   64.07   48.17   2.04   
47.14   46.62   58.49   50.85   1.99   
47.77   48.47   59.27   49.63   1.97   
48.62   47.27   63.98   50.80   2.05   
47.70   46.07   64.40   51.18   1.98   
46.43   47.66   63.68   51.52   1.91   
47.77   47.80   59.70   50.23   1.96   
48.01   45.50   62.71   51.67   2.04   
46.69   47.66   63.27   49.68   1.99   
48.55   46.81   64.43   51.66   1.99   
48.81   47.68   63.51   52.03   2.00   
48.27   47.85   63.85   46.92   2.03   
48.53   48.13   55.42   50.25   2.13   
48.80   47.70   65.23   51.69   2.10   
48.82   47.28   64.62   52.04   2.07   
48.39   48.32   63.69   52.47   2.06   
48.38   48.57   63.09   52.15   2.06   
48.88   48.65   63.86   52.07   2.08   
48.83   47.70   64.71   51.68   2.07   
48.92   47.82   65.18   51.44   2.07   
48.31   48.03   64.33   51.80   2.05   
48.86   48.31   63.16   52.61   2.09   
48.53   48.15   64.00   51.95   2.07   
48.81   47.75   64.04   51.52   2.06   
48.87   47.76   64.27   51.56   2.07   
48.47   48.35   64.97   51.66   2.07   
49.10   48.40   63.41   51.92   2.14   
47.79   46.45   59.35   48.72   2.05   
48.05   45.83   61.65   48.32   1.94   
48.50   48.25   65.32   52.14   1.98   
48.97   48.13   64.79   51.89   2.08   
48.47   48.03   64.28   51.68   2.18   
44.89   46.74   63.41   50.59   1.90   
46.12   45.69   59.23   48.87   1.93   
48.44   44.83   64.17   47.69   2.06   
48.43   47.46   55.89   51.40   2.11   
47.90   47.37   56.59   50.89   2.12   
47.88   46.95   63.97   48.52   2.03   
49.01   46.02   55.22   49.13   2.07   
45.94   45.71   57.69   51.39   1.96   
47.04   45.56   59.91   46.72   2.14   
48.00   48.17   60.32   48.15   2.01   
48.56   47.75   56.50   49.19   2.23   
46.38   45.49   57.17   50.72   1.91   
48.01   48.16   63.27   51.97   2.01   
48.02   45.94   59.66   48.98   2.11   
47.82   47.85   58.04   51.81   2.06   
47.58   47.93   62.84   47.72   2.15   
48.51   47.25   64.00   51.64   2.07   
49.17   46.74   53.84   48.15   2.09   
47.34   48.40   60.12   51.41   2.10   
46.80   46.27   59.65   48.11   2.09   
46.85   45.39   60.33   50.02   2.00   
47.21   45.66   61.38   51.15   1.98   
47.55   46.14   63.14   49.09   2.06   
47.11   47.34   64.83   51.89   2.07   
47.07   46.53   56.23   49.74   2.01   
48.70   34.39   56.30   47.51   2.09   
46.21   46.89   58.65   50.80   2.04   
45.74   46.43   55.97   51.42   1.96   
48.05   47.83   58.18   47.74   2.08   
48.13   47.44   63.26   51.95   2.08   
49.02   47.61   63.43   51.13   2.06   
48.65   47.98   64.04   51.50   2.05   
48.50   48.74   59.10   51.76   2.02   
48.44   45.78   64.85   50.44   2.06   
48.34   48.00   63.46   52.03   2.01   
