N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
105.05   110.72   108.11   105.77   1.54   
132.34   132.99   121.03   120.79   2.09   
127.29   133.87   121.40   125.72   2.02   
116.79   129.25   120.05   117.60   2.08   
138.88   111.51   109.58   107.77   2.45   
111.81   112.60   108.94   109.18   1.75   
112.45   114.29   108.84   108.34   1.98   
111.96   112.45   109.13   108.74   1.70   
111.11   113.15   109.80   109.19   1.98   
139.99   110.65   108.40   109.83   2.07   
110.50   115.45   109.68   108.11   1.95   
114.77   109.98   108.64   108.80   2.00   
113.00   115.03   109.44   129.37   1.99   
113.32   112.43   108.90   112.72   2.03   
112.67   112.69   109.54   108.21   2.00   
112.58   142.88   108.40   114.72   1.99   
113.38   114.21   130.87   108.01   2.01   
113.47   110.96   109.49   117.42   2.02   
112.90   115.11   109.69   108.90   1.99   
112.35   113.55   109.19   121.40   1.58   
114.60   114.13   109.24   131.95   2.02   
111.27   112.75   107.72   118.16   2.01   
114.13   111.57   109.49   109.54   2.04   
111.18   113.96   130.94   120.97   1.95   
113.40   111.18   110.29   108.02   2.03   
112.83   113.88   108.65   122.45   2.03   
113.40   110.41   107.34   107.52   2.02   
112.35   113.24   109.38   130.09   2.03   
113.72   114.44   107.92   108.40   2.02   
114.11   110.58   111.53   107.43   2.03   
113.07   112.92   109.83   108.51   1.99   
110.43   111.96   117.82   129.67   1.94   
111.03   113.65   130.51   107.62   1.94   
140.60   113.15   132.98   108.30   2.51   
114.05   112.60   110.04   108.65   1.99   
137.10   110.65   117.25   108.70   2.42   
113.24   114.36   107.00   109.24   2.06   
138.31   111.96   130.51   110.09   2.46   
111.42   114.29   109.14   109.69   2.01   
112.84   112.43   118.93   109.55   1.99   
113.72   111.25   110.20   108.45   2.02   
110.27   112.37   121.40   109.49   1.97   
114.29   114.52   109.49   108.36   2.01   
114.05   113.15   126.78   107.19   2.03   
111.03   112.52   109.19   108.54   1.97   
111.57   111.11   109.64   108.21   1.97   
114.36   112.20   131.86   107.67   2.02   
112.13   118.69   110.39   108.45   1.99   
113.72   112.67   109.39   108.54   2.03   
114.05   141.07   108.70   108.16   2.04   
111.57   112.13   110.55   107.67   1.98   
113.80   139.37   109.93   107.39   2.02   
112.75   113.24   109.19   109.94   2.01   
115.76   114.13   108.60   108.74   2.07   
110.89   114.03   109.24   108.11   1.96   
128.19   114.29   108.31   107.00   2.26   
114.29   111.81   108.94   109.04   2.02   
138.40   112.20   108.85   108.64   2.47   
112.83   140.10   108.16   108.50   1.95   
115.94   113.72   109.68   108.56   2.08   
112.92   113.15   109.74   108.11   1.79   
112.13   110.87   109.39   109.39   2.02   
112.67   112.11   110.66   107.77   1.66   
141.22   112.84   108.50   131.29   2.51   
112.98   111.51   108.70   127.79   1.63   
137.10   135.25   127.20   129.30   1.97   
130.28   134.78   129.74   129.02   1.93   
138.17   140.72   127.60   127.79   2.47   
109.35   113.40   108.85   108.45   1.97   
113.38   125.20   109.14   107.43   2.00   
113.88   114.13   110.04   107.04   2.04   
114.70   137.91   109.19   108.85   2.02   
112.67   113.23   108.56   108.79   2.01   
114.77   113.17   109.24   109.33   2.02   
112.52   111.03   109.83   109.49   1.99   
125.58   114.85   129.94   106.91   2.24   
111.96   113.72   131.14   108.25   1.95   
121.49   115.27   109.39   107.33   2.11   
112.20   113.24   109.04   108.65   1.99   
132.34   110.81   110.39   107.58   2.37   
111.79   112.60   107.25   107.86   1.94   
111.33   112.77   108.94   108.79   1.99   
113.80   113.55   109.04   107.87   1.77   
114.03   112.20   110.15   108.45   2.01   
114.11   113.98   109.79   107.33   1.67   
112.28   111.20   109.58   107.87   2.02   
111.90   138.63   108.07   109.29   2.01   
113.65   113.23   108.85   107.96   2.01   
111.89   111.11   110.20   115.06   2.00   
113.23   112.75   110.35   108.84   2.04   
136.40   109.44   108.85   117.76   2.43   
112.28   114.62   108.05   109.54   1.98   
113.96   114.38   130.01   123.20   2.01   
112.13   112.90   109.00   108.34   2.02   
112.67   116.03   109.19   123.53   1.99   
111.42   112.67   109.49   107.52   1.97   
113.30   111.90   109.29   126.26   2.02   
110.58   115.03   109.54   108.90   1.95   
112.50   112.84   110.59   116.23   2.00   
113.24   110.49   108.21   108.99   2.03   
