N=1073741824
GB=9.22
threads=56
Copy    Scale   Add     Triad
207.77   208.73   239.59   239.44   
208.70   208.98   240.16   240.23   
209.04   209.30   239.65   240.31   
208.57   208.87   239.97   239.66   
208.53   208.91   240.16   239.88   
208.69   209.13   240.22   240.22   
208.65   209.25   239.96   239.78   
208.81   209.34   239.39   239.85   
208.86   209.24   238.97   239.79   
208.45   208.82   239.63   240.12   
209.14   208.65   239.37   239.64   
208.86   208.25   239.84   239.67   
208.97   209.30   240.10   240.14   
208.48   209.24   239.35   238.30   
208.50   209.22   239.66   239.93   
208.22   208.82   239.98   240.38   
208.78   209.09   239.41   240.08   
209.02   208.73   239.88   240.27   
208.43   208.63   239.36   240.00   
208.68   208.87   238.76   239.68   
208.41   208.65   239.48   239.89   
208.44   208.88   239.45   238.86   
208.91   208.38   239.97   240.26   
208.75   208.82   239.06   239.43   
208.76   209.33   239.67   240.32   
207.95   208.59   240.11   240.22   
208.70   208.55   240.20   240.17   
208.47   209.04   239.73   239.65   
208.91   208.86   239.87   239.89   
208.92   208.66   239.46   238.37   
208.56   208.95   240.24   239.70   
208.69   209.15   239.50   240.12   
208.74   208.97   239.84   239.21   
209.00   209.06   239.19   239.68   
209.13   208.70   240.16   239.85   
209.01   208.80   240.28   240.18   
209.24   208.77   239.39   239.99   
209.15   208.72   239.63   240.04   
209.05   208.86   239.69   239.43   
208.65   208.75   240.08   240.04   
208.80   208.64   239.91   240.18   
208.65   208.60   239.97   239.31   
209.40   209.07   239.99   239.62   
208.93   209.03   239.43   239.98   
208.60   208.95   239.58   239.51   
208.42   209.09   240.44   240.12   
209.29   208.92   240.43   239.46   
209.11   208.55   239.40   239.86   
209.02   208.71   239.03   240.00   
208.71   208.52   240.38   240.19   
208.91   208.78   239.61   240.08   
208.73   208.77   240.35   240.19   
208.61   208.85   240.41   239.73   
208.72   209.00   240.25   240.14   
209.03   209.27   239.48   239.96   
208.94   208.78   239.23   239.89   
208.54   208.86   240.27   240.02   
208.61   208.34   239.67   240.06   
208.60   208.74   240.34   239.55   
208.65   208.87   239.50   239.85   
208.82   209.15   239.51   239.73   
208.78   209.21   240.34   240.59   
209.13   209.21   240.19   240.06   
209.05   208.59   240.51   240.14   
208.62   208.81   240.47   239.61   
208.55   208.90   239.93   240.12   
208.95   208.75   240.29   240.17   
208.67   209.10   240.54   239.93   
209.05   208.67   240.26   239.88   
208.74   208.65   240.45   239.46   
209.02   209.18   239.98   239.25   
208.81   209.16   240.01   240.21   
209.10   208.84   239.80   239.59   
208.75   209.11   239.94   240.12   
208.55   208.71   239.20   240.15   
209.39   208.65   240.01   239.52   
208.50   209.18   239.78   240.23   
208.99   208.86   239.86   239.62   
208.86   209.12   239.63   239.85   
209.05   209.04   240.16   240.10   
208.35   208.78   239.73   240.41   
208.91   208.55   239.51   240.21   
209.10   209.01   239.35   240.28   
208.56   208.98   239.95   240.08   
209.11   208.91   240.08   239.89   
208.97   209.02   239.79   239.64   
208.76   209.13   240.08   240.14   
208.50   209.01   240.18   239.87   
209.05   208.82   239.39   240.11   
208.51   208.82   240.27   239.91   
208.65   208.77   240.06   240.19   
209.09   209.09   239.94   239.86   
208.75   208.58   240.08   240.19   
208.94   209.15   240.73   239.79   
208.66   208.78   240.26   240.51   
208.79   208.29   239.72   239.80   
208.37   208.62   239.13   239.79   
208.72   209.28   239.06   240.18   
208.72   208.81   239.99   239.31   
208.51   209.15   239.54   240.53   
