N=1073741824
GB=9.22
threads=56
Copy    Scale   Add     Triad
192.98   193.72   224.01   223.84   
193.52   194.14   224.25   223.83   
193.63   193.66   224.34   224.20   
193.93   193.75   224.21   224.01   
193.55   193.72   224.28   223.66   
194.09   194.29   224.47   223.66   
193.42   193.53   224.01   223.51   
193.73   193.01   224.05   223.73   
193.57   193.86   223.77   223.81   
193.96   193.71   224.39   223.86   
193.69   194.49   223.91   223.71   
194.21   193.44   224.53   223.94   
193.80   193.87   223.76   223.73   
193.50   193.58   224.44   223.76   
194.08   193.87   224.23   223.52   
193.75   193.90   224.42   223.59   
193.76   193.64   223.99   223.48   
193.42   193.59   224.00   223.87   
193.98   193.93   224.07   223.72   
193.58   193.89   224.43   223.62   
193.52   193.82   223.75   224.05   
193.93   193.52   224.15   223.85   
194.12   193.74   224.10   223.67   
193.73   194.34   224.35   223.77   
193.86   193.48   224.05   223.87   
193.51   194.21   224.05   223.74   
193.98   194.16   224.18   223.86   
194.06   193.79   224.34   223.64   
194.03   193.71   224.15   223.90   
194.09   193.59   224.23   223.97   
194.07   193.89   224.02   223.70   
193.34   194.04   224.07   223.82   
193.64   193.83   224.05   223.99   
193.51   194.16   224.12   223.88   
193.68   193.66   224.55   223.60   
193.79   193.70   224.38   223.68   
193.59   193.66   224.32   223.79   
193.75   193.71   223.73   223.72   
193.51   193.71   224.17   223.86   
193.37   194.01   224.12   223.45   
193.73   194.19   223.97   223.61   
193.74   193.78   224.35   223.76   
193.24   193.81   224.56   223.91   
194.19   193.93   224.24   223.86   
193.96   193.92   224.45   223.81   
193.43   193.84   224.17   223.86   
193.98   193.97   224.46   223.80   
193.91   193.59   224.20   223.83   
193.53   193.43   224.44   223.95   
193.60   193.88   224.21   223.79   
193.60   193.59   224.04   223.91   
193.74   193.70   224.10   223.85   
193.61   194.04   223.96   223.92   
193.68   194.13   224.32   223.70   
193.87   193.30   224.16   223.91   
193.38   193.86   223.97   223.60   
193.99   194.11   224.42   223.77   
193.60   194.05   224.02   223.54   
193.61   193.70   224.36   223.82   
193.41   194.28   224.25   223.86   
193.55   193.43   224.14   223.92   
194.14   193.96   223.87   223.58   
194.00   193.54   223.94   223.79   
193.81   193.63   224.35   223.53   
193.80   194.17   224.27   223.99   
193.42   193.88   224.08   223.63   
193.92   193.82   224.22   224.04   
193.00   193.95   224.21   223.89   
194.09   193.66   223.85   223.83   
193.63   193.88   224.16   223.86   
193.95   193.63   224.08   223.92   
193.93   194.01   223.81   223.88   
193.54   193.83   224.26   223.23   
193.94   194.17   224.17   223.53   
193.84   194.00   223.89   223.89   
193.45   193.92   224.22   224.22   
194.25   193.53   223.83   223.48   
193.69   193.99   224.18   223.85   
193.82   193.87   224.18   223.33   
193.97   193.76   224.19   223.67   
193.57   194.14   224.23   223.91   
193.50   194.02   224.25   223.66   
193.94   194.24   224.05   223.96   
193.66   193.89   224.29   223.97   
193.64   193.97   224.25   223.83   
193.86   193.44   224.15   223.46   
193.63   193.94   223.86   224.07   
193.44   193.78   224.10   223.69   
193.72   193.36   224.03   223.69   
193.90   194.12   224.35   223.84   
194.05   193.59   223.97   223.77   
193.24   194.07   224.34   223.68   
193.59   193.55   224.29   223.88   
193.80   193.53   224.14   223.84   
193.85   194.09   224.27   223.61   
193.20   194.13   224.39   223.97   
193.78   193.23   223.86   223.56   
194.05   193.81   223.95   223.73   
193.24   193.35   224.28   223.74   
194.00   193.91   224.17   223.66   
