N=1073741824
GB=9.22
threads=56
Copy    Scale   Add     Triad
40.42   40.42   46.24   46.23   
40.34   40.41   46.28   46.21   
40.38   40.43   46.25   46.25   
40.37   40.40   46.24   46.21   
40.36   40.40   46.25   46.22   
40.39   40.41   46.24   46.22   
40.39   40.42   46.22   46.23   
40.37   40.37   46.28   46.21   
40.40   40.39   46.24   46.20   
40.39   40.39   46.25   46.23   
40.37   40.41   46.26   46.23   
40.36   40.38   46.27   46.20   
40.38   40.41   46.28   46.27   
40.39   40.38   46.25   46.22   
40.39   40.39   46.29   46.22   
40.41   40.38   46.26   46.21   
40.42   40.36   46.25   46.22   
40.39   40.41   46.26   46.21   
40.35   40.41   46.25   46.20   
40.39   40.40   46.24   46.23   
40.36   40.38   46.24   46.21   
40.39   40.39   46.25   46.21   
40.36   40.46   46.28   46.23   
40.37   40.40   46.25   46.23   
40.38   40.37   46.27   46.21   
40.38   40.40   46.28   46.20   
40.35   40.38   46.26   46.23   
40.36   40.38   46.24   46.25   
40.39   40.38   46.25   46.19   
40.37   40.41   46.26   46.22   
40.38   40.37   46.28   46.22   
40.39   40.41   46.25   46.23   
40.35   40.41   46.28   46.20   
40.34   40.40   46.23   46.19   
40.38   40.38   46.27   46.22   
40.37   40.38   46.25   46.22   
40.41   40.40   46.23   46.21   
40.37   40.37   46.26   46.22   
40.40   40.43   46.26   46.21   
40.35   40.40   46.28   46.24   
40.37   40.43   46.25   46.21   
40.40   40.39   46.27   46.21   
40.39   40.40   46.25   46.22   
40.34   40.37   46.25   46.22   
40.37   40.39   46.23   46.10   
40.25   40.39   46.24   46.23   
40.38   40.42   46.28   46.12   
40.37   40.35   46.17   46.22   
40.37   40.39   46.29   46.13   
40.27   40.40   46.25   46.18   
40.42   40.42   46.27   46.16   
40.24   40.32   46.23   46.17   
40.35   40.41   46.25   46.21   
40.41   40.34   46.20   46.13   
40.36   40.39   46.23   46.23   
40.33   40.40   46.24   46.21   
40.35   40.30   46.23   46.20   
40.39   40.33   46.26   46.20   
40.38   40.38   46.25   46.20   
40.29   40.33   46.23   46.22   
40.38   40.39   46.25   46.20   
40.40   40.39   46.22   46.20   
40.39   40.39   46.15   46.17   
40.37   40.40   46.25   46.22   
40.37   40.42   46.25   46.20   
40.32   40.37   46.27   46.19   
40.36   40.38   46.26   46.21   
40.35   40.36   46.25   46.22   
40.35   40.37   46.26   46.21   
40.30   40.34   46.25   46.24   
40.34   40.39   46.23   46.23   
40.38   40.36   46.25   46.21   
40.36   40.39   46.27   46.22   
40.36   40.38   46.26   46.25   
40.34   40.39   46.23   46.25   
40.40   40.38   46.27   46.19   
40.40   40.38   46.26   46.20   
40.32   40.40   46.24   46.21   
40.34   40.38   46.25   46.20   
40.33   40.34   46.26   46.23   
40.37   40.37   46.26   46.22   
40.36   40.38   46.26   46.23   
40.36   40.39   46.22   46.23   
40.37   40.42   46.24   46.22   
40.41   40.39   46.24   46.21   
40.35   40.35   46.28   46.20   
40.36   40.37   46.24   46.21   
40.37   40.37   46.24   46.20   
40.39   40.37   46.25   46.19   
40.37   40.39   46.24   46.21   
40.37   40.41   46.26   46.21   
40.36   40.40   46.23   46.19   
40.38   40.39   46.24   46.21   
40.38   40.37   46.22   46.23   
40.36   40.39   46.26   46.18   
40.32   40.34   46.22   46.20   
40.40   40.39   46.24   46.20   
40.36   40.37   46.26   46.20   
40.34   40.40   46.23   46.20   
40.33   40.30   46.23   46.20   
