N=1073741824
GB=9.22
threads=56
Copy    Scale   Add     Triad
94.81   94.73   116.13   115.82   
95.03   94.71   116.10   115.91   
94.89   94.74   115.98   115.80   
95.07   95.08   116.09   115.84   
94.97   94.95   116.04   115.86   
95.06   94.83   116.14   115.95   
94.57   94.84   116.11   115.73   
94.96   94.89   116.08   115.82   
95.07   94.88   116.13   116.12   
95.10   95.00   116.14   115.87   
94.90   94.92   116.19   115.77   
95.01   94.88   116.00   115.87   
95.05   94.79   115.97   115.88   
94.95   94.85   116.19   115.86   
94.76   94.94   115.85   116.05   
94.94   94.95   116.11   115.90   
94.98   94.70   116.04   115.78   
95.07   94.89   116.09   115.97   
94.98   94.90   116.13   115.79   
95.01   95.00   116.03   115.72   
95.06   95.01   116.02   115.95   
94.94   94.96   116.09   115.87   
95.16   94.49   115.97   115.85   
95.04   95.01   116.01   115.53   
95.18   94.95   116.06   115.89   
95.05   94.63   115.99   115.79   
95.08   94.86   116.12   115.57   
94.83   94.99   116.18   115.79   
94.99   94.96   116.21   115.97   
95.09   94.94   116.07   115.90   
95.03   94.86   116.23   115.76   
95.00   94.55   116.02   115.91   
95.08   94.90   116.22   116.05   
95.06   94.87   116.09   115.69   
95.02   94.92   116.23   115.88   
94.85   94.76   116.15   115.73   
94.87   94.95   116.30   115.87   
94.54   94.80   116.16   115.67   
95.03   94.77   115.99   115.91   
94.49   94.90   116.26   115.99   
95.01   94.79   116.25   115.72   
94.98   94.73   116.08   115.83   
95.06   94.96   115.92   115.87   
94.80   94.96   116.22   116.01   
94.73   94.96   116.08   116.17   
94.87   95.05   116.31   115.67   
94.90   95.01   116.11   115.86   
95.03   94.95   116.23   115.92   
94.83   94.96   116.28   115.94   
95.08   94.79   116.11   115.93   
95.04   94.84   116.01   115.83   
95.02   95.01   116.05   115.69   
95.03   94.91   116.01   116.05   
94.95   94.84   116.14   115.97   
95.07   94.64   116.08   115.59   
94.99   94.93   116.10   116.06   
94.78   94.98   116.15   115.85   
94.95   94.94   116.18   115.85   
94.60   94.95   115.96   115.84   
95.17   95.00   115.95   115.78   
95.05   94.79   116.02   115.88   
95.07   94.94   116.07   115.67   
94.95   94.84   116.11   115.82   
94.80   94.96   115.83   115.86   
94.85   94.98   116.08   115.91   
95.04   94.64   116.28   115.80   
95.01   95.01   116.02   115.78   
94.84   94.86   116.12   115.83   
94.94   95.06   116.11   115.55   
95.07   94.89   115.95   116.01   
94.93   94.75   116.02   115.64   
94.93   95.04   115.84   115.96   
95.04   94.91   115.98   115.75   
95.14   95.02   116.15   115.56   
95.03   94.80   116.12   116.05   
95.06   94.95   116.01   115.96   
95.01   95.09   116.32   115.93   
95.17   94.83   116.20   115.82   
95.03   94.74   116.00   115.73   
95.05   94.83   116.11   115.92   
94.99   94.84   116.09   115.87   
94.93   94.81   116.21   115.91   
94.99   94.92   116.13   115.86   
95.03   94.91   116.15   115.96   
95.06   94.96   116.12   115.86   
95.04   95.09   116.05   115.88   
94.96   94.96   116.20   116.02   
94.73   94.88   116.25   116.05   
95.07   94.80   116.15   115.93   
94.96   94.78   115.94   115.67   
94.99   94.86   116.11   115.91   
94.91   94.96   116.07   115.75   
94.60   94.81   116.17   115.95   
94.93   95.01   116.05   115.87   
94.92   95.06   116.14   115.80   
95.03   94.84   116.20   115.82   
95.16   94.91   116.20   115.71   
95.13   94.86   116.22   115.70   
95.04   95.05   116.38   115.64   
95.10   94.80   116.18   115.95   
