N=1073741824
GB=9.22
threads=56
Copy    Scale   Add     Triad
265.81   266.65   311.51   310.40   
267.38   267.52   311.72   310.73   
267.71   266.80   311.54   310.56   
267.94   267.83   310.87   311.23   
267.68   267.52   311.68   311.00   
267.76   266.95   310.61   310.61   
267.71   266.51   311.19   310.40   
266.94   267.39   311.27   310.65   
266.89   267.50   311.92   310.86   
267.96   267.57   311.61   310.67   
267.81   267.09   311.30   310.67   
267.87   267.62   311.37   310.34   
267.50   267.59   310.87   309.67   
267.41   267.15   311.14   310.95   
266.78   266.69   305.97   310.42   
267.34   267.84   311.07   310.85   
267.69   267.49   311.65   310.38   
267.76   267.26   311.90   310.56   
267.73   266.35   311.62   310.56   
266.95   267.56   311.54   310.83   
267.10   267.02   311.16   310.30   
267.35   267.20   311.40   310.75   
267.59   266.77   311.62   310.86   
267.77   267.41   311.46   310.57   
267.49   267.10   310.92   310.10   
266.92   267.24   311.13   309.99   
267.58   267.62   311.31   311.05   
267.55   267.04   311.23   309.92   
267.20   267.40   311.19   310.63   
267.40   267.12   311.40   310.55   
267.85   267.59   311.36   310.15   
266.75   267.23   311.40   310.69   
267.58   266.33   311.01   310.79   
267.99   267.35   311.10   310.89   
267.43   267.17   311.38   310.70   
267.80   267.57   311.08   310.74   
267.62   267.44   311.08   311.15   
267.49   266.48   311.72   310.86   
267.57   267.45   310.88   310.13   
267.64   266.71   311.41   310.94   
267.14   268.21   311.40   310.53   
267.50   267.63   311.09   310.96   
267.45   267.09   311.26   310.75   
267.90   267.59   311.84   310.93   
267.78   267.80   311.56   310.78   
267.66   267.05   311.12   310.75   
267.31   267.05   311.29   310.67   
267.43   267.80   311.56   310.35   
267.70   267.54   311.36   310.70   
267.21   267.45   310.96   310.53   
267.40   267.91   311.37   310.84   
267.06   266.84   311.38   310.43   
266.89   267.13   311.20   311.14   
267.71   267.40   311.13   310.88   
267.76   267.37   311.46   310.84   
267.43   267.10   311.15   310.59   
267.44   266.99   310.90   310.54   
267.42   267.52   311.16   310.46   
267.19   266.35   311.62   310.72   
268.19   267.24   311.37   310.86   
267.48   266.32   311.61   310.44   
267.87   266.72   311.25   310.29   
267.75   266.94   311.54   310.72   
267.52   267.28   311.98   310.60   
267.45   267.41   311.41   310.20   
267.32   267.10   311.41   310.68   
267.71   266.35   310.97   310.51   
267.53   267.35   311.16   310.52   
267.76   267.68   311.40   310.19   
266.82   267.97   311.17   310.34   
267.60   267.40   311.04   310.43   
267.17   266.85   311.48   310.10   
266.97   267.51   310.81   310.62   
267.62   267.79   311.49   310.24   
266.83   267.30   311.01   310.70   
267.91   267.92   311.33   310.58   
267.64   267.89   311.55   310.71   
267.07   267.08   311.43   310.10   
266.50   267.69   311.22   310.53   
267.37   267.50   311.57   310.48   
267.72   266.24   311.27   310.48   
267.67   267.31   311.30   310.07   
267.57   267.28   311.26   310.85   
267.94   267.51   311.13   310.83   
266.87   267.41   311.26   310.91   
267.30   267.51   310.93   310.31   
267.24   267.27   310.55   310.74   
266.18   267.12   311.35   310.59   
266.87   267.00   311.69   310.72   
267.44   267.63   310.64   310.44   
267.72   267.73   310.72   310.30   
267.10   267.42   311.19   310.54   
267.33   267.00   311.89   310.40   
267.07   266.49   310.93   311.19   
267.91   267.79   310.99   310.69   
268.21   267.55   310.80   310.67   
267.45   267.42   311.34   310.12   
267.04   267.09   311.42   310.33   
267.57   267.73   310.86   310.52   
267.93   267.41   311.53   310.42   
