N=1073741824
GB=9.22
threads=56
Copy    Scale   Add     Triad
136.06   136.76   160.02   159.50   
136.58   136.96   160.06   159.54   
136.55   136.45   160.42   159.76   
136.63   136.69   160.36   159.60   
136.15   136.44   160.49   159.55   
136.49   136.42   160.41   159.76   
136.64   136.43   160.22   159.73   
136.31   136.59   160.44   159.54   
136.58   136.50   160.30   159.66   
136.53   136.43   160.24   159.74   
136.44   136.63   160.37   159.60   
136.51   136.39   160.31   159.65   
136.61   136.38   160.05   159.53   
136.38   136.77   160.51   159.39   
136.09   136.64   160.30   159.54   
136.37   136.26   160.47   159.51   
136.66   136.51   160.44   159.48   
136.19   136.75   160.21   159.45   
136.67   136.58   160.22   159.43   
136.91   136.63   160.29   159.41   
136.57   136.37   160.04   159.76   
136.63   136.56   160.31   159.43   
136.45   136.27   160.18   159.39   
136.52   136.48   160.35   159.67   
136.44   136.63   160.37   159.54   
136.65   136.52   160.30   159.42   
136.35   136.11   160.37   159.53   
136.42   136.61   160.34   159.63   
136.44   136.67   160.34   159.57   
136.95   136.29   160.12   159.72   
136.42   136.36   160.43   159.52   
136.46   136.53   160.41   159.66   
136.56   136.45   160.24   159.45   
136.59   136.51   160.03   159.32   
136.71   136.28   160.00   159.57   
136.51   136.63   160.02   159.57   
136.73   136.49   160.31   159.25   
136.56   136.26   160.25   159.53   
136.04   136.55   160.34   159.67   
136.67   136.47   160.13   159.52   
136.67   136.54   160.34   159.74   
136.48   136.62   160.05   159.62   
136.16   136.54   160.51   159.39   
136.54   136.43   159.88   159.60   
136.32   136.21   160.48   159.49   
135.85   136.52   160.41   159.44   
136.35   136.11   159.90   159.71   
136.54   136.50   160.26   159.64   
136.54   136.63   160.22   159.43   
136.73   136.41   159.99   159.50   
136.14   136.21   160.30   159.53   
135.87   136.44   160.12   159.57   
136.38   136.40   160.18   159.54   
136.33   136.62   160.41   159.68   
136.50   136.35   160.38   159.30   
136.23   136.61   160.22   159.73   
136.13   136.53   159.97   159.44   
136.45   136.58   160.08   159.48   
136.48   136.58   160.31   159.58   
136.56   136.97   160.40   159.63   
136.55   136.50   160.36   159.53   
136.06   136.38   160.38   159.60   
136.48   136.57   160.09   159.69   
136.45   136.68   160.32   159.61   
136.50   136.66   160.31   159.46   
136.49   136.43   160.55   159.59   
136.73   136.69   160.53   159.42   
136.44   136.47   160.18   159.50   
136.81   136.80   160.00   159.55   
136.17   136.45   160.17   159.77   
136.40   136.31   160.17   159.30   
136.60   136.57   160.24   159.79   
136.42   136.41   159.97   159.67   
136.45   136.44   160.20   159.63   
136.39   136.35   160.26   159.62   
136.63   136.61   160.07   159.53   
136.20   136.25   160.18   159.48   
136.44   136.80   160.00   159.40   
136.50   136.42   160.03   159.72   
136.50   136.17   160.34   159.45   
136.34   136.52   159.95   159.41   
136.50   136.53   159.96   159.51   
136.44   136.63   160.04   159.72   
136.55   136.61   160.25   159.59   
136.63   136.37   160.22   159.34   
136.38   136.44   160.15   159.19   
136.28   136.48   160.28   159.26   
136.70   136.66   160.27   159.61   
136.57   136.43   160.38   159.71   
136.41   136.26   160.35   159.54   
136.48   136.74   160.31   159.41   
136.31   136.50   160.32   159.80   
136.64   136.61   160.17   159.66   
136.49   136.50   160.27   159.61   
136.64   136.52   160.37   159.58   
136.33   136.46   160.29   159.47   
136.59   136.68   160.32   159.55   
136.44   136.51   160.12   159.52   
136.71   136.77   160.32   159.69   
136.67   136.41   160.12   159.45   
