N=1073741824
GB=9.22
threads=56
Copy    Scale   Add     Triad
213.13   213.61   246.49   245.97   
214.13   214.09   246.08   245.58   
213.55   213.77   246.25   245.79   
214.20   213.17   246.71   245.79   
214.08   214.20   246.59   245.43   
212.92   213.43   246.27   245.72   
213.27   213.57   246.49   245.78   
212.90   213.69   246.79   245.87   
213.58   213.94   246.37   245.84   
213.79   213.94   246.22   245.70   
213.61   213.63   245.87   245.84   
213.57   213.98   246.60   245.77   
213.74   213.66   246.21   246.10   
213.64   213.85   246.08   246.10   
213.80   213.47   246.15   245.57   
213.98   213.68   245.99   245.82   
213.75   213.75   246.66   245.70   
213.79   213.78   246.50   245.89   
213.99   213.46   246.00   245.62   
213.70   213.40   246.33   245.53   
213.48   213.68   246.56   246.01   
213.81   213.75   246.45   245.51   
213.62   213.96   246.02   245.62   
213.00   213.45   246.46   245.72   
213.48   213.50   246.32   245.47   
213.28   213.07   246.26   245.99   
213.73   213.16   246.01   245.62   
213.31   213.38   246.44   245.86   
213.83   213.76   246.22   245.66   
213.55   213.91   246.75   245.61   
213.61   213.62   246.53   245.77   
213.73   213.75   246.29   245.58   
213.72   213.35   246.39   245.46   
213.84   213.87   246.43   246.11   
213.62   213.68   246.33   246.25   
213.78   213.21   246.29   245.73   
213.48   213.49   246.46   245.53   
213.34   213.19   246.22   245.79   
214.06   214.00   246.48   245.63   
214.00   213.70   245.99   245.27   
213.38   213.78   245.92   245.97   
213.81   213.47   246.72   245.36   
214.23   213.89   246.21   245.86   
213.95   213.50   246.40   245.72   
213.92   213.94   246.46   245.62   
213.49   213.74   246.13   245.66   
214.05   213.82   246.48   245.45   
213.73   213.70   246.03   246.14   
214.02   213.68   246.44   245.82   
213.59   213.49   246.15   245.78   
213.20   213.69   246.73   245.58   
213.79   213.87   246.70   246.04   
213.48   213.49   246.15   245.57   
213.52   213.47   246.36   245.53   
213.81   213.93   246.04   245.75   
213.94   214.05   246.59   245.25   
214.14   213.51   246.18   245.60   
213.57   213.78   246.71   245.58   
213.37   213.97   246.20   245.54   
213.67   213.48   246.26   246.18   
214.31   213.83   246.30   245.67   
212.75   213.47   246.34   245.66   
213.28   213.65   246.10   245.84   
214.11   213.62   246.42   245.84   
213.72   213.91   246.36   245.75   
213.90   213.92   246.16   245.46   
213.95   213.68   246.46   245.74   
213.59   213.73   246.06   245.67   
213.59   213.77   246.46   245.69   
213.87   213.62   246.83   245.53   
213.78   213.79   246.21   245.66   
213.59   213.48   246.12   246.15   
214.18   213.82   246.36   245.63   
213.50   213.66   245.89   245.51   
213.56   213.43   246.24   246.12   
213.55   214.14   246.78   245.88   
213.76   213.53   245.95   245.91   
214.09   213.87   246.84   245.88   
213.88   213.63   246.12   245.53   
213.52   213.67   246.46   246.29   
213.96   213.78   246.44   245.82   
213.86   213.36   246.25   245.87   
213.90   213.75   246.32   245.70   
213.68   213.57   246.10   245.94   
213.85   213.40   246.01   245.50   
214.10   213.58   245.96   245.99   
213.62   213.62   246.38   245.87   
213.97   213.77   246.45   245.62   
213.69   213.83   245.99   245.75   
213.53   213.23   246.51   245.80   
213.69   213.65   245.72   245.85   
213.88   213.48   246.28   245.67   
214.06   213.92   246.61   245.51   
213.60   213.68   246.40   245.67   
213.72   213.74   246.25   245.64   
214.00   214.03   246.14   245.84   
213.96   213.96   246.36   245.84   
214.11   213.79   246.45   245.80   
213.84   213.35   246.25   245.94   
213.76   213.53   246.14   245.39   
