N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
27.75   45.89   39.89   48.67   1.27   
46.99   47.24   57.16   52.56   2.02   
46.85   44.54   58.95   46.68   1.98   
49.86   48.23   62.34   51.59   2.13   
47.55   48.97   64.52   51.66   1.97   
48.22   47.46   64.45   52.53   1.98   
48.66   48.18   64.59   52.35   2.03   
48.41   49.02   64.69   52.11   1.99   
49.17   25.49   50.23   47.35   2.30   
47.16   44.42   52.62   44.63   2.09   
43.42   45.89   53.68   46.32   2.01   
44.52   44.94   49.14   46.69   1.93   
44.35   44.41   47.77   45.92   2.07   
44.48   45.70   55.97   45.99   1.97   
45.96   46.03   57.10   47.76   2.08   
44.45   45.92   55.39   49.02   2.01   
45.40   44.40   56.40   47.41   2.02   
45.48   46.17   52.15   47.99   2.10   
45.69   45.02   54.62   44.37   2.04   
44.01   46.43   52.31   48.09   2.04   
45.62   42.89   55.78   45.53   2.04   
44.46   43.37   55.46   38.53   2.01   
46.14   45.47   50.56   45.22   2.09   
45.06   45.35   48.60   47.80   1.90   
49.11   47.86   64.78   52.38   2.12   
48.37   48.37   64.55   51.67   2.14   
47.73   48.62   63.31   52.78   2.06   
49.08   48.65   64.01   51.42   2.28   
42.45   44.11   55.59   48.31   1.91   
46.61   45.71   56.79   47.08   2.09   
44.87   47.28   56.69   52.94   1.86   
48.69   48.35   65.48   51.81   2.01   
48.77   48.44   64.22   52.40   2.02   
48.44   48.74   65.15   52.08   1.99   
48.78   48.46   63.81   51.99   2.04   
48.90   48.74   63.14   53.13   2.00   
48.43   48.82   62.84   52.82   1.98   
48.81   46.42   63.04   49.27   2.04   
49.66   47.23   63.47   52.43   2.05   
47.75   48.57   63.27   52.36   1.94   
48.06   48.50   62.40   52.92   2.04   
49.03   47.75   64.50   53.42   2.22   
46.54   49.26   64.53   52.12   2.26   
45.64   48.57   62.52   52.66   1.86   
48.09   49.02   63.76   52.34   2.00   
49.43   49.19   60.85   52.63   2.07   
48.86   48.86   64.57   52.61   2.04   
49.48   47.89   63.91   51.00   2.15   
48.37   42.65   65.25   42.97   2.08   
43.09   48.38   44.91   45.29   2.03   
46.65   40.69   53.66   42.30   2.10   
34.97   42.20   48.37   43.61   1.54   
42.96   45.01   51.81   44.17   2.08   
47.35   48.34   64.31   52.11   1.97   
48.75   48.70   64.64   52.38   2.02   
48.46   48.54   64.33   52.62   2.01   
49.06   47.56   64.47   52.41   2.03   
48.60   47.79   64.79   51.86   1.99   
49.01   48.45   64.85   52.69   2.11   
49.41   46.63   56.86   45.17   2.18   
43.39   46.63   51.74   46.83   1.98   
42.43   38.15   46.76   40.50   1.87   
44.41   40.58   49.10   43.10   2.04   
39.88   40.20   44.49   48.49   1.73   
47.65   44.19   64.08   48.57   2.08   
43.67   48.47   54.92   51.99   2.09   
48.44   43.78   64.19   48.77   2.10   
43.84   48.06   63.06   48.12   1.83   
44.39   48.15   55.36   49.77   2.07   
40.47   42.05   48.40   43.26   2.10   
41.58   41.97   46.11   40.62   1.99   
45.30   38.02   44.59   44.97   2.01   
48.75   47.89   60.61   52.46   2.25   
49.38   44.44   65.20   52.94   2.15   
49.83   48.83   65.20   53.50   2.17   
49.91   48.09   66.06   52.52   2.12   
49.08   49.22   66.39   52.57   2.15   
48.76   49.57   65.11   53.58   2.12   
49.67   48.53   66.04   52.83   2.10   
49.92   47.73   66.67   52.70   2.11   
49.10   49.11   64.59   53.27   2.11   
49.57   49.57   64.55   53.22   2.14   
47.95   48.78   65.48   51.49   2.07   
44.28   48.70   65.33   53.00   1.87   
48.39   48.96   65.36   53.49   2.09   
49.88   48.91   56.29   53.20   2.35   
48.97   43.92   64.88   52.71   2.10   
49.72   49.10   65.72   52.04   2.13   
49.35   48.47   65.99   53.54   2.11   
49.29   48.82   66.21   52.63   2.08   
48.44   49.19   65.20   53.12   2.09   
48.97   48.99   63.90   52.05   2.12   
48.99   48.51   64.92   52.28   2.11   
49.29   47.55   66.20   53.64   2.09   
49.53   49.16   64.97   52.62   2.12   
48.72   49.37   66.57   53.44   2.06   
49.89   48.95   65.56   52.00   2.15   
45.63   42.92   38.77   44.11   2.03   
43.72   43.21   57.24   46.61   1.94   
45.21   46.31   53.42   48.00   2.06   
