N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
35.92   47.13   52.53   49.59   1.54   
48.74   46.23   63.29   49.18   2.01   
47.13   45.03   57.21   51.86   1.95   
46.77   47.37   62.70   51.70   1.97   
48.18   46.94   62.11   47.51   2.04   
48.57   46.31   44.40   50.50   2.15   
46.27   47.20   54.82   49.60   2.11   
47.85   44.21   57.99   47.36   2.02   
44.25   44.66   58.29   44.13   1.90   
45.49   46.55   61.54   50.39   1.87   
48.17   47.10   55.31   51.15   2.11   
47.43   46.91   63.24   50.87   1.92   
48.39   47.95   61.46   48.23   2.06   
47.13   44.83   62.94   49.15   2.06   
45.85   46.00   63.04   51.98   1.95   
47.89   47.15   61.90   51.34   1.96   
48.66   47.20   63.86   51.67   2.05   
48.23   48.38   63.41   52.10   2.05   
48.56   48.15   65.22   50.11   2.06   
47.61   45.16   59.88   49.03   2.06   
45.58   47.93   59.48   50.22   1.86   
48.09   48.44   63.36   51.98   2.04   
48.64   48.38   64.27   51.98   2.06   
49.02   47.75   64.69   51.69   2.10   
48.72   47.89   65.01   51.25   2.06   
48.88   47.81   63.66   52.03   2.08   
48.21   48.72   63.29   51.85   2.05   
48.59   48.56   63.33   51.58   2.07   
48.85   47.49   64.79   51.71   2.08   
48.88   47.52   65.06   51.35   2.07   
48.31   48.46   63.44   51.65   2.05   
48.70   48.43   62.83   52.40   2.06   
48.43   48.53   63.27   48.99   2.27   
46.34   47.98   63.69   51.87   1.98   
47.57   44.81   62.13   49.40   2.01   
47.00   47.69   62.70   50.91   2.02   
47.01   48.57   62.99   50.08   1.95   
48.34   47.42   57.25   50.96   2.04   
48.08   45.78   63.49   51.46   2.07   
47.11   44.77   56.01   47.65   2.01   
45.01   44.93   54.06   47.85   2.01   
46.43   44.28   54.55   47.01   2.07   
45.14   47.50   61.64   49.93   1.88   
46.81   47.21   61.40   51.35   1.97   
47.98   47.86   60.59   51.36   2.06   
48.57   48.19   62.73   52.61   2.08   
48.90   48.66   63.27   51.90   2.08   
48.75   48.22   63.90   51.51   2.05   
48.62   48.06   63.90   51.80   2.04   
48.32   48.43   65.01   51.68   2.05   
48.80   48.30   64.72   52.04   2.10   
49.21   48.03   62.43   50.73   2.26   
48.19   45.68   63.46   51.13   2.03   
48.59   48.37   63.84   51.28   2.08   
47.24   45.74   63.12   47.64   1.99   
46.40   46.54   55.72   50.69   2.09   
47.73   47.32   57.08   48.77   2.13   
43.68   43.80   55.97   45.46   1.93   
46.56   41.31   52.65   47.39   2.11   
42.92   44.59   63.46   50.07   1.84   
48.57   47.62   63.83   51.74   2.08   
49.06   46.91   64.05   51.40   2.00   
48.97   47.96   64.48   51.74   1.99   
48.08   48.84   63.75   51.63   1.99   
47.82   48.77   63.90   51.79   2.42   
44.45   48.19   61.43   51.42   1.90   
48.17   48.68   64.59   51.53   2.03   
49.05   48.72   64.13   51.06   2.08   
48.50   46.65   64.02   52.04   2.05   
48.84   47.81   62.11   49.52   2.18   
47.99   46.59   64.64   51.88   2.02   
48.87   47.45   65.15   51.76   2.06   
48.21   48.71   64.46   52.05   2.05   
48.60   48.68   64.48   51.69   2.05   
49.14   47.63   63.81   51.64   2.10   
48.91   48.81   64.74   52.32   2.09   
49.12   48.23   62.73   51.29   2.08   
48.50   47.82   64.17   51.56   2.04   
49.20   48.03   63.19   52.39   2.08   
48.84   48.11   62.35   50.87   2.07   
48.87   48.23   65.20   51.93   2.06   
49.00   48.38   64.86   52.10   2.07   
48.62   48.82   64.00   52.36   2.05   
48.22   48.76   64.04   52.49   2.08   
49.11   48.65   65.29   52.19   2.09   
49.29   48.53   65.22   52.38   2.08   
49.02   48.38   65.07   51.86   2.06   
48.32   48.88   64.86   52.11   2.03   
48.95   48.81   64.21   52.23   2.09   
49.18   48.63   64.34   52.23   2.10   
49.23   48.51   65.15   51.92   2.08   
49.15   47.90   65.11   51.72   2.07   
48.53   48.92   64.86   51.76   2.05   
49.30   48.75   64.47   51.32   2.10   
49.02   48.88   63.92   52.28   2.08   
49.19   47.83   65.00   51.75   2.07   
49.08   48.14   65.11   51.94   2.06   
48.37   48.43   64.74   52.31   2.06   
48.69   48.88   64.12   52.16   2.07   
48.80   48.34   64.27   51.73   2.07   
