N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
29.23   45.30   47.04   52.30   1.29   
46.47   44.39   60.32   51.21   1.91   
46.69   48.66   58.28   51.47   2.03   
48.91   47.00   61.68   52.52   2.05   
49.12   44.88   57.50   49.46   2.07   
46.43   49.00   64.67   50.34   2.01   
48.76   48.99   61.75   52.36   2.07   
48.29   48.60   65.68   51.45   2.07   
48.96   48.93   64.40   52.86   2.10   
49.72   48.37   61.37   52.42   2.11   
48.53   49.06   63.11   52.51   2.07   
49.43   49.40   64.76   52.45   2.14   
48.78   49.01   62.13   49.32   2.02   
44.96   45.37   52.25   50.33   2.03   
45.83   46.96   54.40   48.63   2.02   
47.85   48.75   63.95   52.03   1.99   
48.25   49.02   65.86   52.71   2.05   
49.72   48.45   66.36   51.80   2.22   
49.30   46.96   57.66   51.16   2.02   
47.53   49.31   63.85   52.38   2.14   
48.07   48.23   59.60   50.42   2.06   
48.38   47.82   64.62   48.55   2.01   
47.43   47.73   52.83   47.49   2.18   
48.47   47.34   57.71   52.50   2.00   
49.02   49.34   63.54   52.62   2.20   
47.20   48.45   63.80   52.30   2.08   
48.96   48.21   65.04   52.65   2.08   
46.43   44.63   63.71   49.50   2.00   
46.87   48.80   59.05   50.44   2.01   
46.53   46.61   64.48   52.55   2.03   
47.93   48.68   65.32   51.46   2.15   
47.59   46.38   62.24   50.39   2.08   
48.95   48.49   64.00   52.24   2.01   
48.57   47.75   62.94   51.22   2.01   
48.50   48.19   66.27   50.86   1.98   
49.03   49.06   66.08   52.53   2.11   
48.41   47.23   63.44   49.10   2.12   
46.91   49.05   59.06   52.33   1.97   
48.35   48.52   60.48   51.23   2.11   
46.40   46.38   64.19   49.56   1.96   
48.83   45.52   63.97   49.35   2.04   
47.65   48.22   59.90   51.47   1.99   
46.73   48.78   57.71   52.28   2.00   
48.38   48.78   64.90   52.15   2.05   
48.21   49.17   61.97   49.48   2.03   
45.09   48.88   60.26   47.55   2.03   
46.82   46.47   64.81   52.52   1.98   
40.85   48.51   58.41   52.57   1.76   
48.87   45.57   56.39   49.99   2.15   
48.96   43.58   63.31   48.61   1.99   
48.93   48.93   62.71   51.62   2.03   
49.29   48.60   64.31   52.17   2.01   
48.68   49.06   62.68   51.95   2.09   
49.66   48.09   65.54   48.48   2.24   
46.53   45.10   51.66   46.80   1.95   
45.45   44.61   56.01   50.73   1.88   
49.35   48.09   65.25   52.30   2.05   
45.66   47.51   56.50   50.52   2.03   
46.08   48.84   54.21   51.78   2.00   
48.37   48.86   65.50   52.48   2.06   
47.24   45.16   58.85   48.79   2.07   
48.82   47.17   58.28   52.03   2.09   
48.24   48.72   62.56   50.81   2.06   
49.00   47.68   63.81   51.09   2.13   
48.43   47.35   66.23   52.46   2.06   
48.60   48.45   64.04   51.77   2.07   
48.55   48.19   64.33   50.48   2.11   
48.84   48.66   62.76   52.23   2.11   
49.11   49.34   63.18   52.40   2.11   
46.14   48.32   64.50   52.05   1.90   
48.35   48.31   66.31   51.00   2.07   
49.64   48.86   64.62   49.69   2.08   
48.96   49.22   63.76   53.16   2.17   
47.55   48.50   64.29   51.25   2.01   
49.41   48.34   59.09   52.13   2.23   
47.35   46.63   57.92   50.09   2.02   
48.35   49.05   64.92   53.51   1.98   
49.28   49.02   65.23   53.33   2.09   
49.14   49.44   65.10   52.97   2.07   
49.37   49.54   64.69   51.82   2.09   
49.11   48.31   64.04   49.18   2.19   
49.77   47.02   56.18   49.34   2.26   
47.38   48.14   63.59   51.53   1.95   
48.68   48.18   64.92   51.40   1.98   
48.84   48.95   65.01   52.48   2.13   
48.41   49.05   64.54   52.10   2.08   
48.84   47.37   65.70   52.60   2.10   
48.93   47.95   64.81   51.45   2.04   
49.41   45.56   61.41   50.25   2.08   
48.96   48.35   64.17   52.45   1.99   
48.62   49.44   63.06   47.68   2.06   
45.31   47.69   60.32   48.57   1.92   
48.03   48.32   58.28   51.66   2.04   
47.00   47.34   58.41   50.74   2.07   
48.06   46.12   64.40   49.34   1.95   
46.88   48.25   63.21   48.50   2.06   
46.98   45.97   57.93   51.81   2.02   
47.49   45.89   59.66   45.99   2.02   
45.58   46.59   63.27   50.37   1.91   
46.62   48.32   58.17   52.38   2.05   
