N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
37.59   48.49   56.85   53.85   1.56   
48.80   49.26   64.85   50.86   2.06   
49.31   49.11   64.90   53.85   2.05   
49.00   49.38   65.72   54.12   2.16   
48.00   49.34   58.52   49.97   2.23   
47.45   45.87   56.30   53.63   1.95   
47.55   47.00   64.40   53.61   1.95   
49.49   49.26   65.79   52.90   2.01   
47.69   49.37   65.63   43.42   2.12   
48.86   42.71   50.99   50.14   2.23   
45.35   46.76   59.51   47.81   1.92   
48.53   46.88   66.15   54.08   2.08   
46.99   46.85   56.70   49.88   2.02   
47.90   47.56   63.16   49.25   2.01   
45.95   49.32   65.23   51.34   1.87   
49.25   48.93   66.28   53.67   2.01   
49.10   48.96   66.52   53.51   1.98   
49.19   48.74   67.51   53.44   1.98   
48.39   49.20   67.32   53.63   1.97   
49.26   48.97   67.17   53.63   2.01   
49.02   47.95   66.96   54.18   2.03   
49.83   48.89   66.89   53.84   2.04   
49.86   47.64   58.91   51.72   2.08   
49.21   48.06   66.37   53.82   1.99   
49.23   49.02   66.06   50.76   2.03   
48.18   49.16   65.66   52.40   1.95   
49.55   47.49   65.47   51.12   2.02   
48.99   47.85   61.97   51.45   2.10   
48.02   48.65   62.52   51.69   2.17   
47.28   46.39   60.53   53.36   2.00   
47.88   48.09   63.90   53.26   2.04   
46.19   48.32   65.23   50.66   1.92   
49.20   48.22   67.10   53.84   2.02   
49.52   48.76   67.84   53.51   2.01   
49.52   48.63   67.47   54.09   2.01   
49.35   49.11   67.76   53.69   2.01   
49.37   48.66   66.98   54.18   2.07   
49.32   49.09   66.07   54.53   2.09   
49.60   48.99   65.90   54.43   2.10   
49.61   49.14   66.59   54.51   2.10   
49.32   48.92   66.43   53.56   2.05   
49.26   48.82   66.17   53.68   2.04   
48.83   49.66   66.52   53.65   2.04   
49.16   49.55   65.74   54.25   2.05   
49.25   49.06   66.59   53.72   2.08   
49.78   49.08   67.36   53.93   2.10   
49.85   48.51   67.97   53.61   2.08   
49.78   48.44   67.60   53.57   2.08   
49.84   48.65   67.53   53.46   2.10   
49.23   48.81   65.88   53.38   2.08   
47.66   46.89   64.48   53.68   1.93   
48.95   49.41   65.29   54.01   2.01   
49.58   48.31   66.08   53.53   2.00   
48.16   49.07   65.06   53.60   1.99   
49.29   48.84   60.10   52.75   2.07   
49.28   46.64   65.70   50.55   2.13   
49.53   48.35   58.41   48.53   2.15   
45.07   48.41   65.04   50.87   1.82   
46.54   48.87   57.12   46.41   2.12   
48.43   46.78   55.50   49.05   2.13   
46.26   48.97   58.59   53.36   1.98   
47.62   45.57   60.32   52.32   2.00   
45.49   45.95   59.58   52.91   1.96   
49.05   48.44   60.21   54.31   2.05   
45.43   45.82   61.37   50.26   1.88   
47.50   47.02   63.68   52.91   1.92   
49.30   49.64   65.70   54.08   1.99   
48.76   49.58   65.97   54.18   1.97   
49.12   49.41   66.37   53.52   2.01   
46.14   48.79   65.70   53.72   1.93   
49.46   48.53   67.70   53.17   2.08   
49.43   48.46   67.89   53.48   2.07   
49.50   48.69   66.50   52.92   2.11   
48.80   44.94   56.70   50.08   2.04   
45.03   44.68   62.96   48.31   1.94   
46.37   46.42   58.90   50.92   1.91   
47.48   49.08   65.88   52.78   2.00   
48.69   47.69   64.83   50.42   2.05   
48.38   49.35   65.18   54.14   2.06   
49.57   49.11   66.22   53.64   2.09   
49.34   48.90   66.76   53.25   2.07   
45.98   46.06   60.62   52.68   2.04   
48.41   45.35   57.86   50.33   2.00   
46.35   48.21   59.70   47.62   1.95   
45.48   47.71   53.63   49.62   2.02   
46.88   43.85   57.38   49.06   1.89   
45.29   43.03   57.34   50.32   2.16   
48.27   44.89   59.58   49.27   2.07   
48.49   44.69   59.60   50.92   1.98   
46.55   48.69   60.18   52.22   1.91   
47.48   49.22   59.79   52.36   2.06   
47.72   46.95   63.31   52.11   2.06   
48.46   45.36   59.94   49.69   2.17   
46.50   46.59   53.72   50.24   1.96   
48.02   47.81   59.47   50.59   2.04   
49.17   46.56   65.97   49.90   2.08   
47.99   47.35   64.17   52.28   2.04   
48.50   49.35   53.78   50.85   2.06   
45.48   48.02   57.14   53.86   2.07   
46.88   48.45   59.16   53.58   2.09   
