N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
35.94   47.85   54.61   51.51   1.47   
48.44   48.37   63.29   51.68   1.99   
48.12   48.22   64.26   51.94   1.98   
49.06   48.05   64.24   51.76   2.03   
48.92   48.38   63.95   51.74   2.02   
48.38   47.72   63.51   51.72   1.98   
48.49   48.37   63.80   51.86   1.97   
48.47   48.88   63.61   51.99   1.98   
48.29   48.87   63.02   52.07   1.98   
48.57   48.19   64.71   52.05   2.00   
49.20   47.68   65.57   51.48   2.00   
48.92   48.02   64.22   52.04   1.99   
48.68   48.21   63.91   52.36   1.99   
48.31   48.81   62.98   52.28   1.98   
48.74   48.66   63.39   52.11   2.01   
48.85   48.28   64.17   52.07   1.98   
48.72   47.98   65.41   51.67   1.98   
48.86   48.40   64.81   51.83   2.00   
48.56   48.59   64.60   52.49   1.99   
49.10   48.31   44.05   51.81   2.02   
48.34   48.28   63.93   51.43   1.95   
48.77   47.93   65.32   51.82   2.07   
48.63   48.49   65.41   51.90   2.07   
48.78   48.49   61.12   52.36   2.02   
47.25   46.92   56.34   51.68   1.91   
47.39   46.84   63.63   51.73   1.92   
47.96   48.87   63.95   51.79   1.96   
48.69   48.47   64.35   52.18   2.02   
49.31   47.99   64.97   52.07   2.04   
48.88   48.45   63.65   52.01   2.00   
49.14   47.59   63.71   52.00   2.00   
48.06   48.76   63.61   51.99   1.99   
48.49   48.84   62.43   51.70   1.99   
48.72   41.71   61.71   52.23   2.12   
48.22   48.03   59.80   49.50   1.98   
47.02   44.71   61.73   50.26   1.95   
47.13   46.84   62.81   51.21   2.01   
47.88   47.77   64.28   51.38   2.08   
48.18   47.39   63.73   51.29   2.00   
48.09   48.13   58.40   51.42   2.06   
48.87   46.53   61.59   48.22   2.08   
47.04   48.00   63.31   51.71   2.11   
46.15   45.20   60.29   49.69   1.98   
48.54   48.03   63.74   51.95   2.00   
48.01   48.81   62.97   52.16   1.97   
48.31   48.38   63.90   51.91   1.97   
48.80   48.32   63.34   51.51   1.98   
48.55   47.87   65.45   51.62   1.98   
48.72   48.25   65.07   51.88   2.00   
48.63   48.51   63.76   52.47   1.99   
49.14   48.53   57.69   47.57   1.99   
46.65   45.49   58.52   51.40   1.90   
48.82   48.11   64.71   52.00   2.07   
48.59   47.99   65.00   51.32   2.06   
47.99   48.27   63.36   52.38   2.08   
48.80   48.31   63.53   52.56   2.13   
48.13   47.76   57.17   50.99   2.06   
47.93   46.36   64.33   49.99   2.00   
48.28   46.55   62.78   49.68   2.04   
47.27   47.13   61.00   51.72   1.99   
45.99   48.11   63.52   51.12   1.94   
47.89   46.81   60.70   51.91   1.95   
48.35   48.50   64.64   51.31   2.08   
48.84   48.09   60.41   51.26   2.13   
49.02   47.90   63.83   51.96   2.07   
48.65   47.95   63.74   51.85   2.05   
48.34   48.76   64.02   52.08   2.04   
48.65   48.29   63.06   51.70   2.08   
49.19   48.26   61.89   51.12   2.10   
48.90   46.40   54.23   50.79   2.17   
47.17   48.68   63.84   51.65   1.92   
48.34   48.38   63.24   51.93   1.98   
48.32   48.19   64.66   51.23   2.01   
48.88   48.54   65.11   50.88   1.99   
48.82   47.16   65.31   51.45   1.99   
48.71   48.49   63.88   52.56   2.00   
48.82   48.81   62.96   52.33   2.03   
48.94   48.77   55.48   49.50   2.01   
47.42   46.02   64.59   51.87   1.93   
49.12   48.00   65.29   51.98   2.00   
48.50   47.89   64.28   52.39   1.98   
48.63   48.36   62.99   51.88   2.06   
48.15   48.65   63.19   51.99   1.99   
48.90   47.23   63.98   51.75   1.98   
48.50   48.44   63.52   52.04   1.96   
48.06   48.53   65.08   51.88   1.99   
48.96   47.92   64.41   51.99   2.01   
49.37   47.63   63.58   52.54   2.02   
49.28   47.98   63.83   52.33   2.03   
48.78   48.35   63.53   51.13   1.99   
47.95   47.80   63.83   49.80   1.94   
47.52   48.55   64.00   52.18   1.97   
49.29   48.19   64.69   52.12   2.04   
49.30   48.45   65.59   51.46   2.01   
48.93   48.06   63.88   51.82   1.99   
47.96   48.46   62.08   52.05   1.99   
48.49   48.81   63.76   45.15   2.06   
48.35   48.51   64.83   52.17   2.06   
48.87   47.63   65.48   51.60   2.11   
48.74   47.51   64.38   52.38   2.07   
