N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
37.82   48.41   55.78   52.38   1.56   
48.21   48.32   64.50   51.67   1.99   
48.54   48.68   64.76   51.81   2.00   
49.02   48.50   65.20   52.01   2.03   
48.96   48.11   63.81   52.32   2.02   
49.00   48.09   63.86   52.06   2.01   
48.05   48.60   63.92   51.66   1.95   
48.51   48.60   63.01   52.11   1.99   
48.71   48.78   64.41   51.86   2.01   
48.96   47.88   64.99   51.99   2.02   
49.01   47.90   65.11   52.15   2.01   
48.90   48.40   64.05   52.82   2.01   
48.31   48.57   64.38   52.10   1.99   
49.15   48.63   62.79   52.04   2.01   
48.69   48.96   63.29   52.41   2.01   
48.75   48.45   64.76   49.43   2.00   
49.15   46.66   62.73   47.97   2.02   
48.37   48.62   63.88   52.83   1.98   
49.02   48.56   63.63   53.09   2.03   
49.05   48.98   64.19   52.43   2.00   
48.82   48.35   64.67   51.99   1.99   
48.72   47.98   64.50   52.29   1.97   
48.13   48.75   65.79   52.22   1.97   
48.68   48.72   64.78   52.62   2.02   
49.50   48.51   65.45   52.48   2.05   
49.49   48.63   64.94   52.64   2.03   
49.25   48.35   64.60   52.61   2.01   
49.08   48.60   64.29   51.85   2.00   
48.88   48.83   64.38   52.19   1.99   
48.55   43.09   51.89   52.47   2.07   
49.54   48.03   65.79   52.28   2.11   
49.37   47.92   64.59   52.45   2.09   
48.41   48.86   64.26   52.71   2.06   
48.62   49.15   64.19   51.94   2.08   
49.15   48.90   64.26   52.43   2.10   
49.12   48.77   64.62   52.15   2.08   
49.28   48.49   65.86   51.94   2.09   
49.23   48.28   65.56   52.40   2.10   
49.26   48.75   64.05   53.03   2.11   
49.40   48.84   63.81   52.69   2.11   
49.16   48.93   64.14   52.42   2.09   
48.99   48.56   64.61   52.31   2.07   
48.78   48.37   64.69   52.20   2.07   
46.66   48.87   64.57   49.19   2.00   
48.06   48.39   64.29   52.86   2.01   
49.47   48.19   64.17   52.62   2.03   
49.00   48.56   64.43   52.05   2.00   
48.75   48.98   64.59   52.18   1.99   
48.43   49.14   64.05   52.45   1.97   
48.71   48.92   64.29   52.43   2.01   
49.34   48.56   64.97   52.32   2.03   
49.50   47.96   65.95   52.31   2.03   
49.49   48.44   64.79   52.40   2.05   
48.75   47.01   57.42   48.81   2.03   
48.28   47.04   63.65   52.30   2.00   
49.17   48.62   63.81   52.37   2.03   
48.77   48.13   65.88   52.01   1.99   
49.32   47.35   65.86   52.02   2.01   
49.05   48.60   65.74   52.32   2.01   
48.87   48.82   64.19   53.06   1.99   
49.03   48.84   64.01   52.56   2.01   
49.19   48.87   64.03   52.35   2.01   
49.01   48.60   64.47   52.15   1.98   
48.84   48.30   64.43   52.21   1.99   
48.44   48.80   65.57   52.13   1.98   
49.45   48.43   65.81   52.33   2.04   
49.11   48.00   64.54   51.19   2.06   
49.01   48.77   64.31   52.60   2.01   
49.03   48.47   64.52   52.07   1.99   
48.83   48.65   64.27   52.18   1.99   
48.71   49.20   64.46   52.08   2.08   
45.71   47.20   65.45   48.81   1.94   
49.20   48.11   65.32   52.26   2.09   
48.76   48.27   64.76   52.37   2.07   
48.49   48.75   64.29   52.61   2.08   
48.69   49.00   63.71   52.40   2.08   
49.14   48.90   62.42   52.53   2.09   
48.93   48.11   65.00   49.58   2.22   
47.89   47.36   65.86   51.95   2.03   
48.80   48.60   64.50   52.60   2.08   
49.02   48.76   63.31   50.99   2.05   
48.59   48.93   63.93   52.47   1.99   
49.02   47.95   64.73   52.30   1.99   
49.01   48.50   64.64   52.03   1.99   
48.40   48.51   65.70   52.30   1.99   
48.88   48.81   65.59   52.20   2.00   
49.32   48.50   64.97   52.70   2.05   
49.26   48.54   63.95   52.86   2.03   
48.99   44.86   60.12   52.02   1.99   
49.08   48.57   64.40   52.16   1.99   
48.43   49.20   64.13   52.29   1.97   
48.32   48.77   64.50   52.47   2.00   
49.32   48.54   64.86   52.37   2.04   
49.40   48.50   65.90   52.23   2.09   
49.23   48.31   64.17   52.32   2.02   
49.16   48.93   64.09   52.29   2.00   
48.50   49.06   63.73   52.55   1.97   
48.84   48.94   63.71   52.61   2.07   
46.65   48.75   60.06   49.54   1.93   
48.87   48.31   65.68   52.10   2.01   
