N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
34.59   47.18   54.71   51.48   1.47   
48.49   48.39   63.37   52.92   2.07   
46.15   45.70   63.32   50.97   1.93   
49.03   48.37   63.56   50.91   2.02   
48.21   47.11   59.17   51.99   2.02   
48.93   47.18   64.92   51.49   2.02   
49.05   48.35   65.15   51.80   2.03   
47.98   48.25   62.91   52.65   1.98   
48.80   48.53   64.04   51.66   2.00   
48.72   48.18   63.83   51.54   1.97   
48.18   48.21   63.21   50.75   2.12   
48.76   45.85   56.52   47.31   2.26   
46.74   46.65   63.63   51.95   2.01   
48.50   48.75   56.18   51.72   2.07   
48.47   47.85   64.67   51.76   2.01   
47.86   48.37   65.29   52.10   2.05   
47.96   48.03   63.54   52.45   1.96   
49.03   48.49   64.29   52.43   2.09   
48.31   48.40   63.75   51.63   2.05   
47.52   48.81   63.37   52.17   2.02   
48.62   47.34   60.97   49.63   2.08   
48.95   45.20   56.93   49.21   2.13   
47.76   44.90   58.94   51.82   2.03   
47.63   44.89   63.37   48.59   1.99   
44.97   48.05   64.74   51.81   1.99   
45.54   46.47   56.17   51.99   1.91   
47.43   46.95   59.41   52.19   1.99   
48.53   48.95   60.60   50.25   2.21   
47.66   45.40   59.73   49.69   2.03   
47.85   45.22   61.29   49.65   2.07   
47.89   46.56   60.23   50.68   2.01   
48.41   46.98   64.52   50.85   2.09   
48.60   47.20   56.71   51.88   2.01   
47.76   46.55   56.22   50.58   1.95   
47.76   44.87   63.11   51.75   1.98   
48.87   47.49   61.92   52.29   2.16   
47.72   45.19   57.47   50.72   2.02   
48.69   45.78   59.33   51.68   2.02   
48.39   48.37   64.19   52.10   2.05   
48.66   48.91   63.58   52.31   2.09   
48.00   48.45   65.20   52.48   2.04   
49.26   48.35   65.72   51.39   2.11   
49.14   47.82   65.65   50.78   2.17   
47.73   48.19   61.54   42.55   2.03   
45.96   47.46   62.92   52.25   1.90   
48.28   47.41   62.66   51.18   2.13   
48.25   47.93   58.57   49.18   2.12   
47.86   48.52   60.22   45.87   2.07   
44.77   47.86   58.06   48.47   2.16   
46.62   42.85   58.84   49.10   1.98   
47.45   48.90   63.12   52.40   2.00   
48.75   48.63   63.68   52.16   2.08   
48.83   47.92   65.65   51.90   2.08   
48.96   48.19   65.45   52.24   2.07   
48.74   48.56   64.36   52.45   2.07   
48.78   47.75   64.03   52.73   2.10   
49.06   48.71   63.80   52.45   2.09   
49.07   47.70   64.45   52.11   2.10   
48.72   46.07   62.32   51.41   2.00   
47.95   48.12   64.88   52.02   2.04   
48.31   48.37   63.23   52.76   2.07   
49.34   48.11   63.80   52.74   2.12   
48.91   48.57   64.62   51.78   2.06   
47.89   48.62   64.15   52.22   2.02   
48.37   46.85   58.82   50.01   2.14   
49.12   47.45   60.99   49.79   2.04   
49.40   47.95   64.33   52.56   2.09   
48.81   47.76   59.78   50.43   2.02   
47.15   48.56   64.34   51.67   1.91   
47.72   46.71   62.78   48.52   1.97   
46.89   47.10   56.15   52.62   1.95   
47.72   48.68   58.01   52.14   2.07   
48.18   47.02   61.76   52.34   1.99   
46.69   46.06   65.25   50.71   1.99   
48.87   47.10   65.57   48.26   2.09   
47.38   48.18   56.90   47.04   1.98   
48.32   48.21   63.19   48.96   2.08   
45.87   47.86   62.40   49.66   1.94   
49.06   47.39   65.23   50.57   2.11   
48.90   47.49   63.54   52.49   2.00   
48.21   49.03   63.78   52.22   2.03   
48.43   48.08   63.26   52.32   2.08   
46.42   47.34   63.88   50.25   1.90   
48.76   47.02   65.73   52.11   2.10   
49.16   48.18   65.41   51.42   2.10   
48.78   47.65   63.69   52.18   2.07   
44.10   47.42   56.29   49.13   1.93   
48.11   45.39   63.34   48.59   2.04   
48.82   48.56   64.95   52.00   2.08   
48.93   48.65   62.96   53.16   2.12   
48.70   47.90   63.81   51.84   2.10   
46.24   47.31   58.44   52.02   1.97   
48.05   46.67   56.38   51.67   2.07   
48.88   47.95   64.17   50.17   2.08   
47.46   48.79   63.33   52.55   2.05   
49.03   48.50   63.63   51.59   2.18   
48.32   47.80   64.17   51.74   2.03   
48.40   48.02   62.99   51.25   2.06   
49.02   48.18   64.29   48.73   2.11   
49.09   48.14   63.76   52.82   2.10   
