N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
26.46   47.59   45.41   51.20   1.09   
48.84   48.28   63.19   51.93   2.01   
48.41   48.18   63.48   51.50   1.97   
48.57   48.13   62.93   51.92   2.01   
48.59   48.54   64.24   51.58   2.00   
48.38   48.16   64.41   51.56   2.00   
49.02   48.00   64.28   51.59   2.01   
48.82   47.61   63.44   52.01   1.99   
48.44   48.29   63.04   51.73   1.98   
47.82   48.47   63.46   51.68   1.97   
48.35   48.41   62.68   51.81   1.98   
48.51   47.92   64.29   51.62   1.99   
48.87   47.10   64.74   51.19   2.00   
48.75   47.89   63.66   52.27   2.00   
48.34   48.08   63.54   48.95   2.15   
44.59   44.68   54.42   46.14   1.95   
48.38   46.67   59.64   52.05   2.07   
47.35   48.53   63.12   51.86   1.94   
48.18   47.65   63.27   51.70   1.98   
48.83   48.29   63.66   51.29   2.00   
48.44   47.61   64.97   51.38   1.97   
48.97   47.90   64.73   51.48   2.01   
48.34   47.93   64.08   52.00   2.00   
48.55   47.93   62.88   52.06   2.00   
48.68   48.22   63.16   51.71   1.99   
48.25   47.30   63.31   51.38   1.95   
48.51   48.00   63.90   51.68   1.98   
48.43   48.18   64.31   51.70   1.99   
48.55   47.96   64.08   51.25   2.00   
49.06   47.79   61.40   48.91   2.12   
48.43   47.95   63.76   51.37   1.97   
48.28   47.44   63.24   51.39   1.97   
47.98   47.48   63.27   47.85   2.04   
46.80   45.51   61.63   48.91   2.03   
46.23   48.46   61.02   51.13   2.00   
48.00   45.92   58.48   47.48   2.15   
47.06   45.21   58.57   51.51   1.92   
37.86   48.75   58.42   44.58   1.64   
46.16   44.73   59.94   48.89   2.03   
47.34   46.45   62.58   48.02   2.08   
45.47   47.71   62.24   50.82   1.91   
45.22   45.27   57.01   51.25   2.00   
43.72   46.51   61.78   49.21   1.92   
45.86   47.86   56.49   51.50   1.86   
47.82   47.99   58.57   49.16   2.03   
48.74   46.82   63.24   49.67   2.07   
46.28   45.51   57.19   49.62   1.89   
48.31   47.65   63.26   49.29   2.06   
44.88   47.27   55.52   48.65   2.01   
46.88   46.99   58.17   49.79   2.11   
47.18   45.30   58.29   49.14   1.98   
46.39   46.32   58.65   50.71   1.98   
47.00   47.76   56.99   50.49   2.03   
47.81   45.48   61.75   48.49   1.99   
47.83   48.10   62.24   51.28   1.95   
43.25   45.07   50.02   47.53   1.76   
41.77   45.29   54.65   48.00   1.85   
46.54   42.78   59.23   47.40   1.95   
44.39   47.14   58.91   51.64   1.82   
48.31   46.99   56.55   51.17   2.09   
44.73   47.25   62.32   49.15   1.86   
46.82   47.85   62.61   51.49   1.96   
44.72   44.44   56.93   50.02   1.89   
47.78   46.20   58.41   50.01   1.97   
48.87   47.93   64.45   51.87   2.01   
48.65   47.66   63.88   51.39   2.03   
47.86   46.36   62.29   50.08   2.12   
44.78   47.87   53.58   49.81   1.94   
48.84   45.58   58.57   50.91   2.19   
47.44   47.24   64.81   52.22   1.94   
49.20   48.21   64.74   51.88   2.09   
48.51   45.58   60.10   51.29   2.04   
48.09   47.28   62.10   50.60   1.97   
48.02   46.53   64.14   50.21   2.00   
48.84   48.37   64.50   52.30   2.01   
48.80   47.89   65.34   51.90   2.07   
48.93   47.41   64.61   51.43   2.06   
47.76   46.41   63.95   48.90   1.97   
45.37   46.59   61.57   48.37   1.86   
46.98   45.79   63.29   49.26   1.92   
47.07   47.89   62.84   50.02   1.98   
48.87   48.74   61.75   51.26   2.03   
48.13   48.71   64.90   52.61   1.97   
49.14   47.99   64.62   52.41   2.06   
48.99   48.49   56.94   51.26   2.17   
48.25   44.96   63.48   48.50   1.98   
47.03   48.69   62.94   52.36   2.01   
46.22   48.34   64.05   49.47   2.00   
46.47   48.10   50.05   45.58   2.01   
46.27   47.69   58.24   51.34   2.00   
47.98   44.48   63.42   47.83   1.99   
41.01   47.48   50.29   45.41   1.83   
46.61   45.79   63.61   49.15   2.02   
47.73   48.59   63.82   47.80   2.28   
48.35   48.10   50.23   45.93   2.01   
45.16   47.83   57.17   52.08   1.89   
48.75   46.15   63.86   51.94   1.99   
48.84   47.39   64.78   51.20   1.99   
47.66   48.55   63.90   52.18   1.94   
47.21   47.56   64.86   52.36   1.97   
