N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
129.98   99.63   96.54   123.85   1.88   
133.79   136.29   125.99   125.72   2.07   
131.05   123.16   121.84   125.52   1.89   
135.35   135.03   128.68   125.92   1.98   
137.46   137.69   124.54   123.97   1.98   
134.35   133.87   128.91   127.73   1.97   
132.47   133.90   126.45   121.82   1.94   
136.85   134.46   130.51   126.65   2.03   
136.26   134.70   127.18   124.41   1.95   
138.77   134.00   127.12   124.61   2.01   
134.00   135.25   127.73   124.41   1.92   
139.37   135.71   128.82   121.90   2.06   
135.27   134.68   126.11   123.27   1.98   
137.10   137.12   130.22   95.81   2.73   
102.69   96.38   96.70   126.26   1.52   
138.40   137.83   128.96   123.97   2.02   
136.29   135.82   127.33   126.59   1.98   
137.94   135.03   125.25   124.03   2.00   
132.13   135.82   128.54   125.72   1.90   
140.84   136.18   126.51   127.20   2.04   
136.98   136.29   126.46   125.25   1.99   
137.10   135.03   128.01   125.45   2.00   
135.25   135.14   126.11   122.76   2.21   
114.77   133.58   125.39   124.03   1.85   
137.80   136.29   127.60   125.72   2.04   
139.75   139.84   126.78   125.86   2.04   
137.80   135.71   127.18   125.33   2.04   
136.54   137.69   97.48   96.98   2.73   
101.65   100.13   97.17   125.39   1.49   
136.98   135.82   129.24   127.24   1.99   
140.13   138.63   127.53   127.18   2.05   
137.91   134.00   127.05   126.92   2.00   
138.54   139.00   129.87   125.00   2.10   
134.57   136.51   129.39   124.74   1.94   
136.54   136.04   129.52   125.86   1.96   
142.24   137.32   130.51   127.52   2.11   
137.94   138.17   129.85   127.13   1.98   
138.88   138.06   129.79   127.53   2.04   
139.72   132.68   128.69   127.99   2.01   
138.31   137.21   128.27   126.59   2.00   
134.11   137.46   127.05   127.45   1.95   
139.72   102.90   97.56   128.54   2.03   
139.00   139.87   98.40   97.87   2.75   
103.96   101.39   98.25   127.24   1.50   
140.72   139.00   127.60   125.91   2.05   
138.06   138.06   129.04   127.24   1.99   
140.60   139.75   129.52   127.92   2.12   
135.96   139.00   129.24   126.32   1.95   
137.69   141.61   130.78   127.73   2.00   
139.03   138.03   129.60   127.31   2.02   
136.85   138.91   124.54   126.18   2.00   
138.06   139.37   127.66   127.65   2.01   
140.72   141.97   129.30   128.27   2.06   
138.65   136.51   129.17   126.91   2.01   
138.77   140.96   128.96   127.33   2.02   
142.36   138.40   130.65   127.52   2.06   
133.79   105.62   128.14   97.76   2.62   
103.71   99.86   98.60   127.53   1.49   
136.85   138.31   129.17   127.58   2.01   
140.10   139.75   129.59   127.05   2.02   
141.34   138.88   127.86   128.41   2.06   
140.34   138.06   129.24   126.38   2.06   
138.65   137.69   129.25   125.72   1.99   
139.64   138.51   130.02   130.14   2.05   
139.37   141.46   129.80   127.24   2.05   
140.37   143.61   129.67   127.58   2.02   
140.75   139.11   129.59   128.63   2.06   
139.00   137.80   128.69   126.99   2.05   
138.40   138.77   129.39   128.27   2.02   
140.34   138.88   129.87   126.46   2.04   
140.60   138.88   130.29   98.53   2.74   
105.83   100.69   98.64   124.41   1.51   
140.72   139.87   129.65   126.78   2.07   
139.49   137.46   126.65   127.45   2.10   
139.99   138.88   128.97   127.12   2.15   
134.24   123.84   120.66   118.64   1.93   
139.49   138.40   129.87   127.81   2.01   
141.49   139.61   129.17   130.16   2.03   
139.64   138.40   127.33   126.57   2.06   
139.26   138.06   129.09   127.66   2.06   
139.99   137.46   127.79   125.59   2.05   
139.49   138.17   127.26   126.97   2.06   
138.28   137.91   129.17   128.69   2.02   
137.10   140.37   129.65   128.35   2.01   
139.23   138.91   129.30   97.80   2.77   
103.63   101.08   97.51   127.47   1.49   
138.65   141.34   129.11   126.84   2.00   
139.26   139.26   127.79   127.33   2.03   
140.48   138.65   129.24   128.48   2.06   
140.37   138.63   129.32   125.13   2.31   
113.47   142.24   124.94   127.31   1.68   
124.51   140.10   127.73   127.66   1.86   
137.35   139.11   128.48   127.53   2.00   
138.28   139.87   130.01   127.88   2.00   
139.37   135.60   129.87   128.01   2.01   
139.00   139.64   130.16   128.40   2.00   
140.34   139.26   128.14   127.94   2.03   
139.99   139.49   129.87   128.41   2.01   
139.26   139.14   129.87   99.75   1.93   
102.75   100.89   98.04   127.13   1.48   
