N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
35.48   48.74   55.07   51.96   1.44   
48.81   48.63   64.97   52.39   2.06   
33.91   46.72   50.65   51.67   1.38   
48.57   48.92   63.61   52.71   1.99   
48.95   48.88   63.76   52.32   2.02   
49.20   46.76   59.84   9.20   3.82   
49.02   45.95   56.59   51.93   2.00   
48.78   48.62   64.67   47.14   2.05   
48.76   47.48   56.13   51.71   2.10   
49.43   47.69   64.90   51.59   2.12   
48.78   48.13   58.98   51.18   2.06   
48.57   48.78   63.35   51.74   2.05   
48.53   48.66   64.01   51.77   2.05   
47.92   48.87   61.59   52.39   2.07   
47.00   48.09   64.12   52.37   1.99   
49.23   47.48   65.95   51.96   2.08   
49.21   48.71   60.06   51.96   2.10   
47.66   46.85   54.97   51.09   2.03   
48.43   42.31   60.97   49.22   2.18   
47.27   46.96   61.05   50.83   1.94   
47.90   48.69   59.91   50.48   2.07   
47.75   47.63   62.80   51.63   2.03   
48.97   46.46   64.36   50.68   2.21   
47.88   46.22   63.16   50.91   2.02   
48.41   48.83   64.34   53.14   2.08   
46.40   47.65   61.46   49.09   1.90   
48.99   47.75   47.49   49.82   2.09   
48.32   46.84   65.72   50.14   2.16   
48.59   48.06   60.12   52.15   2.04   
48.82   47.95   63.59   52.01   2.10   
48.47   48.62   63.78   51.97   2.03   
48.66   48.21   65.84   52.39   2.05   
48.62   48.69   65.72   52.16   2.05   
49.05   48.78   65.36   52.47   2.13   
49.57   48.27   53.58   50.45   2.07   
46.98   46.31   63.82   51.23   1.90   
48.97   47.44   65.13   52.12   2.07   
48.57   48.59   65.32   52.51   2.06   
48.96   48.60   65.40   52.70   2.08   
49.54   48.50   63.97   53.08   2.16   
49.32   46.89   60.93   52.11   2.00   
48.88   47.57   64.62   51.59   2.05   
48.00   48.52   63.84   46.97   2.07   
47.45   46.88   65.99   49.90   2.16   
47.22   46.51   58.57   51.52   2.06   
47.32   47.39   60.48   49.90   2.03   
47.66   46.34   60.59   48.41   2.06   
46.59   46.95   60.87   50.78   1.98   
47.09   48.38   60.34   52.13   2.02   
47.66   47.69   53.20   47.45   2.00   
47.89   45.65   62.96   49.25   2.05   
48.34   47.25   62.26   51.97   2.08   
48.43   48.68   59.92   51.52   2.05   
48.37   45.57   62.34   49.17   1.97   
48.60   44.70   57.47   47.43   2.11   
47.82   37.91   48.44   48.55   2.07   
46.26   46.47   58.88   50.37   1.98   
48.60   48.09   63.53   52.61   2.10   
49.34   47.76   64.22   51.81   2.07   
48.66   48.66   60.93   47.63   2.17   
46.59   45.40   55.40   41.76   2.14   
44.64   47.66   53.46   47.73   1.98   
45.56   46.31   62.16   49.09   1.98   
48.96   48.15   57.09   50.92   2.05   
45.37   45.99   56.38   51.92   2.11   
47.20   48.09   58.15   51.27   2.00   
49.24   48.59   65.29   52.47   2.02   
49.49   48.60   64.93   52.35   2.04   
49.43   48.15   64.76   52.55   2.01   
49.06   48.86   64.66   52.61   2.00   
48.77   49.21   63.69   52.23   2.08   
48.43   48.59   59.98   52.03   2.00   
49.11   47.66   64.52   52.36   2.08   
49.37   47.58   64.97   50.03   2.13   
48.65   48.51   57.25   50.28   2.03   
48.21   49.02   63.84   52.16   2.13   
42.41   47.73   56.25   49.29   1.88   
47.34   43.82   56.70   47.81   2.05   
44.70   46.02   56.27   48.36   1.92   
45.25   44.93   56.05   50.56   1.89   
41.34   46.42   58.78   51.12   1.68   
48.57   46.32   63.46   49.15   2.07   
46.99   47.17   62.99   50.04   1.96   
48.31   47.49   55.37   47.35   2.26   
45.08   45.47   61.79   46.26   2.01   
46.04   46.78   55.65   48.65   1.94   
47.62   46.77   57.67   49.17   2.08   
44.67   44.30   60.97   47.97   1.95   
46.80   46.55   65.88   46.58   2.08   
45.92   46.80   57.54   52.08   2.05   
44.36   48.31   57.23   48.01   1.89   
47.90   45.69   61.92   48.93   2.06   
48.63   48.02   63.19   50.85   1.98   
48.96   47.79   64.62   51.51   2.03   
47.53   48.29   63.11   51.29   1.94   
48.66   48.95   61.50   49.40   2.09   
45.87   47.28   57.08   47.42   1.97   
48.12   47.12   59.35   51.42   1.97   
48.81   49.02   63.02   51.77   2.06   
48.68   48.51   63.68   52.48   2.07   
