N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
36.25   49.15   51.22   52.75   1.55   
47.75   48.12   55.35   52.29   1.96   
48.96   48.86   65.77   52.53   2.00   
49.25   48.53   65.34   52.83   2.10   
48.76   48.83   66.13   52.47   2.07   
49.21   48.75   63.81   53.18   2.10   
49.02   48.96   64.17   53.12   2.08   
48.77   49.15   64.71   52.24   2.05   
49.20   49.03   65.31   52.22   2.07   
49.08   49.26   64.90   52.69   2.07   
48.93   49.07   65.79   52.91   2.08   
49.03   48.91   65.70   53.07   2.11   
49.77   48.93   65.90   53.01   2.13   
49.75   48.50   65.18   52.82   2.10   
49.17   48.74   65.11   52.90   2.08   
49.03   48.53   58.76   51.11   2.05   
49.07   49.24   65.52   53.61   2.01   
49.05   49.34   65.54   53.23   2.06   
49.43   48.87   66.35   53.44   2.08   
49.55   48.86   66.57   53.12   2.08   
49.66   48.90   66.13   53.50   2.09   
49.49   49.14   66.19   53.30   2.10   
49.19   49.57   66.17   53.63   2.09   
49.32   49.31   66.00   53.35   2.09   
49.81   48.69   66.13   53.43   2.12   
49.58   49.02   66.66   53.03   2.09   
49.43   48.80   66.39   52.96   2.08   
48.87   49.52   66.19   52.94   2.05   
48.57   49.24   66.28   53.38   2.05   
48.75   48.93   65.38   53.55   2.07   
49.81   49.29   66.10   53.32   2.11   
49.81   48.60   66.50   53.10   2.10   
49.63   48.82   66.41   53.27   2.08   
49.07   49.30   66.21   53.04   2.07   
49.34   49.40   65.46   53.58   2.07   
49.23   49.26   65.59   53.43   2.10   
49.81   49.30   65.45   53.35   2.12   
49.81   48.16   66.52   52.84   2.10   
49.49   48.84   66.43   53.11   2.08   
49.60   49.40   66.35   53.38   2.08   
49.56   49.08   65.75   53.45   2.09   
49.38   49.53   65.23   53.66   2.11   
49.83   49.50   65.77   47.88   2.13   
49.43   48.83   66.39   53.20   2.08   
49.50   48.99   66.59   53.06   2.08   
48.75   49.11   66.28   53.20   2.06   
49.37   49.53   65.22   53.58   2.08   
48.87   49.25   66.41   53.13   2.07   
49.67   49.50   56.93   53.24   2.08   
49.46   49.02   65.32   52.64   2.09   
49.17   49.14   65.61   53.27   2.07   
49.01   49.44   66.01   53.15   2.07   
49.15   48.78   65.46   53.70   2.10   
49.48   49.35   66.17   53.17   2.11   
49.69   48.74   66.08   53.38   2.11   
49.58   49.02   66.55   53.30   2.11   
49.46   49.44   65.06   52.47   2.08   
48.56   49.52   66.41   53.01   2.06   
49.41   49.53   65.26   53.67   2.11   
49.43   49.26   65.94   53.33   2.10   
49.81   49.26   65.52   53.36   2.13   
49.55   48.84   66.54   53.04   2.09   
49.58   49.22   65.79   53.12   2.09   
49.11   49.34   66.10   53.12   2.07   
48.84   49.50   65.99   53.44   2.06   
49.24   49.20   65.68   53.39   2.09   
49.83   49.23   65.68   53.48   2.11   
49.77   48.69   66.43   53.04   2.09   
49.63   49.32   66.43   52.78   2.09   
49.12   49.38   66.19   53.20   2.08   
49.40   49.34   65.99   53.39   2.08   
49.20   49.12   65.99   52.93   2.09   
49.77   49.57   66.15   53.41   2.13   
49.66   48.51   66.54   52.73   2.09   
49.26   49.03   66.52   52.90   2.07   
49.47   48.93   66.01   53.18   2.09   
49.34   49.41   65.52   53.72   2.07   
49.35   49.49   65.57   53.73   2.11   
49.81   49.23   65.90   53.35   2.12   
49.69   48.57   66.63   53.05   2.09   
49.63   48.81   66.56   52.96   2.08   
49.55   48.82   66.24   53.32   2.09   
48.99   49.52   66.15   53.60   2.06   
49.67   49.41   65.90   52.62   2.10   
49.49   48.41   61.81   51.88   2.10   
48.66   48.88   66.57   52.70   2.05   
49.24   48.57   64.94   53.20   2.08   
49.28   49.16   66.26   53.04   2.09   
49.40   49.21   65.75   52.68   2.09   
48.41   49.49   65.83   53.05   2.07   
49.55   49.29   64.81   53.08   2.09   
49.77   47.69   66.54   52.30   2.09   
49.22   49.17   66.37   53.10   2.08   
49.29   49.52   65.37   53.28   2.11   
49.14   49.01   64.15   53.24   2.12   
49.34   49.19   64.78   52.48   2.11   
48.99   48.68   66.06   52.83   2.09   
49.35   48.92   65.02   52.95   2.09   
49.15   49.05   65.20   53.28   2.10   
49.29   47.92   65.34   52.92   2.08   
