N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
31.13   48.23   50.58   52.30   1.27   
48.35   48.45   63.82   51.77   1.96   
48.26   48.57   63.82   52.52   2.05   
47.85   48.75   63.91   50.72   2.16   
47.53   47.99   64.41   51.75   1.95   
48.68   47.52   65.52   51.09   2.03   
47.85   48.56   63.04   52.49   2.03   
48.90   48.28   63.83   51.01   2.19   
44.94   45.70   56.91   50.93   1.98   
47.86   46.95   61.98   51.90   2.07   
47.55   45.58   63.48   48.29   2.03   
48.38   46.99   63.33   50.03   1.96   
48.54   47.98   63.78   51.90   1.99   
48.78   46.08   57.17   49.73   2.02   
47.73   48.14   64.52   51.93   1.97   
49.10   48.16   63.88   52.29   2.01   
48.44   48.23   62.86   51.91   1.96   
48.32   48.63   63.22   52.14   1.96   
48.59   48.69   64.08   51.70   1.98   
48.35   48.63   65.11   51.69   1.97   
48.77   48.49   65.02   52.50   2.01   
49.34   48.60   65.11   52.33   2.03   
48.76   47.99   64.48   52.57   2.11   
48.15   48.45   41.75   50.47   2.02   
46.06   40.51   58.82   49.60   1.89   
47.45   44.87   57.33   50.86   2.00   
48.46   48.75   64.24   52.14   1.96   
48.28   48.86   63.01   52.58   2.01   
48.80   47.56   62.13   51.53   2.00   
45.86   47.69   55.43   48.13   2.05   
47.02   47.66   56.00   51.15   1.93   
47.85   47.27   49.85   47.87   1.98   
45.70   45.38   54.04   50.87   2.01   
46.08   46.46   53.55   47.08   1.92   
47.69   41.17   53.79   50.69   2.06   
43.44   44.50   56.78   48.67   1.88   
44.77   45.33   55.84   48.36   1.96   
45.34   43.92   58.25   47.01   2.00   
47.61   45.58   54.06   48.32   2.11   
46.16   46.70   63.90   48.74   1.99   
46.94   47.98   58.49   51.48   1.95   
48.09   48.08   59.70   51.45   2.01   
47.45   48.03   64.83   52.19   1.94   
48.91   48.59   64.85   52.51   2.01   
49.32   48.12   65.43   52.20   2.03   
49.47   47.78   64.60   52.41   2.04   
48.88   48.34   64.36   51.86   1.99   
48.35   48.31   64.07   52.09   1.96   
48.35   49.05   63.56   52.28   1.97   
47.24   47.34   64.85   51.85   1.92   
47.57   46.69   61.24   50.80   2.00   
49.01   48.06   64.31   51.82   2.05   
48.76   46.99   63.83   51.98   1.98   
46.83   48.99   63.53   52.52   1.92   
48.87   48.81   63.71   52.17   2.00   
48.96   48.22   64.69   52.08   1.98   
49.12   46.47   56.86   52.10   2.09   
47.14   48.09   64.00   52.03   1.92   
48.96   48.56   63.98   53.05   2.07   
48.95   48.88   63.80   52.24   2.07   
48.93   48.50   64.22   51.65   2.04   
48.88   48.29   64.14   51.76   2.04   
48.25   47.82   65.63   52.23   2.04   
48.74   48.55   64.64   52.19   2.12   
48.15   47.98   63.54   52.49   2.04   
48.94   48.46   64.50   51.97   2.04   
48.84   48.34   64.62   51.77   2.04   
48.81   48.74   64.15   51.77   2.04   
48.31   48.55   64.60   52.54   2.07   
49.38   48.39   65.04   52.42   2.10   
49.40   48.09   65.54   51.83   2.08   
49.06   47.72   64.22   51.86   2.08   
46.23   49.06   64.09   48.65   2.00   
48.44   46.77   63.12   49.20   1.97   
46.73   47.53   60.91   49.47   1.97   
47.45   48.05   57.75   49.71   2.01   
47.30   43.82   63.32   51.46   1.91   
46.43   47.37   63.07   47.46   2.03   
48.66   47.09   56.82   49.00   2.02   
47.09   46.86   59.72   49.62   1.97   
46.16   47.27   56.62   51.11   1.98   
47.82   45.66   59.15   47.95   2.01   
44.39   46.81   56.94   48.55   2.10   
48.08   43.75   62.71   44.88   2.09   
44.20   45.41   53.44   50.61   1.86   
48.90   48.95   64.27   47.74   2.05   
45.44   48.02   57.06   49.99   2.02   
48.59   46.76   62.30   50.95   2.04   
47.62   47.90   60.81   52.07   1.98   
47.45   48.68   62.60   50.12   1.99   
46.16   45.61   60.53   49.12   1.91   
46.22   47.03   59.50   49.75   1.91   
47.02   47.70   55.38   51.28   2.04   
48.22   48.03   62.35   50.17   1.97   
47.27   48.23   62.32   52.03   1.96   
48.66   48.41   64.97   52.26   1.98   
49.35   47.82   65.77   51.82   2.01   
49.19   47.76   65.43   51.98   2.01   
48.59   48.35   62.76   50.94   1.99   
48.39   47.65   61.25   52.40   1.98   
