N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
48.82   49.50   67.57   54.82   1.98   
49.88   49.75   68.18   54.79   2.01   
49.86   49.70   68.13   54.74   2.02   
49.80   49.34   67.21   54.47   2.02   
49.98   49.44   68.07   54.13   2.02   
49.98   49.75   68.01   54.24   2.00   
49.91   49.72   67.77   54.34   2.00   
50.00   49.58   67.60   54.85   2.01   
49.86   49.45   67.40   54.85   2.00   
49.20   49.69   67.36   54.35   1.97   
49.12   49.69   67.17   54.68   1.98   
50.00   49.32   68.18   54.47   2.02   
49.98   49.46   68.04   54.81   2.01   
50.01   49.34   68.05   54.83   2.01   
49.86   48.88   68.18   54.68   2.03   
49.61   49.60   68.16   54.77   2.02   
49.54   49.06   67.04   54.88   1.99   
48.96   49.43   67.93   54.88   1.99   
49.87   49.69   68.20   54.77   2.01   
50.00   49.41   67.95   54.76   2.02   
49.98   49.63   68.20   54.79   2.02   
50.02   49.74   67.95   54.56   2.01   
49.86   49.75   67.90   54.47   2.00   
49.98   49.50   68.08   54.41   2.00   
50.03   49.64   68.14   54.44   2.01   
49.95   49.75   67.81   54.53   2.01   
49.88   46.98   66.52   54.86   2.05   
49.72   49.52   64.65   51.72   2.06   
46.12   45.07   63.22   54.35   1.92   
49.84   49.40   68.11   54.72   2.07   
49.86   49.12   68.18   54.73   2.07   
49.64   49.64   68.16   54.79   2.06   
49.64   49.72   68.01   54.79   2.06   
49.69   49.72   68.14   54.85   2.07   
49.32   49.70   68.14   54.73   2.06   
49.98   49.63   68.22   54.79   2.08   
49.98   49.58   68.07   54.62   2.08   
49.98   48.95   68.01   54.02   2.07   
49.92   49.73   67.55   54.35   2.09   
49.97   49.69   68.20   54.25   2.08   
49.95   49.50   67.95   54.56   2.08   
50.00   49.72   66.97   54.83   2.08   
49.60   49.55   67.04   54.31   2.07   
49.46   48.75   60.95   52.52   2.10   
49.14   49.30   68.28   52.99   2.05   
50.03   49.29   68.11   54.36   2.08   
49.72   49.75   68.01   54.30   2.06   
49.55   49.74   68.20   54.61   2.05   
49.55   49.70   67.95   54.51   2.06   
49.24   49.63   68.22   54.87   2.06   
49.92   49.49   67.81   54.82   2.10   
50.00   49.69   68.07   54.62   2.08   
49.88   49.35   68.10   54.34   2.09   
50.00   49.32   68.20   54.48   2.08   
49.95   49.73   67.76   54.55   2.08   
49.98   49.72   68.05   54.48   2.08   
49.84   49.78   67.51   54.76   2.07   
48.03   49.63   67.21   54.69   1.99   
50.03   49.61   67.24   54.83   2.08   
49.98   49.44   68.02   54.21   2.07   
49.86   49.38   67.59   54.77   2.07   
49.89   49.41   67.85   54.67   2.07   
49.89   48.84   68.14   54.87   2.08   
49.64   49.26   67.97   54.85   2.06   
49.74   49.75   67.95   54.82   2.06   
49.50   49.74   67.25   54.78   2.07   
49.98   49.64   68.18   54.79   2.09   
49.69   49.77   67.41   54.83   2.08   
49.86   49.72   68.08   54.56   2.07   
49.72   49.66   68.16   54.41   2.06   
49.75   48.91   68.16   54.23   2.06   
49.98   49.66   68.05   54.23   2.08   
49.97   49.77   67.38   54.85   2.09   
49.89   49.72   67.47   54.50   2.07   
49.89   49.46   67.47   54.75   2.10   
49.98   49.60   67.47   54.56   2.08   
50.00   49.38   67.95   54.85   2.09   
49.95   49.26   68.08   54.87   2.08   
49.61   49.38   68.14   54.74   2.06   
49.67   49.61   68.26   54.82   2.06   
49.66   49.72   67.86   54.55   2.07   
49.64   49.73   67.99   54.55   2.08   
49.83   49.74   68.22   54.75   2.08   
49.72   49.40   68.05   54.77   2.07   
49.86   49.26   68.24   54.44   2.08   
49.97   49.46   67.47   54.15   2.09   
49.64   49.20   67.49   54.11   2.08   
49.57   49.23   67.86   54.32   2.06   
49.81   49.55   67.30   54.62   2.07   
49.85   49.40   67.19   54.82   2.07   
49.98   49.74   67.32   54.67   2.08   
47.14   49.45   64.45   54.53   1.90   
49.91   49.44   68.16   54.51   2.09   
50.00   48.96   68.18   54.60   2.01   
49.78   49.32   67.49   53.85   2.09   
49.61   49.75   67.76   54.72   2.06   
49.53   49.25   68.18   54.78   2.05   
49.66   49.08   68.07   53.83   2.07   
49.98   49.70   68.03   54.67   2.09   
49.98   49.71   68.05   54.73   2.09   
