N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
92.76   112.35   94.23   111.01   1.49   
119.67   116.71   112.36   110.90   2.05   
120.74   117.14   113.69   114.44   1.99   
121.49   120.48   116.45   113.74   1.99   
123.54   129.88   115.60   106.01   1.97   
113.98   118.86   104.22   113.58   1.89   
123.00   129.65   113.26   113.74   1.99   
120.03   120.20   114.01   107.96   1.99   
122.89   119.05   114.89   114.18   2.00   
123.75   122.51   115.27   113.54   2.02   
120.31   120.03   112.78   114.56   1.95   
120.20   121.31   113.31   110.30   2.05   
118.86   116.79   112.94   112.10   1.95   
120.48   114.87   111.94   111.43   1.97   
120.66   116.45   112.42   110.69   2.08   
115.35   118.88   112.46   112.62   1.96   
117.65   117.73   110.55   112.15   1.95   
117.22   124.32   111.58   108.45   2.15   
115.37   112.92   107.09   109.74   1.92   
117.30   118.61   112.67   113.86   2.01   
116.19   121.77   113.53   112.52   1.94   
124.60   119.50   113.32   112.89   2.11   
119.22   118.09   112.94   113.00   2.03   
119.86   117.63   112.52   113.64   2.00   
118.69   117.47   111.79   113.16   1.96   
121.11   119.22   114.13   113.69   1.96   
120.40   120.83   113.81   113.85   1.95   
120.03   120.37   114.83   116.40   1.96   
121.68   122.89   114.94   113.32   2.00   
122.33   121.03   114.17   114.13   2.04   
124.71   117.90   115.00   112.05   2.04   
121.86   120.76   114.39   115.44   2.03   
124.99   119.33   119.88   112.62   2.02   
120.76   124.11   114.89   115.11   2.01   
124.51   119.58   116.44   111.74   2.04   
121.14   124.69   112.10   113.16   2.07   
122.89   119.14   116.51   112.89   2.00   
124.14   120.83   114.62   113.41   2.00   
121.95   124.51   114.83   113.90   2.05   
125.79   118.95   116.28   112.89   2.06   
122.33   124.51   114.18   113.16   2.05   
123.93   122.06   115.27   113.42   2.03   
120.57   123.09   115.04   118.53   2.00   
122.06   125.18   116.00   112.67   1.99   
122.13   125.20   113.63   114.83   2.03   
122.04   122.89   114.89   113.10   1.97   
122.13   120.76   113.91   115.04   2.06   
125.27   123.18   116.05   114.51   2.12   
123.45   123.54   114.39   114.01   1.95   
121.49   120.20   115.21   113.74   1.98   
120.48   123.75   114.61   113.09   2.02   
121.05   120.74   114.39   115.11   1.99   
121.77   120.37   115.67   113.86   1.99   
121.20   120.94   114.46   113.69   2.03   
122.98   120.57   115.44   113.64   2.06   
120.94   120.57   114.89   112.94   2.05   
124.14   119.86   113.63   113.69   2.08   
126.07   121.11   114.89   113.64   2.10   
122.24   120.03   114.83   113.96   2.04   
121.66   120.85   114.51   113.90   2.03   
122.13   120.76   113.16   112.30   2.03   
123.63   119.41   113.74   113.16   2.05   
120.57   119.05   114.56   113.69   1.97   
122.89   120.40   114.23   113.31   2.05   
121.77   121.40   114.77   114.18   2.04   
122.89   125.11   115.32   113.69   2.05   
121.75   120.22   112.94   112.36   2.01   
125.09   118.97   114.78   111.98   2.04   
121.22   118.95   115.06   115.27   2.02   
124.14   122.42   113.80   114.56   2.07   
122.24   120.48   114.73   113.21   2.04   
120.83   119.05   112.94   113.59   2.02   
121.57   120.74   114.40   113.31   2.05   
123.16   120.57   114.07   113.69   2.06   
122.71   120.74   114.95   113.68   2.02   
121.95   119.67   113.96   114.89   1.99   
122.24   120.48   115.77   114.07   2.00   
122.42   121.77   120.24   115.00   2.04   
125.20   119.92   114.35   113.53   2.04   
121.77   120.94   114.78   113.90   2.02   
122.51   119.50   114.61   114.61   2.05   
122.89   121.75   113.81   112.15   2.03   
121.49   121.03   114.89   113.31   2.06   
119.14   121.40   114.01   111.94   1.99   
120.48   119.30   114.01   113.21   2.02   
118.61   120.48   110.29   116.16   2.15   
114.44   123.36   105.54   105.35   1.95   
115.68   120.85   117.98   113.37   1.93   
122.42   119.50   116.23   112.78   2.00   
123.54   121.68   116.67   112.36   2.02   
125.30   122.98   113.37   113.37   2.02   
122.42   119.14   117.02   112.36   2.07   
124.51   118.69   117.19   113.05   2.05   
121.86   118.86   116.74   118.75   1.95   
119.50   123.93   115.16   113.69   1.96   
121.31   126.26   113.91   115.28   2.01   
125.11   119.41   115.37   112.36   2.06   
121.40   120.94   114.56   114.61   2.05   
121.03   120.48   113.42   115.21   2.01   
122.06   121.03   117.19   113.53   1.84   
