N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
114.52   117.06   122.45   129.37   1.92   
132.65   132.47   120.11   117.65   1.89   
127.08   138.54   132.96   129.52   1.91   
125.18   134.70   131.07   134.22   1.86   
119.14   120.12   121.40   116.51   1.95   
126.29   118.69   111.32   117.42   2.06   
118.36   124.41   120.30   118.76   1.94   
122.98   121.31   119.23   119.10   1.94   
122.89   125.70   122.88   110.56   1.84   
124.60   138.43   131.28   128.41   1.82   
128.41   126.29   129.09   122.96   2.13   
129.43   141.49   127.05   135.81   2.06   
130.61   131.48   130.94   123.95   1.90   
127.80   127.49   126.51   120.07   1.99   
122.15   128.93   140.02   131.50   1.74   
118.42   123.66   136.98   128.41   1.86   
118.95   132.68   131.72   115.16   1.89   
135.25   129.85   131.38   127.86   1.97   
129.88   128.00   131.07   125.27   1.96   
128.12   128.81   131.16   126.46   1.97   
133.21   133.02   135.59   131.50   1.96   
132.89   121.97   137.22   127.45   2.01   
119.39   135.71   128.35   136.75   1.81   
120.85   133.76   125.53   134.68   2.01   
125.20   131.35   133.49   134.76   1.99   
132.23   122.22   136.29   136.68   1.98   
132.57   134.22   133.26   129.30   1.95   
117.98   130.51   130.44   119.10   1.76   
136.98   137.94   131.71   134.85   2.06   
135.14   130.94   133.17   137.07   2.10   
139.64   141.07   128.56   132.80   2.05   
139.87   137.69   135.21   117.53   1.97   
134.68   133.58   135.74   131.23   1.96   
132.57   133.76   134.45   133.79   2.07   
134.11   138.65   132.75   131.29   2.01   
121.75   125.98   130.80   128.69   2.03   
128.83   131.79   125.45   132.09   1.94   
140.25   128.81   134.54   118.05   1.99   
125.48   123.16   134.85   118.46   2.06   
120.48   114.03   120.97   129.09   1.71   
130.08   135.82   141.18   134.61   2.03   
139.26   115.78   130.92   134.92   2.04   
135.82   121.86   129.87   134.52   2.04   
131.15   131.79   134.92   131.07   2.09   
133.90   135.93   133.26   131.72   2.20   
134.68   132.23   139.31   127.24   1.95   
130.49   135.49   137.86   118.86   1.89   
131.79   132.44   128.01   131.79   2.03   
133.21   132.44   130.09   117.01   1.96   
139.35   133.68   135.98   131.14   2.17   
123.63   120.85   121.52   124.29   2.02   
126.88   122.80   114.01   124.74   2.02   
124.90   124.21   113.86   124.35   1.98   
123.75   121.57   127.26   123.02   2.08   
136.65   135.14   125.59   112.88   2.20   
127.08   122.04   124.94   112.10   2.03   
127.49   125.20   128.48   125.13   2.02   
130.38   130.51   130.29   123.85   2.16   
113.88   115.19   105.31   122.19   1.69   
124.41   125.39   120.48   120.35   1.83   
123.07   120.59   115.60   119.88   1.84   
135.85   120.29   134.07   122.90   2.23   
117.14   118.69   119.99   131.72   1.73   
115.11   136.73   133.86   126.32   1.88   
136.65   134.22   128.63   119.94   2.19   
133.23   130.08   132.96   119.77   1.94   
131.69   137.69   128.63   134.74   1.95   
117.92   136.26   133.86   134.76   1.90   
129.35   132.44   138.18   130.29   2.14   
125.98   123.09   134.29   132.89   1.86   
120.68   122.69   135.45   133.93   1.93   
138.88   132.47   126.24   130.65   2.13   
137.35   132.23   129.80   137.29   2.04   
135.57   118.44   131.43   128.54   2.10   
121.14   120.03   134.76   132.66   1.75   
119.39   132.47   130.92   112.36   1.95   
138.77   137.24   124.35   133.54   2.28   
127.08   128.00   133.05   126.51   1.98   
127.49   132.89   134.76   131.95   1.85   
136.76   123.45   131.14   122.27   2.00   
135.03   136.04   138.65   126.05   2.17   
118.36   139.11   134.61   132.23   1.77   
132.89   127.80   128.14   119.77   2.00   
134.11   123.18   133.10   135.06   2.07   
118.88   138.63   130.58   136.22   2.00   
130.82   125.98   133.72   126.97   2.09   
136.54   136.51   123.14   127.73   2.08   
123.57   130.08   131.57   129.04   1.93   
131.46   129.35   123.27   112.36   2.19   
121.95   138.77   128.96   132.17   1.83   
136.76   134.89   132.68   132.75   2.20   
123.18   121.66   123.91   138.08   1.84   
139.64   135.14   133.70   130.51   2.21   
122.80   138.40   137.93   135.83   1.94   
136.40   122.24   129.87   132.59   2.12   
140.99   139.99   126.99   134.38   2.24   
122.33   122.80   131.72   126.99   1.99   
126.57   128.09   126.26   129.87   1.84   
137.80   136.76   127.05   120.66   2.25   
127.80   137.35   133.70   132.23   1.88   
