N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
104.78   110.80   128.63   102.12   2.00   
108.26   105.82   107.19   126.24   1.62   
131.25   139.11   129.17   125.66   1.95   
140.48   136.29   128.05   126.13   2.10   
136.18   139.26   107.72   127.31   2.49   
110.72   111.59   107.52   108.21   2.06   
111.64   113.40   108.90   132.02   2.00   
113.00   114.03   108.45   112.62   2.15   
114.54   138.51   110.35   107.72   1.98   
114.62   110.43   109.18   101.61   1.63   
112.35   110.96   114.83   107.28   2.03   
138.77   109.82   107.09   107.34   2.52   
112.20   112.83   118.05   108.11   2.00   
107.25   109.07   107.72   108.01   1.97   
114.05   111.96   128.76   107.81   2.09   
109.30   108.77   108.40   106.02   1.93   
111.66   116.96   108.16   105.77   2.04   
133.76   113.40   109.19   108.11   2.36   
109.44   130.08   128.41   107.63   1.99   
140.10   112.11   107.01   106.66   2.55   
134.68   125.48   107.96   106.91   2.42   
113.63   112.28   108.50   106.15   2.05   
111.18   111.50   107.05   108.94   1.98   
111.90   140.57   108.75   107.48   2.02   
120.48   111.18   108.40   125.59   2.17   
112.13   112.05   109.29   108.01   2.04   
128.22   110.41   108.94   106.91   2.26   
138.65   112.28   128.28   107.43   2.56   
127.29   111.18   108.36   108.74   2.28   
111.51   110.03   129.87   107.24   1.97   
135.27   113.23   107.67   107.57   2.48   
108.70   110.20   108.59   107.58   1.81   
111.96   110.05   107.28   108.21   1.69   
114.68   121.22   107.24   108.36   1.83   
111.57   136.18   108.34   107.53   1.99   
109.80   139.37   106.15   106.01   1.69   
137.69   111.57   103.95   106.52   2.51   
132.23   108.33   106.71   106.52   2.23   
108.05   112.50   107.43   109.30   1.96   
111.42   138.43   106.20   128.61   2.02   
111.81   110.27   108.10   109.14   2.06   
113.80   111.98   107.19   114.07   2.04   
109.58   108.05   108.39   107.49   1.98   
112.13   110.43   106.76   112.10   2.02   
111.27   109.82   107.24   108.64   2.04   
111.57   111.35   112.05   107.48   2.04   
111.11   138.43   107.33   107.29   1.98   
111.42   112.37   116.28   108.01   2.00   
137.80   111.18   107.39   108.80   2.43   
112.60   113.32   119.94   106.38   2.00   
136.29   111.89   129.59   107.29   2.54   
111.64   114.54   124.48   106.76   1.58   
111.89   109.74   129.09   106.34   2.01   
112.45   110.27   126.32   107.96   2.01   
107.68   108.78   106.61   107.87   1.94   
111.42   112.90   125.66   106.67   2.04   
110.94   136.87   108.80   109.04   1.98   
112.28   110.72   129.74   107.04   2.05   
110.27   110.20   107.28   108.79   1.96   
111.11   117.04   107.87   107.67   1.96   
115.35   112.43   130.38   107.24   2.08   
111.42   134.00   109.08   109.24   2.00   
111.81   113.32   109.08   109.10   2.03   
111.72   129.88   107.10   125.19   2.07   
111.42   110.96   107.77   126.72   1.63   
137.35   136.29   126.18   128.82   2.00   
136.76   136.07   128.20   119.88   2.35   
135.60   135.00   125.92   126.38   2.27   
111.03   109.30   131.00   102.48   1.57   
136.15   112.67   111.59   107.72   2.40   
137.12   111.96   109.49   107.92   2.48   
108.91   111.59   121.46   107.78   1.95   
112.92   141.70   108.21   109.80   2.00   
113.57   112.43   114.83   108.30   2.06   
107.87   113.24   108.50   108.16   1.93   
114.11   140.37   119.52   108.94   2.02   
111.74   111.96   107.72   107.24   2.01   
113.65   112.35   125.53   108.70   2.05   
112.35   113.00   109.14   106.61   2.03   
110.12   110.03   107.63   106.91   1.97   
113.32   112.83   130.94   107.48   2.07   
110.12   120.57   131.50   107.77   1.55   
110.74   112.03   129.11   107.81   2.08   
110.65   115.61   108.70   129.45   2.01   
113.55   138.54   107.48   123.91   2.03   
108.77   114.52   109.99   108.16   1.96   
109.21   140.48   107.43   107.81   1.98   
110.18   126.29   107.10   108.79   1.64   
112.67   138.77   108.45   106.01   2.03   
110.72   119.67   104.13   106.33   2.06   
113.47   110.36   107.00   126.18   2.05   
109.07   112.67   109.58   108.31   1.94   
113.63   138.17   110.55   131.23   2.02   
112.77   109.00   108.70   105.91   2.01   
113.15   110.12   108.99   107.48   2.02   
129.88   111.03   109.24   106.52   2.36   
140.96   109.07   107.43   108.40   2.52   
140.37   112.67   109.33   109.30   2.53   
111.96   113.07   108.16   105.22   1.86   
112.20   108.33   106.71   108.80   2.02   
