N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
128.54   138.03   128.69   129.04   1.86   
138.77   135.71   118.64   126.26   2.10   
134.68   134.35   127.58   131.72   1.94   
140.60   138.40   130.09   130.65   2.04   
139.64   133.55   128.96   130.02   2.07   
140.84   139.75   132.16   131.57   2.04   
137.94   138.40   130.22   130.65   2.03   
138.51   139.61   129.67   130.07   2.03   
133.76   135.71   130.51   128.14   1.95   
136.29   133.55   131.52   132.45   1.96   
139.61   139.00   131.52   128.48   1.99   
138.63   135.60   131.00   131.23   2.02   
138.28   135.03   132.89   128.54   1.99   
136.98   137.69   129.72   128.07   2.01   
133.02   137.69   130.29   131.72   1.89   
139.61   136.98   129.30   128.14   2.04   
140.48   134.46   130.78   130.38   1.99   
139.49   136.07   130.36   130.07   1.98   
138.65   135.60   129.59   127.58   2.02   
137.32   136.07   128.54   129.02   2.00   
139.72   138.65   131.86   132.31   2.05   
140.37   140.60   132.23   128.69   2.01   
139.00   137.57   131.09   131.57   1.98   
134.14   137.32   132.68   131.07   1.94   
138.51   138.28   130.94   130.80   2.02   
136.65   137.10   129.30   131.16   1.92   
139.14   137.80   130.51   130.01   2.00   
138.17   139.99   130.29   129.52   1.99   
135.27   139.23   131.36   129.87   1.95   
139.23   140.87   130.14   132.45   1.97   
139.72   133.90   131.36   128.48   2.03   
134.46   139.64   128.05   130.44   1.93   
140.72   142.48   131.09   127.45   2.02   
142.09   137.57   131.36   128.35   2.05   
137.24   139.49   130.51   131.00   2.01   
137.57   139.61   131.59   130.78   2.00   
140.10   136.40   130.78   129.04   2.03   
139.26   136.51   126.72   128.76   2.00   
135.82   139.00   128.82   129.30   1.96   
139.37   135.03   129.24   131.29   1.98   
134.57   139.14   130.14   128.82   1.95   
135.82   122.89   132.59   129.11   1.92   
136.51   134.11   131.09   128.54   1.96   
136.15   139.75   129.11   129.87   1.96   
135.60   138.77   128.69   129.79   1.97   
140.72   136.18   130.44   127.31   2.00   
137.46   140.48   129.45   129.24   1.96   
139.61   140.48   132.16   131.36   1.98   
136.40   136.87   128.97   127.58   1.96   
138.28   135.82   128.41   130.16   1.96   
139.64   137.43   132.91   130.71   2.01   
137.32   138.54   128.14   129.17   1.99   
139.87   132.21   131.72   130.38   2.01   
140.10   137.35   131.93   132.45   2.02   
141.46   137.46   128.27   128.14   2.07   
139.49   136.65   131.07   128.82   2.01   
140.75   131.12   131.59   129.59   2.04   
134.35   130.08   119.10   128.69   2.00   
131.79   140.10   129.74   131.93   1.88   
136.40   136.62   123.85   127.58   1.97   
136.76   134.11   129.87   130.65   1.97   
140.72   136.40   128.91   131.28   2.02   
137.10   137.12   128.33   126.26   1.98   
138.88   139.14   131.14   130.87   2.01   
139.14   137.94   129.52   128.96   2.09   
133.90   142.48   129.59   129.44   1.94   
138.17   135.93   131.50   129.45   1.98   
139.64   134.78   129.04   130.49   1.99   
135.82   141.97   127.18   129.67   1.92   
139.61   139.14   131.50   129.32   2.06   
139.14   138.40   131.14   129.60   2.01   
133.55   138.77   128.07   128.35   1.98   
138.06   137.57   130.51   129.94   1.99   
138.43   136.40   130.29   130.87   2.00   
138.06   138.06   132.59   130.51   1.97   
142.36   139.72   130.22   132.68   2.06   
136.51   140.87   133.19   131.28   1.95   
138.17   139.11   128.41   128.76   1.97   
135.35   139.37   132.96   132.61   1.95   
140.48   140.34   131.43   130.16   2.05   
139.00   141.97   130.58   131.29   1.98   
140.60   135.25   132.23   129.32   2.07   
143.73   140.37   131.93   132.38   2.09   
139.03   139.99   132.07   129.87   2.01   
142.72   119.94   131.72   132.31   2.02   
140.22   138.40   132.38   130.71   2.02   
136.98   140.48   129.65   129.94   1.96   
140.10   139.03   131.21   131.65   2.00   
141.22   138.88   129.87   130.16   2.02   
138.91   139.49   130.36   130.94   1.99   
141.22   134.11   130.87   131.57   1.99   
140.84   140.48   131.95   131.36   2.01   
141.07   137.46   128.89   132.82   2.01   
134.00   141.34   131.23   131.36   1.91   
137.80   136.29   131.14   130.73   2.00   
137.21   136.87   128.20   130.94   1.95   
136.87   137.94   130.01   130.71   2.04   
138.74   137.24   131.72   127.86   2.00   
137.69   137.46   131.65   129.59   1.95   
136.18   140.84   129.94   127.39   1.97   
