N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
69.36   131.69   124.68   127.45   1.03   
140.10   134.11   123.47   121.09   2.09   
137.21   133.47   125.45   126.45   2.01   
139.00   131.15   127.39   126.86   2.01   
136.62   136.87   128.27   126.65   1.97   
138.51   134.11   124.35   125.27   2.05   
135.35   137.12   128.82   125.86   1.93   
139.23   139.14   125.72   123.85   2.01   
138.28   137.80   126.38   123.27   1.99   
136.29   139.87   128.07   125.52   2.00   
130.38   134.35   127.73   124.21   1.92   
136.87   136.40   127.53   125.13   2.02   
136.51   136.04   124.81   126.57   1.97   
138.28   136.98   128.54   126.80   3.80   
138.77   136.04   125.39   125.78   1.97   
138.51   138.43   128.68   125.39   1.98   
134.92   136.40   126.24   122.33   1.96   
132.03   136.62   128.22   127.18   1.90   
138.28   135.49   127.71   124.55   2.00   
134.78   136.76   126.97   124.17   2.00   
139.00   138.17   128.82   126.59   2.02   
135.25   135.25   123.97   122.15   1.97   
137.24   132.34   123.33   121.82   2.10   
121.84   116.79   124.94   123.14   1.80   
135.57   136.29   124.29   124.80   2.18   
136.98   136.87   128.14   120.18   2.01   
136.98   134.92   127.12   124.09   1.99   
139.26   138.17   127.20   79.58   2.86   
68.58   136.98   127.33   125.84   0.99   
137.46   137.80   128.69   125.06   1.97   
140.48   136.40   128.48   125.91   2.07   
138.28   135.03   130.07   124.88   2.07   
138.54   132.55   126.84   125.59   2.03   
136.29   133.23   127.45   125.27   2.01   
136.40   137.10   126.84   125.20   1.98   
136.98   133.34   128.41   126.57   1.97   
136.15   136.18   127.92   123.65   1.98   
136.29   133.76   127.73   124.55   1.96   
138.88   137.94   127.45   124.15   1.99   
130.94   133.90   127.31   126.05   1.88   
137.94   134.35   127.65   125.06   2.00   
135.60   137.69   127.39   126.72   2.70   
67.20   73.43   127.86   125.00   0.98   
137.94   132.44   128.69   124.74   2.07   
135.49   134.33   125.59   125.33   1.97   
136.65   137.35   125.97   123.97   1.98   
136.15   136.40   124.81   125.84   1.97   
137.21   137.24   127.45   123.39   2.04   
137.46   134.46   126.78   125.25   2.03   
137.10   135.82   126.59   122.82   2.03   
131.38   134.78   127.58   124.29   1.86   
137.80   134.57   126.78   124.09   2.00   
135.03   134.46   125.66   126.99   1.95   
136.98   135.46   127.39   125.53   2.00   
136.40   136.07   126.99   124.15   1.96   
138.40   133.79   125.58   122.70   2.03   
71.01   133.58   129.52   124.99   1.03   
136.15   137.46   129.04   124.61   1.99   
136.76   134.22   127.20   126.57   1.96   
133.76   136.76   127.45   124.94   1.95   
136.98   136.18   126.57   127.26   1.98   
136.73   130.84   126.65   123.83   2.00   
137.46   134.22   128.96   126.92   1.98   
135.60   137.57   127.99   125.27   1.97   
136.98   136.18   127.45   126.84   1.97   
139.49   137.94   126.65   125.84   2.08   
135.46   136.40   126.78   126.05   1.97   
135.71   135.46   127.05   125.66   1.97   
133.31   138.54   128.01   127.12   1.91   
133.44   137.43   128.28   126.57   2.62   
100.57   77.90   79.92   123.08   1.47   
134.68   136.07   125.72   123.51   1.92   
136.07   133.90   118.40   109.99   2.19   
125.20   124.99   117.13   117.76   1.81   
139.26   136.98   125.99   125.92   1.99   
134.81   136.98   126.24   122.96   1.98   
139.26   136.98   128.69   123.89   2.01   
137.80   136.65   128.27   124.68   2.04   
134.22   133.23   127.60   117.53   2.06   
128.09   132.89   122.64   123.83   1.91   
138.63   136.98   128.76   126.05   1.98   
136.98   131.48   127.26   124.48   2.03   
136.40   135.35   126.11   124.74   1.99   
134.11   134.46   124.54   120.73   1.96   
98.95   102.24   126.30   96.43   1.99   
138.17   101.59   96.81   124.35   2.02   
99.55   97.20   97.81   125.99   1.43   
135.03   136.18   126.18   127.13   1.92   
136.40   132.68   127.12   125.27   2.03   
119.94   134.33   115.39   123.71   1.74   
136.40   134.89   123.79   127.18   1.99   
122.13   136.29   128.48   123.97   1.76   
137.94   137.43   127.33   127.26   2.01   
140.22   133.23   130.01   124.35   2.04   
137.94   131.05   125.84   124.68   2.07   
139.14   138.17   128.89   126.99   2.03   
138.31   136.40   126.32   125.39   2.06   
137.46   136.73   128.82   126.53   2.01   
137.32   136.87   127.73   123.77   2.00   
97.97   101.01   97.96   124.11   1.43   
