N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
32.57   38.13   55.59   45.07   1.49   
45.51   44.74   62.64   51.30   1.95   
49.58   49.94   66.94   53.54   2.03   
50.19   49.75   66.63   53.49   2.05   
49.83   49.40   66.78   54.26   2.05   
50.46   50.13   67.40   52.21   2.12   
50.30   49.94   66.80   53.67   2.07   
50.46   49.05   66.30   53.95   2.09   
50.44   50.22   67.06   54.37   2.07   
50.63   49.95   67.59   54.57   2.08   
50.61   50.02   67.53   54.55   2.07   
50.49   49.55   67.68   54.30   2.06   
50.39   50.35   67.75   54.55   2.06   
50.42   50.23   67.72   54.52   2.06   
50.36   50.34   67.57   54.60   2.06   
50.28   50.38   67.66   54.30   2.07   
50.55   50.35   67.75   54.44   2.08   
50.57   50.23   67.70   52.99   2.16   
50.68   50.23   65.68   54.29   2.08   
50.60   50.36   67.76   54.35   2.07   
50.60   50.27   67.62   54.29   2.07   
50.66   50.23   67.87   54.30   2.07   
50.65   50.31   67.65   53.92   2.07   
50.44   50.14   67.06   54.57   2.06   
50.60   50.31   67.28   54.46   2.07   
50.70   50.27   67.15   54.48   2.07   
50.65   50.33   67.21   54.53   2.07   
50.63   50.06   67.68   54.60   2.07   
50.50   50.06   67.68   54.45   2.07   
50.63   49.88   67.59   54.39   2.07   
50.37   50.19   67.74   54.53   2.06   
50.42   50.36   67.62   54.56   2.06   
50.30   50.31   67.82   54.53   2.06   
50.30   50.08   67.83   54.45   2.08   
50.13   50.06   67.53   54.26   2.07   
50.46   50.13   67.53   54.47   2.08   
50.47   49.77   67.47   54.19   2.07   
50.19   49.95   66.61   53.60   2.07   
50.57   49.60   66.81   54.13   2.07   
50.59   49.74   66.83   53.74   2.07   
50.28   49.57   66.44   54.62   2.06   
49.84   48.91   65.33   54.10   2.07   
49.58   49.32   66.03   53.31   2.04   
49.64   49.12   66.74   54.32   2.05   
50.31   49.61   66.94   54.43   2.08   
49.58   49.87   66.37   53.74   2.08   
47.04   50.27   66.69   53.48   1.94   
49.80   49.20   66.68   54.51   2.06   
49.35   49.31   67.41   53.87   2.06   
49.78   50.32   66.81   53.87   2.08   
50.28   50.19   66.65   53.68   2.07   
50.03   49.41   66.32   54.09   2.07   
49.75   49.60   67.49   53.74   2.06   
49.88   49.75   67.60   53.66   2.06   
50.16   50.03   66.50   53.33   2.05   
49.61   50.01   66.24   53.63   2.04   
50.08   49.43   66.13   53.81   2.09   
49.44   49.84   66.97   53.79   2.06   
50.17   49.78   66.56   53.76   2.07   
50.06   49.28   66.28   54.45   2.06   
49.95   49.30   66.85   54.18   2.06   
49.64   49.32   67.72   53.80   2.07   
49.94   50.20   66.59   53.64   2.04   
50.31   50.35   67.62   54.15   2.09   
49.94   49.84   67.72   54.50   2.08   
49.41   49.25   67.38   53.63   2.04   
49.61   49.60   66.11   54.21   2.07   
49.83   49.58   67.60   53.55   2.07   
49.91   50.03   67.23   53.30   2.08   
50.53   49.98   67.57   53.66   2.09   
50.57   49.83   66.57   54.07   2.11   
50.63   49.91   66.35   53.49   2.07   
50.27   49.91   66.37   54.08   2.08   
49.69   49.63   67.28   53.70   2.06   
49.94   46.73   66.72   53.63   2.08   
50.30   49.63   66.43   53.58   2.06   
49.52   49.35   66.61   53.96   2.04   
50.16   49.53   66.61   54.09   2.06   
49.44   50.00   67.59   54.37   2.04   
50.33   49.84   67.76   54.52   2.09   
50.63   50.28   67.60   54.50   2.08   
50.46   50.30   67.68   54.45   2.08   
50.55   50.31   67.78   54.21   2.07   
50.60   50.12   67.74   54.35   2.07   
50.60   50.31   67.61   54.33   2.07   
50.47   50.34   67.80   54.20   2.06   
50.59   50.31   67.53   53.90   2.07   
50.66   50.27   67.17   54.57   2.08   
50.66   50.25   67.06   54.52   2.08   
50.62   50.33   67.06   54.56   2.07   
50.55   49.97   66.54   54.16   2.07   
50.65   50.02   67.53   54.62   2.07   
50.60   50.06   67.70   54.57   2.07   
50.65   50.05   67.59   54.39   2.07   
50.38   50.27   67.80   54.50   2.06   
50.34   50.23   67.76   54.47   2.06   
50.36   50.17   67.62   54.62   2.07   
50.51   50.28   67.59   54.53   2.08   
50.55   50.27   67.70   54.50   2.08   
50.62   50.27   67.68   54.47   2.08   
