N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
78.16   79.32   73.98   100.97   1.64   
96.49   93.25   118.69   102.48   2.09   
96.16   95.07   97.24   100.97   2.02   
97.26   95.42   118.80   98.84   2.02   
96.21   95.80   119.58   102.04   2.00   
96.27   94.96   120.60   102.04   2.00   
96.73   92.65   121.94   102.35   2.01   
96.21   95.12   121.09   102.26   2.00   
94.68   94.96   121.63   103.40   1.94   
96.05   95.23   120.92   102.26   1.97   
95.30   95.00   122.64   103.58   1.98   
95.98   95.12   121.09   101.18   2.01   
95.53   96.09   120.84   102.18   1.98   
95.99   95.23   118.58   102.64   2.07   
96.38   95.19   120.11   102.74   2.00   
94.73   95.28   119.28   102.61   1.97   
96.21   95.98   121.52   102.61   1.99   
95.53   95.12   122.64   103.57   1.96   
95.30   95.12   121.65   101.22   1.98   
96.21   96.10   121.21   102.70   2.00   
95.98   95.07   118.11   104.30   1.94   
95.35   95.07   123.15   102.64   1.99   
96.96   94.79   119.52   101.18   2.05   
95.82   94.89   119.82   101.96   2.07   
94.40   94.68   118.86   96.35   2.11   
87.48   87.29   101.10   95.46   1.79   
95.42   96.38   121.09   103.85   1.94   
95.52   95.12   119.71   102.78   1.98   
96.92   95.52   120.01   102.43   2.01   
97.15   95.01   122.70   102.26   2.01   
96.32   95.30   120.90   102.26   2.00   
95.07   96.09   121.65   103.57   1.98   
97.15   97.20   121.71   102.96   2.01   
95.18   96.45   120.48   103.05   1.99   
96.28   95.18   120.48   100.93   2.00   
95.69   93.51   119.95   102.26   2.09   
96.38   96.03   118.87   102.44   2.00   
96.38   92.87   118.93   100.16   2.02   
94.89   92.27   118.99   100.71   1.97   
96.27   95.14   119.75   102.13   2.12   
95.64   92.91   118.58   102.70   1.98   
96.49   93.90   119.71   101.01   2.02   
94.51   92.60   121.90   102.22   2.05   
94.23   94.29   119.21   100.84   1.96   
93.57   94.84   120.25   102.78   1.97   
94.79   92.49   119.47   104.03   1.96   
93.68   94.51   119.64   100.93   1.95   
92.97   97.26   121.40   103.14   1.94   
94.95   94.51   119.52   100.42   2.02   
96.85   96.85   119.34   100.97   2.02   
94.56   93.51   119.71   101.39   1.96   
96.27   95.30   120.05   102.22   2.10   
95.86   94.29   116.96   102.00   2.08   
96.05   95.07   117.58   101.87   2.00   
93.30   92.86   118.93   100.71   2.01   
95.69   95.18   106.06   94.37   2.05   
93.79   93.23   116.79   101.61   2.11   
95.98   94.79   118.34   99.42   2.04   
94.17   96.85   121.65   102.04   1.96   
95.80   95.01   116.56   100.97   2.02   
96.50   97.39   120.43   102.21   2.01   
93.25   94.39   118.23   102.04   1.94   
95.98   93.83   119.35   101.35   2.05   
93.85   95.30   119.45   101.88   2.00   
95.69   93.79   119.28   99.18   2.00   
94.51   94.28   118.69   101.06   2.00   
95.58   94.95   116.74   104.03   1.98   
94.73   96.45   118.51   101.10   2.00   
95.35   94.40   120.30   103.95   2.01   
96.27   95.80   118.41   101.18   2.02   
97.03   94.84   120.96   101.53   2.04   
94.02   95.23   120.54   100.25   1.95   
96.45   96.09   120.37   101.56   2.02   
93.03   94.45   117.94   103.40   1.92   
96.32   95.80   120.18   101.35   2.10   
94.85   93.83   121.53   102.74   2.01   
94.28   94.12   120.24   100.25   1.97   
92.01   92.07   119.28   102.60   1.96   
93.62   92.44   119.34   100.79   1.98   
96.74   95.75   119.71   101.05   2.06   
94.68   93.01   119.65   100.29   2.04   
94.79   94.61   118.34   100.63   2.09   
95.82   94.16   119.65   101.18   2.01   
93.95   93.68   122.21   101.61   1.99   
93.30   93.62   121.27   100.80   1.92   
95.46   94.40   121.09   101.22   2.08   
94.73   96.91   117.47   102.26   1.99   
94.12   94.61   118.46   101.14   1.95   
95.58   94.28   119.11   100.58   2.01   
94.06   95.07   118.53   101.05   2.00   
95.35   94.40   116.23   102.52   1.99   
93.03   94.00   118.18   101.39   1.99   
96.16   95.18   120.84   101.39   2.06   
94.40   93.40   120.24   102.79   1.94   
95.07   94.23   119.58   99.30   2.00   
96.03   95.35   119.47   101.39   2.02   
95.23   93.25   116.96   102.44   1.99   
96.09   94.02   118.99   101.69   2.03   
94.85   92.16   119.35   101.99   2.05   
96.21   94.96   118.46   101.10   2.06   
