MPI startup(): Warning: I_MPI_PMI_LIBRARY will be ignored since the hydra process manager was found
[0] 0, 0
Iteration 0/100
==== Results ====
Height            4000
Width             6000
MPI ranks         1
OMP threads       27
Iterations        100
Elapsed time (s)  4.872737
    Collision     2.735634
    Exchange      0.090924
    Streaming     1.953687
