N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
32.48   47.65   51.25   52.60   1.34   
47.83   48.80   64.67   51.43   2.09   
48.90   46.58   61.89   51.48   2.13   
48.27   48.03   64.99   51.37   1.98   
48.28   48.50   65.02   52.20   1.99   
48.84   48.25   65.68   52.60   2.02   
48.41   48.50   62.86   52.92   2.02   
48.95   48.65   63.37   50.65   2.01   
48.60   47.98   63.61   51.57   2.11   
47.88   47.92   62.27   48.48   2.07   
45.99   27.41   49.54   48.79   2.13   
45.60   45.75   50.77   47.84   2.06   
45.48   44.00   51.40   48.10   2.05   
44.49   45.58   56.17   50.26   1.99   
48.35   43.68   54.43   47.80   2.17   
47.21   45.55   62.52   47.90   2.07   
46.92   47.80   55.22   50.23   2.08   
47.39   46.07   57.87   48.05   1.96   
45.43   47.03   57.97   50.71   1.93   
47.55   47.75   65.81   52.71   1.95   
49.10   48.56   64.79   52.96   2.10   
47.79   49.22   63.95   52.45   2.03   
47.45   47.70   57.76   48.46   1.99   
46.84   47.90   65.81   51.73   1.94   
48.90   47.89   64.29   51.22   2.25   
47.93   47.02   59.54   51.44   1.98   
45.20   48.31   57.66   51.77   1.96   
48.47   47.30   62.64   52.40   2.09   
49.63   48.47   66.16   52.34   2.03   
49.48   49.08   66.19   52.45   2.03   
48.87   48.71   65.97   52.47   2.00   
48.99   49.14   63.88   53.37   2.04   
49.60   49.14   64.52   53.45   2.05   
49.46   49.32   65.07   52.90   2.13   
49.06   46.77   61.44   50.25   2.02   
47.45   47.52   65.61   52.23   1.94   
49.41   49.08   65.15   52.90   2.05   
49.72   47.39   61.65   49.19   2.16   
48.32   47.38   64.53   51.23   2.10   
45.87   47.93   55.65   49.93   2.22   
47.49   44.23   58.28   47.26   2.04   
45.33   46.53   54.96   48.23   2.07   
46.88   45.34   56.10   47.83   2.07   
45.17   46.31   56.40   48.13   2.01   
46.28   47.72   56.82   50.98   2.03   
48.55   48.75   63.16   52.63   2.21   
47.23   43.96   63.12   52.68   2.10   
45.06   46.10   64.12   49.77   2.06   
45.20   48.44   52.81   49.18   2.01   
47.67   46.70   58.11   50.43   2.05   
47.25   45.66   61.75   50.72   2.00   
48.70   46.70   63.97   49.66   2.03   
46.87   47.75   61.19   51.43   1.92   
47.77   48.96   64.92   53.07   2.03   
49.77   48.87   62.76   52.94   2.22   
45.78   41.24   54.89   48.06   2.16   
45.45   44.75   57.17   49.05   1.99   
45.92   44.72   59.70   50.29   1.89   
48.05   47.85   64.69   52.11   2.08   
48.62   48.66   64.80   51.51   2.01   
48.24   45.97   62.07   49.17   2.00   
47.72   46.69   61.16   52.46   2.06   
48.96   48.96   62.26   52.64   2.01   
49.08   48.12   63.86   51.47   2.01   
49.31   49.46   64.94   52.69   2.01   
48.52   49.06   62.13   48.16   2.01   
44.52   46.23   61.55   50.94   1.88   
47.79   47.61   50.59   49.61   2.03   
49.21   47.52   54.64   49.48   2.14   
46.32   47.98   61.63   50.89   1.95   
49.60   47.65   63.84   52.40   2.11   
49.20   46.22   60.59   49.98   2.09   
48.57   47.37   63.91   52.42   2.01   
47.53   47.73   65.41   51.11   2.01   
49.67   44.51   58.05   48.67   2.15   
44.47   45.83   53.08   48.09   1.98   
47.24   44.93   60.10   46.48   2.01   
43.88   46.18   49.88   45.01   1.98   
46.79   45.73   59.11   48.75   2.07   
47.06   46.10   59.29   48.87   2.02   
46.67   46.58   63.36   50.28   1.96   
48.94   49.20   63.76   52.25   2.09   
49.07   48.50   64.34   51.94   2.12   
49.57   47.68   59.36   49.69   2.08   
48.44   47.95   62.13   49.06   2.19   
47.88   47.65   62.99   47.18   2.09   
47.66   46.71   63.75   50.00   2.05   
49.14   48.59   65.52   50.62   2.08   
49.01   47.65   64.40   47.68   2.27   
45.79   46.53   55.56   45.91   1.99   
48.76   47.39   61.18   49.36   2.03   
49.52   48.22   62.93   48.42   2.17   
48.17   44.00   53.74   49.54   2.12   
47.86   45.25   61.18   47.85   2.04   
49.46   46.15   63.61   49.37   2.13   
49.12   46.32   56.37   51.69   2.18   
46.95   47.21   63.80   52.77   2.03   
49.23   48.87   65.91   52.86   2.03   
49.67   48.54   66.13   52.68   2.04   
49.53   48.66   66.03   52.66   2.02   
