N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
30.93   47.34   49.44   52.10   1.26   
49.21   48.66   63.78   52.46   2.01   
49.11   48.57   64.66   52.24   1.98   
48.97   48.40   64.47   52.18   1.97   
48.40   49.06   64.48   52.25   1.96   
48.32   48.74   65.07   52.51   1.99   
49.49   48.44   65.25   52.55   2.03   
49.49   48.75   65.46   52.28   2.03   
49.37   48.29   64.55   52.68   2.00   
48.81   48.47   64.69   52.76   1.98   
49.16   48.72   64.52   52.39   2.05   
49.02   49.19   64.74   52.39   2.05   
49.08   49.10   64.57   52.71   2.05   
49.26   48.90   65.79   52.70   2.07   
49.49   48.68   66.04   52.61   2.08   
49.49   48.90   65.99   52.58   2.08   
49.55   48.53   64.99   52.69   2.08   
49.49   48.38   64.64   53.14   2.09   
49.19   49.21   64.52   52.07   2.08   
48.84   48.63   62.18   52.00   1.99   
48.11   49.16   64.13   52.70   2.01   
48.80   48.87   66.03   52.38   2.05   
49.37   48.86   66.08   52.67   2.08   
49.60   48.75   65.79   52.53   2.10   
49.57   48.79   63.73   53.10   2.11   
49.15   48.41   64.62   53.05   2.07   
48.99   48.28   64.78   52.06   2.06   
48.63   48.96   64.69   52.39   2.03   
48.11   48.81   63.08   50.42   2.10   
47.72   47.13   59.75   51.90   2.11   
48.77   48.12   64.60   52.10   2.06   
47.85   49.12   61.73   52.56   1.98   
47.70   46.22   60.50   49.44   1.99   
46.58   46.81   65.16   49.73   2.01   
47.30   46.84   64.17   50.80   2.13   
49.08   47.20   59.17   48.86   2.01   
47.36   48.74   62.07   49.05   2.01   
48.74   47.07   57.62   50.94   2.07   
47.92   48.37   65.74   51.60   2.03   
48.80   48.62   64.48   52.78   2.06   
49.01   49.01   64.01   52.34   2.08   
49.23   48.78   64.17   52.55   2.08   
49.21   48.95   63.27   52.34   2.06   
48.90   48.32   65.66   52.21   2.05   
49.30   47.73   65.84   49.68   2.09   
46.87   45.34   57.62   47.72   2.01   
45.79   47.39   54.11   47.79   1.87   
45.07   48.14   58.78   42.06   2.16   
42.50   46.02   55.71   47.73   1.83   
47.55   48.12   62.76   49.36   2.08   
44.68   45.84   63.82   49.75   1.87   
48.08   48.34   60.45   48.12   2.00   
47.95   48.31   57.94   50.81   2.01   
49.02   47.72   56.60   47.22   2.14   
47.71   48.25   62.78   52.60   1.95   
48.95   48.48   60.67   49.20   2.05   
45.75   48.38   63.51   50.25   1.86   
46.65   48.59   60.41   51.71   2.03   
48.90   48.25   51.48   46.37   2.19   
44.22   45.11   61.95   51.93   1.80   
49.25   48.34   65.11   52.38   2.09   
49.10   47.77   65.43   51.66   1.98   
48.68   48.00   65.56   52.23   1.96   
48.62   49.03   64.31   53.05   2.01   
49.25   48.93   65.63   52.58   2.01   
49.49   48.00   65.06   52.69   2.00   
48.27   49.20   65.47   52.83   1.95   
49.49   49.24   66.01   53.01   2.01   
49.20   48.71   63.93   51.58   2.02   
49.37   49.08   65.36   53.18   2.02   
49.63   48.74   65.29   52.92   2.02   
49.41   48.19   65.04   52.58   2.04   
49.37   47.75   66.06   52.78   2.01   
49.32   48.35   62.05   50.85   2.08   
48.49   49.07   65.41   52.16   2.07   
49.33   48.83   64.45   52.85   2.06   
49.41   48.11   65.10   52.43   2.09   
48.32   48.74   64.83   52.07   2.02   
49.40   48.66   65.90   52.53   2.08   
48.57   49.03   64.72   52.67   2.04   
48.71   48.71   65.66   52.23   2.06   
48.35   48.90   64.48   52.86   2.07   
49.28   48.56   65.86   52.32   2.07   
49.23   48.44   66.01   52.53   2.05   
49.06   48.31   65.15   52.93   2.05   
47.75   48.65   64.59   52.51   2.01   
49.57   48.40   64.85   52.78   2.08   
48.90   49.08   65.24   51.88   2.06   
49.40   48.53   65.27   52.31   2.09   
48.74   47.68   65.45   52.81   2.27   
45.99   44.23   57.36   48.60   1.99   
46.57   47.69   58.42   51.10   1.99   
47.85   46.89   57.52   51.30   2.04   
47.45   45.85   63.83   49.29   1.98   
46.35   45.52   61.89   49.75   1.97   
45.98   47.79   55.96   51.29   2.03   
44.24   46.81   57.13   48.58   1.84   
47.76   44.97   65.50   48.74   2.00   
46.03   46.70   58.12   51.30   2.05   
48.64   47.16   51.92   47.20   2.04   
