N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
129.35   138.28   130.29   128.27   1.87   
139.00   139.75   132.66   131.36   2.00   
138.65   140.48   131.72   130.22   1.99   
135.25   140.72   132.68   131.93   1.94   
137.46   139.37   133.03   132.31   2.04   
139.00   140.13   131.57   129.80   2.01   
139.72   135.25   131.36   129.45   2.01   
135.25   140.34   131.00   131.45   1.92   
141.97   140.60   131.36   129.39   2.08   
139.37   141.22   131.79   131.93   1.99   
135.49   137.57   132.09   131.21   1.95   
137.69   135.93   132.68   130.36   2.00   
138.88   137.94   126.72   125.00   2.05   
129.65   133.44   129.80   126.78   1.93   
133.55   140.48   125.86   128.48   2.01   
132.65   139.75   131.86   131.00   1.92   
139.49   137.10   133.05   132.82   1.99   
138.54   138.65   132.23   133.26   2.01   
138.65   137.57   109.99   131.86   1.99   
136.87   141.46   133.12   133.03   2.04   
138.06   137.10   129.59   131.43   1.99   
140.99   140.96   132.59   132.17   1.99   
140.34   139.00   132.45   131.88   2.04   
138.40   140.60   132.52   128.07   1.97   
135.25   139.61   129.39   129.65   1.91   
138.31   138.40   132.96   133.19   1.98   
137.94   137.46   130.56   129.45   2.01   
140.72   137.35   132.89   131.23   2.06   
139.75   137.80   132.45   131.00   2.01   
141.22   138.63   132.45   128.14   2.05   
139.03   135.93   132.23   131.59   1.96   
135.14   138.51   133.05   130.94   2.01   
138.40   140.25   131.93   130.02   1.99   
140.10   137.57   132.45   131.79   2.04   
137.21   139.64   128.14   133.10   1.97   
134.78   140.22   131.16   118.57   1.93   
133.55   139.61   130.51   132.66   1.91   
140.13   140.34   133.63   131.86   2.03   
133.66   139.49   132.54   132.30   1.92   
139.84   139.99   134.61   131.21   2.02   
138.51   140.60   131.86   132.17   2.04   
141.85   141.10   131.14   131.14   2.04   
136.62   139.49   133.79   129.94   1.93   
140.72   138.88   130.94   131.50   2.02   
140.84   139.99   132.89   131.29   2.00   
136.87   139.35   132.68   131.72   2.02   
140.37   138.28   130.78   130.94   2.01   
137.46   138.54   128.76   131.50   2.05   
139.00   141.49   132.73   130.65   1.98   
139.84   138.06   133.05   132.23   2.00   
138.06   139.23   133.26   129.25   1.98   
135.71   142.09   132.59   131.07   1.98   
139.00   137.94   132.73   131.59   2.01   
137.35   137.69   130.16   130.29   2.02   
140.25   136.98   129.72   133.05   2.08   
140.84   136.76   131.00   132.30   2.00   
137.80   140.99   129.45   132.43   1.96   
141.73   140.22   129.11   131.52   2.01   
135.93   140.84   133.35   130.43   1.94   
133.90   132.89   131.14   131.88   1.93   
140.84   136.65   133.47   130.73   2.03   
141.46   139.75   131.93   130.73   2.01   
140.13   141.34   134.07   129.52   2.01   
140.25   140.45   132.98   132.96   2.05   
138.17   139.26   133.33   130.65   2.04   
139.37   138.40   132.24   131.36   2.02   
141.34   138.17   133.70   130.80   2.01   
138.17   137.21   130.58   131.95   1.97   
139.03   140.45   133.12   130.29   1.97   
134.70   141.22   131.64   129.74   1.90   
138.77   142.09   130.71   130.94   2.09   
138.40   138.06   132.45   131.57   1.97   
137.72   141.22   131.28   132.02   1.98   
139.37   135.25   132.89   130.36   2.03   
141.10   137.91   132.61   131.29   2.09   
140.57   139.26   130.71   129.87   2.03   
138.88   139.52   131.14   131.14   2.10   
136.65   141.46   131.65   131.72   2.02   
139.26   137.10   133.33   132.82   1.98   
140.22   140.25   131.86   130.65   2.03   
139.14   138.51   132.45   130.16   1.98   
138.63   141.34   131.09   124.92   2.01   
137.10   137.32   126.99   128.89   2.04   
124.23   130.92   126.26   119.52   1.87   
138.65   139.75   132.23   132.96   2.02   
137.46   142.09   131.29   131.59   1.94   
136.65   137.10   131.29   133.40   1.98   
139.26   136.76   131.79   130.94   1.98   
140.10   137.46   131.95   128.14   2.03   
141.22   140.34   133.05   131.43   2.11   
138.54   141.10   133.47   132.61   2.03   
135.57   139.87   131.29   121.21   2.04   
139.96   140.37   131.79   132.31   2.00   
137.10   135.93   131.72   129.87   2.01   
136.98   135.49   130.85   131.59   1.98   
138.17   139.37   131.88   132.52   1.96   
141.34   140.34   131.07   128.54   2.03   
139.84   137.24   130.94   130.85   2.08   
137.46   135.71   132.00   132.02   2.00   
140.84   138.40   129.80   131.00   2.07   
