N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
127.29   121.49   130.07   118.76   2.02   
141.73   132.99   122.96   135.66   2.32   
131.69   121.49   125.27   113.09   1.84   
116.79   127.80   125.92   134.38   1.75   
116.21   139.00   132.89   112.57   1.82   
128.83   140.10   132.75   121.65   1.95   
138.17   132.34   135.14   117.87   2.06   
121.22   139.49   137.93   130.07   1.85   
137.46   136.76   128.82   133.17   1.98   
135.25   133.55   137.31   133.33   1.96   
132.76   134.35   136.14   123.63   2.02   
136.07   125.18   130.80   131.86   2.00   
126.88   133.21   129.59   131.23   1.90   
120.31   137.69   126.84   128.69   1.79   
137.94   124.41   133.19   130.01   2.08   
132.57   135.35   134.24   132.75   2.06   
136.98   132.57   136.12   130.87   1.96   
132.13   136.15   135.76   119.99   2.00   
131.05   135.82   129.74   126.38   1.92   
131.69   135.82   135.37   134.68   2.04   
138.06   121.29   113.74   133.42   2.18   
134.22   135.82   123.77   121.84   1.94   
132.44   133.23   131.21   129.25   2.01   
136.76   130.94   133.70   129.94   2.31   
133.66   129.68   137.76   132.52   2.02   
135.03   136.04   133.86   133.70   2.00   
135.71   131.79   125.66   134.92   1.99   
134.68   122.62   124.54   131.88   2.04   
136.51   132.44   133.12   133.19   1.93   
134.81   131.25   129.80   133.17   1.99   
131.48   134.22   130.78   120.92   2.02   
121.86   135.93   131.16   131.65   1.82   
138.06   132.10   130.73   133.56   2.15   
116.29   139.61   134.00   133.47   1.81   
132.89   137.83   133.19   131.72   2.00   
127.90   135.49   133.19   129.59   1.93   
121.66   130.74   136.66   135.45   1.84   
134.35   133.34   127.79   133.49   2.03   
133.68   127.08   140.43   135.59   2.01   
135.03   134.43   130.44   118.00   1.95   
139.75   136.73   120.73   127.66   2.06   
132.78   136.76   132.38   131.72   1.95   
134.11   135.03   128.69   132.09   1.92   
131.79   134.68   135.98   135.21   1.90   
133.21   133.79   135.37   132.16   1.99   
132.13   130.92   122.52   124.03   1.93   
134.68   139.61   129.39   119.34   1.96   
133.66   133.02   123.83   132.38   2.02   
119.67   139.72   135.98   133.56   1.74   
128.83   137.80   135.06   135.28   1.96   
138.88   129.88   131.64   128.22   2.07   
134.68   130.82   135.59   135.90   1.93   
124.14   138.40   133.86   130.36   1.90   
134.89   132.57   133.77   134.54   1.98   
122.42   131.05   131.79   122.08   1.90   
133.90   135.71   133.77   129.32   2.00   
136.87   130.28   135.66   133.93   2.05   
136.18   137.80   137.22   130.87   2.03   
134.35   132.10   126.32   130.58   2.02   
137.35   117.90   138.33   132.59   2.12   
133.44   133.44   132.43   132.98   2.08   
130.61   134.11   134.15   134.68   1.93   
135.14   133.23   135.14   132.38   2.07   
136.62   138.17   128.63   129.30   1.98   
123.27   131.15   134.68   135.14   1.82   
130.74   138.77   133.77   133.12   1.99   
132.47   132.89   132.73   129.45   1.91   
135.27   131.90   135.66   134.76   2.13   
139.37   134.81   130.94   130.71   2.02   
139.26   126.17   133.19   135.30   2.11   
129.35   117.90   129.59   135.45   1.93   
138.65   125.48   139.06   129.44   2.03   
132.99   130.71   116.00   136.36   1.97   
132.78   136.29   132.82   135.05   2.00   
133.79   126.98   123.33   117.87   2.17   
119.30   118.36   122.19   116.62   2.02   
123.54   120.12   121.77   117.08   2.12   
123.18   121.20   120.12   114.66   2.16   
119.86   123.73   116.00   114.83   1.99   
139.00   135.71   135.21   125.59   2.05   
135.38   134.33   134.47   113.74   2.32   
137.10   134.70   132.73   133.63   2.05   
134.89   128.22   131.79   125.06   2.21   
135.38   125.58   126.86   127.45   2.23   
118.97   132.78   126.51   124.88   1.77   
132.89   139.00   129.87   129.24   2.05   
134.57   137.35   133.70   130.85   1.93   
119.22   136.29   137.22   132.38   1.87   
133.34   138.40   126.92   128.07   1.98   
132.44   134.22   136.68   135.14   1.99   
134.22   117.41   136.27   135.52   2.08   
141.46   135.03   131.29   133.26   2.08   
136.51   129.23   127.20   136.83   2.04   
132.99   134.00   135.14   134.31   1.94   
134.68   130.08   134.16   134.00   1.98   
132.34   134.57   133.12   133.70   2.00   
134.92   125.30   131.79   134.83   2.01   
119.67   127.29   128.68   131.95   1.78   
129.23   131.15   114.89   135.52   2.09   
123.45   131.56   134.92   134.07   1.86   
