N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
128.12   140.10   131.50   127.45   1.84   
139.49   140.60   128.76   123.39   2.04   
138.06   134.68   125.78   126.26   2.02   
139.99   137.10   127.39   126.53   2.07   
141.22   138.28   130.01   126.92   2.00   
140.25   142.21   130.51   130.71   2.00   
141.37   143.36   129.24   128.14   2.07   
140.37   141.46   130.78   127.66   1.99   
144.54   138.40   129.80   128.69   2.05   
142.09   138.77   128.14   126.80   2.03   
139.99   141.46   129.30   128.01   1.99   
141.46   141.22   129.87   126.11   2.01   
141.85   139.87   130.92   127.73   2.01   
141.34   142.72   129.72   128.28   2.06   
72.14   79.14   79.15   126.38   1.01   
138.63   140.60   129.52   127.12   1.97   
141.85   141.70   130.31   130.14   2.04   
142.24   141.19   130.51   128.14   2.01   
142.48   137.10   129.45   128.07   2.03   
143.76   139.37   129.45   128.14   2.04   
141.22   141.46   127.73   127.05   2.00   
140.84   139.99   128.14   128.28   2.00   
141.22   140.25   131.00   127.18   2.02   
141.61   141.22   129.65   127.12   2.03   
140.60   140.10   127.73   119.35   2.29   
133.02   140.45   130.29   128.82   1.88   
139.87   140.45   129.94   126.92   2.01   
137.43   139.52   128.40   128.01   1.96   
144.26   139.64   130.65   80.43   3.77   
78.70   134.46   128.20   127.86   1.12   
140.10   141.61   131.00   127.92   1.99   
141.97   143.00   128.33   125.39   2.04   
140.13   140.22   128.89   127.60   2.01   
139.37   141.61   130.29   127.45   1.97   
141.58   137.12   129.30   129.17   2.01   
140.10   140.37   130.43   128.76   2.01   
142.36   141.19   127.88   128.74   2.03   
142.12   141.34   128.82   127.86   2.05   
139.99   140.22   129.45   129.17   2.00   
141.19   139.37   129.87   128.82   2.00   
141.70   141.85   130.29   129.17   2.02   
140.37   137.10   130.22   128.96   1.99   
142.36   141.46   130.44   128.74   1.99   
142.09   102.63   98.20   80.54   2.06   
141.46   139.87   129.45   127.73   2.01   
140.48   141.70   128.48   128.82   2.00   
142.48   139.96   130.73   127.65   2.03   
140.99   141.70   130.65   126.13   2.01   
141.46   138.77   124.55   121.15   2.02   
127.39   124.90   130.29   127.26   1.75   
137.83   146.53   129.02   127.66   1.99   
140.60   140.96   130.87   128.35   2.01   
141.97   141.07   128.41   128.28   2.00   
142.24   140.45   128.82   127.94   2.03   
141.61   141.34   127.86   125.39   2.02   
141.10   139.49   128.33   127.79   2.04   
141.22   140.99   130.14   128.97   2.02   
140.60   139.99   129.80   129.45   3.72   
141.97   139.26   128.96   128.76   2.03   
141.97   139.61   129.04   128.27   2.02   
141.61   140.84   129.11   125.78   2.03   
139.35   138.65   128.63   128.14   2.00   
141.10   141.61   130.43   127.66   2.01   
140.48   142.88   128.68   128.01   2.04   
141.97   141.58   130.36   128.14   2.03   
141.10   141.58   129.80   128.14   1.98   
140.10   135.46   127.88   126.91   1.98   
140.60   139.61   128.82   127.52   1.98   
139.72   141.34   128.35   127.92   1.98   
140.48   140.22   130.80   127.18   1.99   
140.72   141.46   130.58   127.79   2.05   
141.97   140.10   130.01   128.35   2.00   
72.33   77.48   97.64   126.86   1.04   
138.51   139.64   129.72   127.73   1.99   
141.73   141.07   129.96   128.27   2.01   
141.58   139.99   127.94   127.79   2.00   
141.46   141.34   129.80   128.68   2.02   
141.85   139.87   127.24   126.99   2.03   
139.03   139.37   129.59   127.73   1.95   
140.96   140.99   128.89   128.20   1.99   
141.85   140.72   129.11   127.73   2.01   
142.33   141.34   129.87   128.35   2.03   
142.21   137.24   129.79   127.60   2.01   
140.37   139.37   128.33   126.45   2.01   
139.49   139.61   128.14   127.79   1.99   
141.85   141.10   128.54   128.82   2.01   
141.73   141.07   98.44   98.53   2.79   
103.76   143.49   97.72   127.73   1.48   
141.97   140.10   129.39   126.45   2.03   
140.37   140.34   127.12   127.60   1.98   
140.37   143.00   128.61   128.41   1.99   
139.64   141.19   128.82   128.97   1.98   
141.70   142.12   132.36   129.52   2.03   
143.00   142.09   127.79   129.11   2.02   
142.21   142.12   130.85   126.99   2.16   
139.00   141.10   128.69   127.18   1.95   
139.00   141.85   129.80   127.79   1.95   
141.34   139.23   129.87   128.01   2.01   
140.10   140.60   129.37   128.63   1.98   
140.75   143.09   128.97   128.48   1.97   
