N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
133.13   138.40   134.97   139.87   1.90   
125.70   127.68   132.61   137.22   1.89   
140.48   141.97   132.36   135.14   2.00   
142.24   139.11   125.53   136.12   2.09   
142.48   138.65   133.70   138.18   2.30   
145.57   138.17   140.10   133.56   2.02   
114.44   147.33   136.14   136.75   1.58   
143.76   133.44   137.52   137.54   2.06   
141.58   115.78   140.59   138.81   1.95   
135.14   139.61   135.59   135.83   1.95   
140.84   135.46   138.10   134.15   2.01   
139.14   139.61   136.44   138.48   1.95   
143.52   140.45   136.36   136.99   2.13   
127.17   140.37   136.22   138.81   1.82   
134.00   134.57   140.26   135.21   1.87   
143.49   135.25   136.60   121.71   1.97   
136.29   137.46   137.22   139.71   1.96   
144.66   140.60   134.99   137.22   2.04   
145.73   140.99   138.88   131.14   2.05   
141.61   140.34   135.06   138.33   2.00   
118.25   141.85   137.93   133.70   1.63   
140.48   138.06   136.51   135.83   1.97   
132.23   136.07   135.21   137.69   1.86   
142.21   127.29   140.18   136.36   1.98   
136.18   127.08   139.21   136.92   2.06   
147.46   138.06   137.78   133.40   2.10   
139.23   142.72   137.39   138.41   1.95   
142.36   132.00   136.36   136.14   2.03   
140.37   136.85   134.16   136.51   2.00   
139.37   122.89   140.69   116.28   2.37   
144.66   137.43   136.14   137.22   2.09   
131.82   125.88   137.54   138.48   1.91   
144.69   140.45   134.54   133.47   2.01   
142.85   140.37   135.52   136.66   2.02   
139.99   139.11   138.65   135.90   1.99   
143.49   138.40   138.33   136.36   1.98   
139.72   140.72   137.14   112.52   2.02   
125.18   140.99   136.99   134.15   1.71   
139.37   140.84   137.61   138.98   1.94   
136.18   137.91   134.92   135.52   1.92   
141.22   125.67   139.38   137.61   2.44   
146.27   135.00   131.72   136.75   2.03   
141.97   137.83   134.76   136.51   2.06   
145.32   127.39   139.29   135.06   2.00   
143.76   131.48   136.05   136.75   2.01   
114.93   141.97   136.22   136.05   1.64   
141.85   117.30   139.21   135.14   2.10   
136.40   136.18   138.73   137.29   1.91   
133.55   129.35   135.14   136.36   2.01   
117.57   126.17   137.86   130.71   1.68   
134.57   138.77   136.36   135.66   1.96   
132.89   134.11   123.21   125.99   2.25   
123.93   119.50   128.89   127.33   1.88   
128.81   129.78   135.59   136.36   1.82   
123.45   140.22   139.13   136.51   1.72   
144.41   138.77   136.44   136.68   2.00   
137.32   140.25   137.93   135.50   1.92   
143.52   136.40   137.29   124.48   2.12   
141.97   139.72   139.21   138.10   1.96   
142.85   127.20   138.01   112.94   1.95   
135.71   143.61   135.37   135.74   2.01   
131.35   131.48   134.31   138.01   2.28   
144.91   139.99   134.07   133.86   2.07   
142.09   138.06   134.76   135.52   2.00   
139.35   138.91   137.69   137.86   2.17   
144.66   137.46   138.01   138.25   2.52   
137.21   139.03   138.81   137.44   1.91   
139.99   129.88   136.90   139.54   1.93   
143.36   140.22   118.34   116.97   2.04   
142.60   136.40   135.52   138.41   2.04   
137.94   138.40   135.90   138.18   1.96   
142.09   139.49   137.54   137.54   1.96   
140.60   136.04   139.54   136.75   2.03   
142.24   136.04   138.08   135.66   2.04   
142.97   136.98   133.42   134.76   2.12   
145.73   132.23   137.93   137.61   2.04   
143.61   141.49   137.44   132.24   2.00   
139.61   130.84   139.44   136.36   1.95   
143.89   137.35   135.28   138.65   1.99   
143.36   137.57   135.45   137.37   2.05   
142.85   138.17   138.50   135.14   2.01   
141.61   138.28   118.93   139.85   1.96   
143.89   140.10   134.38   138.65   2.14   
139.03   140.60   138.08   118.87   2.02   
143.76   135.93   136.83   138.25   2.02   
140.10   127.10   140.85   136.90   1.98   
141.10   136.15   138.98   135.21   2.15   
139.49   135.82   139.46   137.44   1.99   
139.49   125.98   137.54   134.24   2.09   
145.07   138.63   135.45   137.46   2.02   
144.01   140.10   136.36   137.61   2.04   
134.89   141.34   135.83   136.60   1.86   
136.87   114.70   138.01   132.38   1.96   
143.64   136.62   136.83   138.33   1.96   
144.38   138.17   138.25   130.16   2.02   
140.99   136.40   138.73   138.88   2.29   
145.86   141.22   139.04   139.21   2.05   
125.11   141.22   135.59   138.08   1.73   
143.64   127.90   136.36   136.59   2.02   
140.48   124.60   139.69   135.52   1.99   
