N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
29.98   45.86   46.50   50.69   1.34   
48.06   48.76   61.27   52.74   2.05   
49.37   48.86   65.13   53.10   2.11   
48.46   44.64   56.61   41.46   2.08   
49.17   46.51   59.00   50.31   2.10   
49.35   49.20   64.20   51.77   2.10   
48.49   49.05   58.00   51.41   2.14   
47.83   47.09   58.95   51.41   2.27   
45.54   44.76   50.63   48.02   2.01   
45.41   41.27   53.95   49.84   2.23   
41.90   42.57   54.76   45.55   1.98   
46.70   47.61   48.79   48.13   2.05   
45.25   45.85   51.02   47.77   2.09   
44.17   44.57   56.84   48.71   2.00   
47.93   45.99   55.84   49.02   2.03   
47.32   48.07   65.99   53.39   2.00   
49.61   48.75   66.39   53.32   2.13   
49.89   48.59   66.52   53.62   2.12   
49.64   48.91   67.13   53.37   2.11   
49.35   49.06   65.81   54.18   2.11   
43.70   46.92   61.12   53.49   1.86   
49.31   47.36   62.86   50.54   2.04   
46.27   48.05   65.72   50.98   1.92   
48.12   47.73   58.07   52.12   2.12   
48.85   48.30   58.49   53.81   2.06   
48.15   47.43   64.12   48.71   2.25   
47.82   40.72   53.14   45.40   2.34   
47.79   49.26   66.32   53.43   2.03   
49.14   49.11   64.15   54.09   2.01   
49.03   49.37   64.84   54.19   2.07   
49.75   49.68   64.97   53.90   2.13   
49.77   48.23   59.13   54.14   2.10   
49.64   48.37   65.56   53.86   2.11   
49.28   49.08   67.02   53.72   2.08   
49.57   49.17   66.76   53.35   2.09   
48.90   49.38   65.45   54.19   2.10   
49.73   49.46   65.11   54.25   2.13   
49.38   49.17   67.15   53.15   2.08   
49.54   49.38   67.15   53.86   2.11   
49.80   49.60   67.21   53.73   2.11   
49.16   49.29   64.88   54.07   2.09   
49.72   48.70   65.32   54.01   2.11   
49.64   49.58   66.82   53.71   2.12   
49.86   48.78   66.95   53.94   2.11   
48.78   49.46   67.11   53.70   2.07   
49.67   49.60   63.95   53.44   2.12   
49.26   49.57   66.80   53.81   2.09   
49.10   49.40   66.30   52.24   2.15   
49.89   48.86   67.10   53.87   2.18   
49.91   48.43   66.52   53.50   2.11   
49.30   49.66   64.33   53.35   2.08   
49.08   49.30   65.70   54.29   2.09   
49.91   49.14   65.97   54.32   2.13   
49.24   49.46   65.59   53.73   2.10   
49.70   49.25   66.21   54.18   2.13   
47.10   46.51   56.29   53.52   2.07   
47.10   48.75   60.47   51.01   2.12   
48.21   46.65   65.84   49.43   2.05   
48.51   48.62   62.23   48.43   2.11   
46.11   47.39   56.25   53.63   1.98   
46.95   44.75   54.03   50.01   1.97   
46.81   47.48   66.39   51.07   1.99   
45.91   47.86   58.89   47.01   2.05   
45.92   47.99   56.06   48.73   2.01   
46.15   43.74   62.86   49.47   1.89   
47.74   47.23   59.79   52.81   2.05   
46.03   49.02   57.28   51.99   2.02   
47.09   46.24   64.04   50.95   2.11   
48.23   47.09   66.98   50.70   2.07   
46.94   48.41   62.94   49.00   2.00   
48.63   48.75   57.89   49.20   2.11   
48.18   47.83   63.86   50.98   1.96   
48.21   47.86   64.67   50.89   2.01   
47.90   48.08   62.55   52.91   2.08   
49.28   48.16   61.05   53.39   2.11   
48.51   46.99   64.22   51.71   2.04   
48.46   49.14   64.71   53.49   2.08   
49.17   49.34   65.40   53.56   2.11   
49.34   49.48   65.02   53.35   2.12   
49.22   48.81   66.63   53.01   2.09   
49.57   48.60   67.14   48.95   2.22   
49.71   48.06   64.36   50.74   2.22   
49.46   49.20   64.86   54.09   2.14   
48.68   46.69   63.91   51.61   2.09   
48.56   49.34   62.79   52.12   2.16   
44.30   46.15   57.22   49.61   2.01   
48.17   44.83   55.80   47.76   2.03   
45.25   45.58   60.56   52.15   2.05   
46.66   45.07   61.08   51.84   2.01   
46.66   48.63   58.47   52.47   2.09   
48.84   46.39   58.95   49.40   2.08   
47.57   46.26   64.81   50.47   2.05   
49.02   49.28   66.93   53.11   2.09   
49.35   49.19   66.50   53.66   2.13   
49.91   49.11   65.07   54.07   2.15   
49.91   49.11   63.61   50.77   2.18   
47.45   47.79   60.50   50.99   1.99   
46.72   47.86   64.92   52.75   1.91   
48.99   49.02   66.98   53.40   2.13   
48.56   48.37   60.90   53.02   2.07   
