N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
32.70   48.32   50.92   51.03   1.34   
48.32   47.71   63.14   51.24   1.99   
48.18   47.82   63.76   49.99   2.13   
47.07   46.23   60.64   50.56   2.00   
45.48   47.55   61.49   51.02   1.85   
48.60   47.59   61.05   51.53   2.06   
46.62   44.59   62.61   46.87   1.96   
45.85   47.16   57.53   48.72   1.99   
48.28   47.69   52.60   49.88   2.11   
47.49   48.17   60.85   47.82   1.98   
45.82   46.66   58.74   48.55   2.03   
45.09   47.79   62.93   50.58   1.93   
47.39   47.56   63.37   49.36   2.15   
46.81   43.39   59.98   47.76   2.40   
41.62   46.91   56.05   46.89   1.89   
46.99   42.82   52.98   46.72   1.95   
44.12   47.85   56.08   49.95   1.92   
48.51   47.27   63.61   51.00   2.10   
47.40   45.47   62.70   50.84   1.96   
44.72   48.25   62.79   50.57   1.87   
45.05   47.53   56.02   50.99   1.94   
47.73   46.50   59.64   46.17   2.08   
47.49   47.65   59.85   48.85   1.96   
48.31   48.18   61.97   50.70   1.98   
47.89   47.25   63.19   50.59   2.04   
48.12   47.00   64.26   50.70   2.06   
48.06   47.92   62.60   51.05   2.11   
45.55   47.23   62.76   50.11   1.97   
47.82   48.21   62.91   50.97   2.04   
47.41   46.63   62.10   48.91   1.98   
47.02   45.57   62.08   49.28   2.02   
48.34   48.59   63.27   50.85   1.97   
48.50   47.88   58.97   50.23   2.05   
47.43   47.20   64.17   50.86   1.95   
47.61   48.37   63.04   51.67   2.08   
48.51   48.08   63.41   52.03   2.25   
46.57   47.89   63.46   50.86   1.96   
47.62   48.59   62.57   51.16   2.01   
47.81   47.96   63.97   51.47   2.05   
49.19   48.28   53.90   49.53   2.09   
47.82   45.98   60.97   50.79   1.97   
48.41   47.11   61.15   48.44   2.01   
47.67   47.98   62.73   51.45   2.01   
47.10   47.36   63.63   51.34   1.95   
48.83   47.63   63.36   51.17   2.10   
48.13   47.58   63.24   51.22   1.97   
48.24   48.65   62.47   51.39   1.98   
48.77   48.16   63.56   51.30   2.02   
49.05   47.50   64.54   49.38   2.03   
47.27   43.34   62.94   51.80   1.93   
48.12   48.57   63.46   51.15   2.03   
48.35   48.63   62.89   51.68   2.07   
48.75   48.18   63.34   51.49   2.09   
48.82   47.62   64.62   51.15   2.07   
48.78   47.93   63.66   51.71   2.08   
48.41   48.35   62.55   51.94   2.06   
48.34   48.38   63.24   51.49   2.06   
48.72   47.82   63.69   50.95   2.05   
48.80   47.77   64.57   51.62   2.07   
48.09   47.72   64.62   50.77   1.97   
48.43   48.27   62.40   52.21   2.09   
48.81   48.25   63.41   51.51   2.08   
48.78   48.08   63.11   50.96   2.05   
48.50   47.85   63.39   51.25   2.05   
48.19   48.31   64.07   51.51   2.05   
48.56   48.19   63.34   51.78   2.09   
49.14   48.28   53.68   50.11   2.07   
47.95   44.83   58.57   50.38   2.00   
48.13   45.70   63.64   48.23   2.06   
47.93   47.72   62.70   51.89   2.00   
48.80   47.76   63.18   50.87   2.14   
47.27   46.02   55.70   50.19   1.98   
48.09   48.12   60.81   48.54   2.03   
48.72   46.80   62.88   52.00   2.02   
47.13   46.51   54.08   50.04   1.93   
46.89   47.56   59.76   50.95   1.96   
48.08   45.54   63.68   50.44   2.01   
47.56   47.13   59.75   50.56   1.99   
47.23   46.91   60.57   50.40   1.96   
46.16   47.58   59.37   49.45   1.90   
48.83   46.74   60.85   48.58   2.00   
48.94   46.88   57.47   50.88   2.09   
46.87   48.40   62.71   51.16   1.96   
48.16   44.84   57.99   51.68   2.03   
47.20   47.10   63.06   48.00   2.03   
46.11   46.53   54.53   49.68   1.90   
48.06   47.39   55.52   48.40   2.00   
47.00   46.42   56.22   50.31   2.08   
47.95   45.75   56.06   47.76   1.97   
45.07   46.22   58.05   49.74   2.00   
46.22   46.31   56.29   45.39   2.08   
44.52   46.88   47.55   48.80   2.02   
46.26   43.80   60.19   46.87   2.03   
45.56   41.42   50.91   49.24   2.16   
43.08   40.53   55.29   44.70   1.87   
45.95   45.58   57.31   48.48   1.93   
46.28   47.43   59.30   50.29   1.90   
48.34   48.03   60.50   52.01   2.00   
48.72   47.71   59.61   51.53   2.00   
48.68   46.96   63.26   50.75   1.99   
