N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
30.98   47.83   50.37   50.35   1.33   
48.22   48.12   64.07   51.89   1.98   
48.43   48.44   63.47   52.36   2.00   
48.74   48.66   63.56   51.91   2.07   
48.46   48.37   63.11   51.58   2.06   
48.84   48.16   63.64   51.83   2.09   
48.55   47.28   64.19   51.63   2.06   
48.71   47.86   63.33   51.72   2.09   
48.90   48.23   63.12   52.13   2.09   
48.31   48.41   62.96   51.66   2.05   
48.60   48.22   63.31   51.70   2.07   
48.21   48.17   64.33   51.78   2.05   
48.62   48.15   64.22   51.55   2.09   
48.80   48.50   62.31   51.89   2.12   
48.09   47.23   57.73   50.95   2.04   
47.93   48.34   63.08   51.60   2.03   
48.41   48.25   64.15   51.85   2.07   
49.09   48.28   64.67   49.30   2.08   
46.66   47.32   60.41   50.67   2.05   
46.85   45.85   62.62   47.36   2.16   
46.28   45.22   49.28   39.80   2.03   
40.78   43.97   52.96   47.40   1.80   
45.43   45.83   56.05   47.98   1.90   
47.37   47.03   61.41   51.13   2.00   
47.69   48.49   61.43   50.32   2.02   
47.63   46.76   63.31   48.42   2.03   
48.72   48.29   59.73   52.02   2.01   
47.25   47.95   61.18   51.53   2.05   
48.82   45.56   60.38   47.47   2.18   
42.79   44.78   58.01   51.57   1.91   
46.81   48.41   62.08   51.96   2.07   
47.62   45.53   60.16   50.32   1.98   
46.95   45.94   64.28   49.75   1.98   
49.03   48.11   64.00   51.80   2.10   
48.80   48.12   63.49   51.66   2.07   
48.55   48.16   63.41   51.98   2.05   
48.38   48.57   63.06   51.78   2.05   
47.96   48.25   64.03   51.92   2.07   
49.17   47.61   64.10   51.90   2.11   
49.01   47.73   63.74   51.89   2.08   
48.09   47.56   63.73   51.77   2.04   
47.35   46.06   55.82   47.83   1.94   
46.14   44.61   57.55   50.60   1.96   
49.10   47.45   64.08   51.97   2.01   
48.18   48.02   63.56   51.44   2.06   
48.38   47.81   59.16   48.96   2.06   
42.69   46.51   59.19   43.13   2.05   
40.17   44.67   51.35   45.94   1.79   
44.91   41.85   51.69   47.86   2.17   
45.51   43.62   61.94   43.23   2.03   
43.73   42.85   52.68   47.53   1.98   
46.04   44.74   58.01   46.38   2.06   
45.64   46.62   52.57   48.89   1.97   
46.03   45.61   56.47   46.65   2.02   
47.67   45.73   55.67   48.91   2.17   
46.27   45.23   57.17   50.30   1.94   
45.73   47.86   55.72   48.36   2.01   
47.41   46.92   63.91   51.37   1.98   
47.99   47.98   62.55   52.24   2.10   
48.69   47.68   63.67   51.22   2.05   
48.29   47.53   63.66   51.56   2.04   
48.32   48.17   63.24   50.82   2.09   
48.69   46.12   64.29   48.23   2.09   
45.34   46.61   57.37   51.01   1.97   
46.65   48.02   59.96   51.74   1.95   
48.51   47.23   54.35   47.17   2.06   
45.92   45.56   52.92   49.47   1.98   
47.75   46.20   60.82   49.21   2.01   
48.68   47.82   63.76   49.34   2.02   
47.10   46.23   61.49   45.25   2.14   
45.34   48.77   60.82   48.96   1.94   
46.95   48.40   64.04   51.02   2.13   
48.47   45.69   64.69   44.71   2.13   
45.71   47.89   63.59   48.54   1.93   
48.48   46.85   51.28   48.60   2.14   
49.19   43.41   56.11   49.53   2.18   
48.30   45.33   61.40   51.20   1.96   
48.78   47.85   62.15   49.80   2.00   
45.96   47.72   58.61   47.81   2.02   
48.59   47.64   60.04   50.09   2.20   
45.92   46.56   53.98   48.89   1.90   
47.18   46.15   61.06   51.65   1.96   
47.93   47.41   64.02   50.57   2.09   
46.66   46.16   62.19   51.81   1.93   
48.17   47.38   61.97   51.19   1.98   
47.34   48.69   59.93   51.73   1.96   
48.87   46.81   62.86   49.04   2.14   
46.95   46.67   58.03   50.61   2.10   
47.71   48.06   57.50   47.36   2.17   
46.45   44.22   61.41   51.12   1.94   
48.43   45.89   62.96   50.46   2.05   
46.39   48.27   58.39   50.74   1.91   
45.96   47.37   63.07   51.85   1.87   
47.98   48.43   64.46   52.06   1.99   
49.21   48.15   64.40   52.19   2.05   
46.72   46.63   63.71   52.01   1.91   
48.90   47.79   63.78   51.83   1.99   
48.19   48.74   63.81   51.68   2.03   
48.44   44.92   59.89   47.55   1.98   
47.06   46.31   55.31   50.28   2.03   
