N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
29.79   47.09   48.42   51.37   1.24   
46.63   48.21   58.07   51.48   1.97   
48.69   48.37   60.20   51.15   2.10   
47.59   45.92   65.17   48.05   1.98   
46.09   47.70   64.45   48.03   1.95   
45.95   45.78   54.03   47.44   2.04   
44.96   44.62   54.36   51.77   1.88   
46.24   47.41   61.10   52.10   1.96   
45.73   48.41   54.57   51.41   1.97   
47.45   46.06   55.65   47.65   2.02   
47.16   47.93   52.07   47.76   2.12   
46.40   48.50   65.45   49.57   2.01   
48.56   46.61   64.36   52.52   2.10   
48.44   46.67   62.83   50.42   2.10   
45.58   45.52   55.85   46.51   1.93   
44.90   47.84   58.35   49.84   2.01   
47.36   45.89   63.09   51.88   2.08   
48.00   48.96   64.50   52.38   2.08   
48.84   48.80   63.88   51.82   2.04   
48.68   48.53   64.39   52.29   2.09   
48.83   48.56   65.90   52.73   2.11   
49.16   48.53   65.38   52.63   2.10   
49.14   47.69   64.62   52.03   2.10   
48.37   48.82   64.55   51.90   2.04   
48.00   48.80   64.15   50.95   1.96   
46.85   47.73   61.22   52.01   2.05   
47.98   48.81   64.54   49.22   2.11   
49.14   48.75   55.26   50.57   2.09   
48.03   46.66   62.27   49.11   2.04   
47.13   47.13   62.88   50.49   2.02   
46.74   47.89   64.38   50.01   1.98   
46.58   45.31   61.59   49.96   2.01   
46.26   47.68   56.95   49.44   2.03   
47.42   48.62   58.38   51.51   1.94   
47.85   47.85   63.66   49.31   2.03   
49.32   48.13   63.12   53.09   2.22   
45.44   47.29   56.52   49.68   1.90   
45.31   47.64   55.84   50.42   2.00   
48.26   45.61   61.12   52.48   2.08   
48.29   48.12   60.10   51.16   2.07   
47.27   47.34   62.78   49.35   2.10   
45.86   44.72   57.99   46.11   2.02   
47.02   46.37   61.09   49.14   1.97   
45.70   47.07   61.87   51.05   1.94   
44.83   44.36   57.61   45.93   2.14   
46.43   46.99   48.98   48.34   1.96   
45.44   45.92   57.08   50.02   2.02   
47.31   46.22   55.25   50.01   2.10   
46.46   44.89   51.66   46.19   2.12   
47.52   45.53   58.48   51.25   2.06   
47.90   45.95   63.31   48.67   2.00   
45.95   47.92   64.59   49.46   2.08   
46.59   42.37   56.94   50.92   2.14   
48.38   46.22   61.40   49.50   2.08   
48.38   47.83   64.05   49.23   2.05   
48.60   47.11   58.58   50.75   2.15   
48.50   45.66   53.64   47.24   2.16   
46.46   45.91   61.86   48.25   1.92   
46.19   48.69   64.99   52.54   1.94   
46.71   48.82   65.36   52.13   2.02   
49.12   48.28   65.06   51.35   2.19   
49.63   48.60   65.06   52.76   2.03   
49.17   47.11   57.47   52.46   2.11   
47.52   48.71   61.84   52.53   2.09   
44.01   46.42   62.84   50.28   1.91   
49.23   48.30   65.25   52.85   2.02   
48.39   47.03   64.90   49.95   2.15   
48.08   47.17   56.71   49.57   2.15   
46.14   46.62   66.01   49.32   1.95   
47.39   48.09   59.58   51.61   2.06   
48.80   47.30   62.30   50.69   2.01   
48.43   48.93   62.79   52.02   1.97   
48.15   47.39   63.06   49.50   2.03   
49.02   48.50   65.17   52.58   2.09   
49.38   48.14   66.28   51.95   2.10   
48.37   47.89   63.04   49.12   2.16   
46.11   47.68   62.14   45.44   2.06   
45.03   43.88   56.51   48.15   1.89   
44.94   47.14   58.91   49.81   2.06   
46.46   43.20   52.44   44.72   2.13   
47.21   45.09   57.99   48.39   2.03   
45.54   47.04   56.93   48.46   2.05   
46.07   46.87   54.08   48.89   1.95   
48.21   45.12   64.24   49.65   1.97   
46.35   48.28   58.50   50.11   2.01   
46.35   42.67   60.97   47.15   2.08   
46.27   45.99   61.89   48.88   1.98   
45.73   47.69   58.70   48.62   2.01   
47.44   48.18   55.80   48.52   2.15   
48.56   45.85   62.27   48.41   2.18   
44.68   46.03   56.32   48.31   1.95   
48.41   47.70   58.78   51.16   2.15   
48.99   45.22   63.08   53.30   2.05   
46.62   47.27   58.38   50.08   1.97   
46.94   49.11   63.67   52.68   1.94   
48.72   47.79   65.10   49.65   2.03   
48.50   45.40   52.92   51.62   2.17   
45.83   47.32   61.35   49.57   1.90   
48.60   48.78   58.48   52.71   2.09   
49.00   48.63   64.95   52.45   2.12   
