N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
23.19   47.92   43.45   52.19   0.94   
48.32   49.06   64.29   52.16   1.97   
48.46   48.65   64.52   52.52   2.08   
49.43   48.49   65.15   52.39   2.13   
49.43   47.83   64.94   52.36   2.11   
49.11   47.83   64.45   52.47   2.08   
48.14   49.05   64.34   52.06   2.03   
48.49   48.29   63.58   52.61   2.08   
49.02   48.57   64.40   52.32   2.09   
49.32   47.99   65.77   51.85   2.09   
49.22   48.15   65.59   51.93   2.09   
48.55   48.72   64.15   52.45   2.07   
48.63   48.59   63.56   52.62   2.08   
49.00   48.86   64.05   52.43   2.07   
48.59   47.95   63.36   51.78   2.13   
47.67   46.77   65.36   51.52   1.96   
48.59   47.98   65.20   51.71   1.99   
47.90   48.34   62.05   52.07   2.02   
46.44   48.30   62.48   50.69   1.98   
48.37   47.70   63.26   48.44   1.96   
48.12   47.82   61.35   49.45   2.12   
46.82   45.13   56.00   51.78   2.07   
48.63   46.40   63.92   49.33   1.99   
47.53   47.27   60.53   49.23   2.02   
48.37   47.70   65.86   51.28   2.10   
46.83   45.90   64.19   50.43   2.01   
46.62   47.46   57.87   52.03   1.97   
48.83   48.74   59.03   49.26   2.01   
44.69   44.97   57.97   52.31   2.05   
48.44   47.67   62.37   49.71   2.11   
47.20   46.22   62.70   49.78   2.04   
46.94   47.17   59.48   50.01   2.08   
47.49   46.65   58.17   46.56   2.04   
42.81   45.26   55.25   49.02   1.95   
45.43   44.31   52.20   43.84   2.06   
43.16   45.83   53.27   47.77   1.92   
46.61   45.49   58.07   47.17   2.07   
46.62   46.00   54.52   47.04   2.06   
45.03   44.54   57.53   47.68   2.02   
46.86   48.25   56.99   53.05   2.01   
48.44   47.76   59.91   48.95   2.05   
48.60   48.32   63.37   51.40   2.04   
48.87   46.70   65.68   51.74   2.07   
48.22   48.62   65.52   52.11   2.05   
48.47   48.27   60.81   49.25   2.22   
45.71   46.26   51.94   44.35   1.97   
45.75   45.51   56.80   51.06   2.04   
47.86   47.59   58.74   51.38   1.96   
47.37   47.45   61.37   47.89   2.27   
47.51   47.49   50.20   45.99   2.12   
45.45   47.52   60.26   45.39   1.91   
44.92   46.19   54.73   49.12   1.90   
48.77   47.95   58.08   52.29   2.03   
48.49   48.41   56.99   52.01   2.00   
47.11   45.14   64.03   49.50   2.03   
47.07   47.27   54.56   49.09   1.96   
48.59   47.53   63.09   52.60   2.02   
48.78   48.68   62.91   52.13   2.01   
49.02   48.59   63.46   52.37   2.09   
48.66   48.32   64.57   51.67   2.06   
49.05   47.46   65.22   52.09   2.10   
49.23   48.34   64.90   52.31   2.10   
48.81   48.25   63.85   52.57   2.08   
48.35   47.34   62.27   51.90   2.04   
48.78   48.51   64.31   52.01   2.05   
48.91   48.05   64.24   52.23   2.07   
48.86   48.65   65.31   52.41   2.09   
48.08   47.99   64.86   52.11   2.04   
49.38   48.60   64.07   52.56   2.12   
49.23   48.15   64.40   51.99   2.08   
48.92   48.50   64.24   52.07   2.07   
48.25   49.06   64.10   52.15   2.04   
48.30   48.54   64.64   52.47   2.07   
49.34   48.34   64.95   52.29   2.11   
49.14   47.89   65.79   51.85   2.09   
49.43   48.09   64.36   52.61   2.13   
48.60   49.05   63.80   52.56   2.05   
48.44   49.03   63.49   52.34   2.12   
46.43   48.15   59.47   49.76   1.96   
49.03   48.08   65.81   49.80   2.01   
49.02   48.00   64.16   52.34   2.01   
48.90   48.60   64.41   52.90   2.03   
48.96   49.01   63.78   52.39   2.01   
49.06   48.78   63.31   52.63   2.01   
48.92   48.70   64.62   52.04   1.98   
48.83   48.23   64.95   52.20   1.99   
48.34   48.54   65.59   52.32   1.99   
48.88   48.66   64.80   52.46   2.03   
49.44   48.41   63.37   52.65   2.13   
49.34   48.05   61.60   51.96   2.09   
48.90   48.41   64.31   51.60   2.06   
48.35   48.46   64.36   52.15   2.03   
48.56   48.56   64.85   52.33   2.09   
47.39   47.38   65.26   52.03   2.01   
47.10   46.88   63.85   52.71   1.92   
49.01   47.96   64.55   52.22   2.00   
48.25   49.06   63.78   52.13   1.97   
47.98   47.90   63.21   52.52   2.05   
49.08   48.69   64.29   52.56   2.10   
48.96   47.89   65.50   51.64   2.08   
