N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
118.78   135.96   138.31   130.38   1.82   
115.29   124.69   122.21   102.48   2.01   
132.89   137.24   124.74   126.38   2.30   
115.53   138.54   129.24   130.58   1.70   
123.36   136.51   134.76   132.59   2.05   
126.48   135.49   121.88   132.75   1.88   
137.69   136.76   126.05   132.16   2.18   
121.31   134.46   121.02   126.59   1.78   
133.87   135.03   131.95   132.89   2.04   
133.23   136.51   132.68   124.61   1.94   
138.40   133.79   134.07   131.72   2.07   
133.66   133.44   126.53   130.94   2.00   
133.55   139.00   123.85   126.32   2.04   
132.47   136.29   127.99   130.29   1.95   
130.28   132.47   134.52   134.24   1.92   
136.76   136.40   134.76   135.21   2.14   
134.57   136.18   138.01   134.31   2.03   
136.40   135.82   135.14   129.11   2.00   
138.06   134.11   129.74   128.82   2.33   
128.93   133.10   135.23   134.22   1.99   
135.82   125.70   134.31   129.30   2.01   
137.21   131.90   131.59   112.72   2.03   
134.11   135.27   132.52   131.93   1.95   
134.68   136.07   131.00   121.02   1.98   
135.71   132.10   136.07   131.93   2.01   
122.24   137.80   132.09   131.23   1.88   
139.03   136.73   134.09   130.01   2.08   
137.94   126.57   136.92   131.21   2.11   
133.10   138.17   131.79   131.29   1.96   
134.46   129.23   127.12   133.49   2.00   
129.85   132.23   128.54   126.13   1.92   
130.28   136.76   131.07   135.90   2.03   
126.98   137.57   137.61   133.19   1.85   
137.72   137.32   131.07   136.14   2.07   
135.71   135.46   137.63   129.85   1.96   
132.99   138.06   138.73   136.75   2.05   
126.07   136.18   134.31   128.68   1.81   
136.18   126.88   138.08   131.93   2.11   
131.02   136.18   132.68   134.15   1.96   
136.76   135.93   130.73   131.07   2.02   
133.44   122.89   134.90   132.23   1.97   
140.37   137.10   125.27   133.40   2.17   
137.12   133.10   133.77   137.07   1.99   
131.35   135.82   130.29   130.94   2.03   
140.57   133.34   132.98   133.72   2.06   
128.12   136.15   132.09   132.82   2.15   
134.11   125.20   130.78   131.23   2.00   
135.71   131.69   131.65   129.30   2.20   
131.05   132.13   128.68   136.53   1.97   
133.90   138.51   134.99   129.87   1.96   
134.00   131.90   136.75   129.32   1.99   
136.18   127.49   117.94   132.82   2.13   
138.91   135.57   128.54   130.94   2.11   
138.91   117.20   132.02   130.65   2.05   
136.07   135.57   135.76   134.90   2.06   
136.29   138.51   136.36   132.96   1.97   
132.65   136.29   132.24   134.97   2.03   
140.48   132.76   135.90   135.06   2.08   
134.00   134.35   134.45   133.63   2.16   
138.06   132.89   128.96   130.31   2.06   
132.78   137.57   134.07   128.56   1.97   
134.92   128.29   129.80   134.15   2.11   
132.89   138.17   126.51   123.59   1.92   
136.98   131.69   136.22   133.26   2.09   
126.19   128.19   134.76   130.87   1.89   
136.65   133.21   127.39   134.00   2.30   
138.54   124.51   134.99   134.52   1.98   
132.57   131.69   135.74   133.93   2.02   
126.00   137.21   134.90   132.52   1.86   
118.95   136.76   136.68   132.89   1.98   
134.46   133.55   131.16   130.58   1.99   
126.57   136.07   132.59   130.38   1.90   
134.78   133.10   133.42   133.10   2.01   
123.09   135.57   133.49   132.52   1.85   
135.71   134.46   133.56   133.63   2.00   
126.98   131.48   128.61   132.52   1.92   
135.14   134.11   120.12   120.12   2.05   
130.61   131.79   131.36   134.24   2.18   
136.18   134.11   136.99   124.48   2.07   
131.38   136.87   131.43   118.34   2.03   
135.38   135.03   129.50   136.07   2.01   
135.25   135.93   139.62   127.86   1.96   
132.68   130.38   130.44   131.00   2.08   
138.17   134.68   131.36   132.38   2.01   
130.28   137.94   137.61   130.22   2.05   
139.84   133.79   132.30   131.65   2.04   
136.73   124.23   134.07   135.52   2.05   
132.13   135.35   131.86   132.91   2.20   
135.14   130.94   132.16   131.29   1.98   
133.34   119.67   120.54   132.02   1.91   
132.00   138.43   136.51   128.14   1.95   
137.80   126.88   136.07   135.14   2.19   
136.87   135.35   133.93   129.94   2.02   
137.69   125.79   134.22   131.95   2.02   
133.79   134.11   131.93   132.31   1.95   
132.57   135.00   132.82   124.35   1.94   
137.57   136.18   137.37   130.01   2.04   
130.61   141.46   135.14   131.79   1.96   
139.87   136.98   134.07   130.71   2.09   
133.21   131.05   128.61   132.45   1.94   
