N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
110.12   110.34   104.99   103.67   1.94   
115.70   110.27   106.91   103.18   2.02   
115.84   115.03   104.57   104.76   2.07   
114.03   113.80   105.22   104.85   2.02   
116.45   111.18   104.57   103.72   2.07   
116.29   116.19   104.95   105.03   2.03   
116.21   111.18   107.05   102.30   2.03   
115.61   117.30   104.57   103.53   2.03   
117.65   111.25   106.52   102.35   2.07   
115.76   114.77   103.99   104.53   2.02   
115.35   111.50   105.54   103.28   2.04   
117.47   112.35   103.72   104.43   2.06   
114.77   115.68   104.08   105.31   2.02   
114.77   110.96   107.00   102.78   2.01   
115.61   116.27   103.58   104.99   2.04   
117.73   113.47   106.80   103.10   2.04   
115.76   115.11   104.08   105.12   2.02   
115.37   111.64   106.49   103.18   2.03   
115.27   112.75   105.13   103.45   2.04   
114.77   116.37   104.95   105.44   2.01   
113.65   111.89   104.89   103.77   2.00   
116.03   116.71   104.66   105.35   2.08   
118.00   112.60   105.31   104.30   2.08   
116.27   115.78   103.98   103.28   2.06   
116.19   112.20   106.77   103.31   2.05   
114.62   117.38   105.03   103.63   1.99   
118.36   113.23   106.95   102.74   2.10   
115.37   116.11   104.62   102.18   2.00   
116.87   109.96   106.01   102.61   2.06   
116.45   116.53   103.50   105.21   2.07   
117.22   111.11   106.24   103.18   2.06   
115.70   116.45   103.98   105.45   2.02   
115.94   110.80   106.82   102.70   2.04   
114.85   111.89   104.49   104.99   2.00   
115.61   110.96   106.91   103.40   2.06   
116.21   113.96   105.03   105.54   2.05   
115.03   116.11   105.03   105.16   2.04   
115.03   113.47   106.11   102.78   2.02   
115.19   115.76   105.09   105.26   2.00   
114.05   111.33   107.25   103.31   2.01   
116.21   116.96   104.99   103.80   2.08   
117.49   111.35   107.37   103.32   2.08   
116.21   116.03   104.39   103.28   2.04   
116.03   111.42   104.26   104.35   2.03   
115.84   116.55   104.80   104.35   2.02   
115.78   111.89   107.09   103.18   2.02   
116.45   116.71   104.30   104.02   2.04   
116.03   110.10   106.43   103.01   2.07   
116.13   116.61   103.28   102.34   2.04   
117.82   111.11   107.04   103.63   2.09   
116.21   116.79   103.94   105.12   2.04   
114.68   111.27   106.62   102.70   2.02   
115.78   113.32   104.57   105.12   2.02   
115.70   111.89   107.48   103.18   2.04   
115.70   114.44   105.26   105.08   2.01   
115.68   111.51   105.16   104.67   2.03   
114.19   115.94   104.08   103.89   2.01   
114.19   110.36   105.77   104.16   2.06   
116.53   111.18   107.10   102.92   2.04   
112.75   114.93   104.95   105.12   2.00   
115.94   110.56   107.05   103.18   2.03   
115.78   116.61   103.77   103.22   2.03   
116.19   111.66   107.15   103.18   2.03   
115.61   116.77   105.36   103.63   2.02   
115.86   110.58   107.24   103.10   2.03   
115.86   116.11   105.18   104.12   2.04   
115.45   115.43   102.61   105.16   2.04   
116.61   112.05   105.54   103.27   2.05   
115.94   117.14   105.03   105.26   2.03   
115.76   111.50   105.73   103.54   2.03   
116.03   114.05   105.35   104.03   2.04   
114.70   109.14   106.58   103.40   2.00   
115.53   116.71   105.31   104.89   2.02   
115.94   109.89   106.58   103.31   2.03   
116.45   116.11   104.86   105.16   2.05   
113.07   112.03   106.53   102.82   1.99   
115.68   115.70   105.26   105.35   2.06   
116.79   114.95   105.03   103.63   2.02   
118.34   110.96   107.15   103.14   2.13   
110.10   117.30   105.09   104.39   1.93   
116.03   111.51   105.26   101.56   2.05   
115.78   116.61   104.76   104.62   2.03   
115.86   111.11   107.04   102.18   2.04   
115.92   116.45   105.22   105.22   2.04   
115.27   114.62   103.99   105.12   2.05   
113.72   115.94   104.48   105.13   1.99   
115.45   111.42   105.49   103.58   2.04   
116.45   116.61   105.18   105.35   2.04   
115.53   112.43   106.01   103.45   2.03   
116.37   115.86   103.63   104.80   2.04   
114.77   107.82   107.04   103.10   2.02   
115.37   116.53   105.08   105.41   2.02   
114.13   112.03   107.10   103.40   2.01   
116.11   116.55   104.70   105.13   2.04   
113.72   113.96   104.12   104.53   2.00   
116.87   113.65   106.52   103.22   2.10   
115.68   116.37   105.36   105.35   2.01   
115.43   111.20   107.24   103.22   2.07   
115.94   116.53   104.95   104.30   2.03   
115.78   111.57   106.10   101.27   2.04   
