N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
111.81   131.56   129.87   127.12   1.89   
116.87   129.75   132.02   116.39   1.71   
132.78   135.82   127.24   120.67   2.17   
128.02   134.22   136.12   134.24   1.99   
138.88   127.49   134.68   126.19   2.04   
125.30   134.00   131.79   118.51   1.85   
122.15   136.62   132.89   134.54   1.89   
135.49   134.35   130.07   129.24   2.07   
134.46   126.29   125.39   118.16   2.27   
122.33   126.29   138.96   136.44   1.75   
136.26   131.92   133.56   131.86   2.01   
131.92   129.96   134.76   129.94   1.92   
114.29   135.35   136.53   133.77   1.65   
136.54   118.25   135.66   131.59   2.00   
134.68   132.34   134.59   135.14   1.95   
135.49   133.23   134.59   130.36   2.08   
133.23   133.79   125.72   132.89   1.97   
125.39   131.25   130.94   134.90   1.91   
130.38   130.41   132.59   132.96   2.06   
135.14   135.60   133.03   131.29   2.01   
134.00   128.32   139.85   125.53   2.01   
133.68   138.63   136.92   135.28   1.99   
135.14   117.71   136.07   127.31   2.09   
132.34   134.00   135.83   133.86   2.14   
133.44   133.23   131.36   130.65   1.92   
135.46   130.94   124.80   135.14   2.27   
123.84   126.67   138.08   129.25   1.88   
135.93   133.90   135.66   133.49   1.98   
130.18   131.25   138.33   131.43   1.98   
133.44   117.12   130.51   135.74   1.99   
137.57   134.46   134.07   131.95   1.99   
134.24   120.57   134.76   133.33   2.06   
136.04   125.91   129.65   132.16   1.98   
136.18   118.07   137.14   129.45   2.03   
132.10   122.24   137.29   133.63   2.08   
136.51   122.04   130.58   122.33   2.02   
133.34   133.44   134.31   131.00   1.96   
119.05   135.38   122.39   115.77   1.93   
122.51   121.68   123.45   117.47   1.88   
120.74   127.10   131.64   113.05   1.94   
120.48   119.50   126.78   133.05   1.76   
133.68   134.78   130.22   130.29   1.97   
118.53   136.15   131.29   133.05   1.76   
129.43   126.38   126.32   130.16   2.14   
140.13   138.40   131.59   134.00   2.11   
121.03   123.27   125.72   128.54   1.78   
131.79   135.14   133.19   133.77   2.03   
134.24   136.85   130.16   133.56   1.97   
135.03   132.23   131.79   132.73   1.99   
135.25   136.87   129.30   122.76   2.01   
138.43   130.51   118.34   133.40   2.03   
114.62   136.73   129.52   134.24   1.65   
128.93   136.87   132.68   126.32   1.96   
131.46   136.40   132.45   116.45   1.93   
135.03   134.78   132.16   133.49   1.97   
134.68   133.02   128.20   132.82   1.98   
141.22   135.71   133.40   123.27   2.10   
135.71   132.78   140.28   123.33   2.14   
123.54   138.77   131.23   130.29   1.90   
135.68   134.81   137.07   129.02   1.97   
119.22   135.25   130.87   128.54   1.81   
136.29   137.69   133.77   130.22   2.08   
130.49   134.35   129.39   129.17   1.98   
133.23   137.21   139.46   131.29   1.97   
137.10   135.03   132.02   130.78   2.09   
127.10   137.69   133.63   135.14   1.81   
136.07   129.98   132.16   129.44   2.08   
132.68   139.14   134.00   132.73   1.95   
129.75   132.47   134.90   134.76   1.90   
135.71   125.39   133.49   136.12   1.99   
136.87   129.75   134.76   131.45   2.02   
127.29   133.10   135.90   131.52   1.89   
140.72   132.89   137.05   132.61   2.11   
134.14   122.89   138.71   132.31   2.00   
138.91   133.13   131.65   134.52   2.16   
135.49   131.79   131.21   134.00   2.14   
130.08   136.07   131.50   132.45   1.97   
132.99   132.89   136.68   131.23   1.98   
122.98   132.78   136.59   131.65   1.85   
137.83   133.34   134.76   124.28   2.03   
120.74   121.95   135.90   130.71   1.78   
133.79   131.79   134.67   135.90   2.00   
133.66   134.92   132.30   131.65   2.03   
130.74   123.84   137.37   133.19   1.96   
132.68   129.13   134.24   134.22   2.00   
136.29   132.99   135.06   133.63   2.02   
132.36   137.10   136.98   132.02   1.94   
135.14   132.99   136.92   134.52   1.98   
137.57   136.62   132.75   135.74   2.29   
134.89   119.14   133.79   129.09   1.97   
137.21   131.59   130.58   135.28   2.00   
135.25   133.66   131.72   132.38   2.05   
138.54   136.29   129.72   131.59   2.13   
139.75   134.68   137.29   127.73   2.03   
114.05   141.58   129.67   131.64   1.73   
119.30   140.72   129.17   129.87   1.83   
134.22   131.59   132.36   130.44   2.23   
133.13   134.22   128.82   133.63   2.04   
121.49   118.88   125.33   126.38   2.01   
122.71   122.31   119.71   119.99   2.04   
