N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
78.82   80.84   73.53   97.92   1.74   
93.52   91.58   117.76   102.04   1.99   
93.74   95.12   120.97   102.38   2.03   
95.01   93.73   121.22   100.97   2.01   
95.41   94.23   119.04   101.10   2.02   
95.23   95.14   121.38   102.70   1.98   
93.30   94.96   121.77   100.34   1.98   
96.16   92.76   119.69   102.74   2.06   
96.09   94.29   120.71   101.10   2.04   
93.78   95.19   121.08   103.41   1.97   
96.10   96.49   120.48   103.40   2.03   
94.17   93.30   121.96   102.52   2.01   
95.18   94.57   120.30   101.10   2.02   
95.30   93.78   119.47   103.45   2.00   
92.33   94.28   118.58   102.38   1.96   
95.35   95.46   120.31   101.39   2.03   
94.17   95.64   121.82   102.61   1.99   
95.53   95.41   121.57   101.82   2.12   
94.23   95.42   122.52   102.26   2.08   
96.14   96.68   120.90   100.16   1.99   
97.09   94.91   121.32   102.48   2.06   
95.30   94.56   118.75   101.14   2.02   
96.16   96.56   120.18   100.89   2.04   
96.21   94.45   120.48   103.36   2.10   
95.12   93.68   121.28   102.64   2.01   
93.79   95.41   122.08   101.91   2.00   
94.40   95.12   118.64   101.26   2.00   
96.34   93.68   118.16   102.52   2.08   
94.12   94.11   119.17   103.63   2.07   
96.34   96.49   118.93   103.32   2.03   
96.03   93.13   120.73   102.12   2.04   
96.09   93.19   119.45   102.44   2.04   
93.56   95.35   120.25   102.48   1.98   
96.20   94.02   121.02   102.79   2.11   
96.10   95.75   120.84   102.44   2.00   
95.82   96.38   118.93   102.74   2.02   
96.16   94.96   119.99   102.61   2.04   
95.30   94.39   118.87   102.48   2.02   
95.30   94.33   120.37   102.08   2.02   
94.45   92.27   119.75   102.26   2.00   
95.18   95.19   120.79   102.39   2.04   
92.44   95.07   121.63   102.61   1.96   
95.23   95.01   120.96   100.76   2.08   
94.17   93.35   121.38   102.57   1.98   
94.17   94.44   116.56   102.57   2.02   
95.35   94.56   119.34   102.13   1.99   
96.96   92.81   121.09   102.04   2.06   
95.01   94.45   120.71   101.92   2.11   
93.79   94.45   119.45   101.88   1.99   
91.48   94.56   121.52   101.14   1.95   
93.52   95.30   119.75   103.05   2.03   
95.01   95.75   119.71   103.45   2.00   
95.19   95.28   122.21   102.30   2.01   
94.89   94.57   119.52   102.64   2.02   
95.35   92.87   120.97   103.40   2.03   
93.90   94.02   121.21   103.71   1.96   
95.86   94.73   122.33   103.49   2.04   
92.91   93.78   120.48   101.92   1.94   
95.52   94.00   120.31   101.22   2.03   
95.92   93.56   120.07   103.36   2.03   
95.35   94.07   118.69   102.34   2.03   
95.07   95.24   120.60   102.61   2.02   
94.51   92.69   120.18   103.50   1.97   
95.98   94.17   121.27   103.40   2.11   
95.46   94.24   120.60   103.40   2.03   
96.21   96.32   121.46   101.31   2.00   
97.20   94.23   120.48   102.22   2.06   
95.35   94.85   119.69   103.14   2.11   
95.12   95.64   122.70   102.17   2.05   
94.95   93.40   118.58   103.77   2.00   
94.61   95.35   122.15   101.43   2.09   
94.44   95.47   122.88   103.14   2.08   
95.19   95.23   120.43   103.63   2.03   
94.96   94.95   121.90   102.43   2.01   
95.00   95.30   120.18   100.75   2.02   
95.28   95.35   121.40   102.13   2.02   
95.24   95.46   119.58   102.38   2.02   
95.30   95.30   122.25   101.27   2.02   
94.06   92.97   120.90   102.18   2.00   
95.53   94.33   119.23   102.65   2.06   
95.23   95.30   122.45   102.39   2.01   
95.41   95.41   119.94   101.35   2.02   
94.33   95.12   122.27   102.60   2.00   
96.09   96.32   118.18   103.40   2.01   
96.27   95.41   121.84   101.65   2.04   
95.30   93.08   106.39   99.99   2.02   
95.18   93.85   120.66   102.26   2.06   
95.12   93.68   119.58   101.78   2.02   
94.84   93.62   117.76   94.82   2.09   
91.33   89.93   110.70   95.39   2.01   
96.21   96.27   118.40   101.39   2.04   
93.90   94.51   119.51   102.04   2.01   
96.56   94.29   119.99   102.61   2.07   
96.14   94.23   120.12   101.92   2.06   
92.44   94.56   121.28   102.56   2.05   
95.12   95.41   121.65   100.58   2.02   
95.12   95.64   121.15   102.44   2.02   
95.19   94.28   117.47   102.13   2.03   
95.07   95.41   120.60   102.70   2.01   
95.19   93.23   118.47   102.92   2.05   
