N=1073741824
GB=9.22
threads=56
Copy    Scale   Add     Triad
58.17   58.20   63.72   63.64   
58.20   58.27   63.70   63.60   
58.17   58.26   63.70   63.62   
58.19   58.24   63.72   63.56   
58.22   58.23   63.62   63.62   
58.22   58.14   63.71   63.59   
58.19   58.25   63.66   63.61   
58.20   58.21   63.73   63.60   
58.29   58.20   63.74   63.61   
58.17   58.27   63.71   63.59   
58.23   58.25   63.70   63.62   
58.24   58.20   63.68   63.62   
58.21   58.26   63.66   63.62   
58.24   58.28   63.70   63.58   
58.17   58.20   63.68   63.64   
58.26   58.25   63.70   63.61   
58.25   58.25   63.70   63.63   
58.24   58.21   63.69   63.60   
58.27   58.22   63.65   63.61   
58.22   58.24   63.71   63.59   
58.19   58.26   63.68   63.61   
58.23   58.28   63.72   63.63   
58.25   58.25   63.67   63.63   
58.22   58.22   63.69   63.56   
58.19   58.32   63.70   63.59   
58.24   58.19   63.65   63.57   
58.27   58.29   63.61   63.61   
58.18   58.29   63.70   63.63   
58.28   58.29   63.69   63.62   
58.21   58.25   63.70   63.61   
58.20   58.20   63.69   63.62   
58.26   58.21   63.69   63.64   
58.21   58.26   63.68   63.60   
58.17   58.31   63.72   63.60   
58.21   58.26   63.68   63.64   
58.26   58.32   63.70   63.61   
58.23   58.23   63.67   63.61   
58.19   58.21   63.67   63.63   
58.23   58.25   63.69   63.61   
58.23   58.25   63.70   63.64   
58.19   58.25   63.70   63.64   
58.21   58.22   63.69   63.59   
58.23   58.24   63.69   63.60   
58.24   58.21   63.66   63.58   
58.23   58.27   63.68   63.63   
58.20   58.24   63.72   63.57   
58.22   58.22   63.70   63.63   
58.21   58.26   63.70   63.55   
58.16   58.25   63.70   63.65   
58.26   58.22   63.72   63.62   
58.19   58.25   63.67   63.63   
58.22   58.18   63.66   63.64   
58.22   58.27   63.70   63.63   
58.19   58.18   63.73   63.61   
58.21   58.30   63.69   63.57   
58.23   58.30   63.73   63.64   
58.27   58.23   63.71   63.64   
58.26   58.22   63.72   63.63   
58.25   58.23   63.69   63.60   
58.24   58.23   63.73   63.63   
58.25   58.29   63.72   63.65   
58.24   58.26   63.71   63.61   
58.31   58.22   63.67   63.62   
58.22   58.25   63.75   63.66   
58.21   58.28   63.71   63.57   
58.24   58.28   63.65   63.46   
58.17   58.03   63.70   63.63   
58.25   58.33   63.67   63.64   
58.27   58.23   63.53   63.60   
58.23   58.18   63.64   63.57   
58.24   58.25   63.65   63.60   
58.25   58.21   63.69   63.62   
58.22   58.25   63.69   63.60   
58.27   58.26   63.67   63.58   
58.24   58.31   63.72   63.60   
58.25   58.26   63.70   63.62   
58.19   58.20   63.67   63.62   
58.32   58.20   63.70   63.62   
58.21   58.26   63.71   63.62   
58.21   58.28   63.68   63.58   
58.20   58.20   63.62   63.55   
58.26   58.24   63.73   63.60   
58.27   58.22   63.69   63.55   
58.26   58.21   63.68   63.57   
58.17   58.23   63.66   63.63   
58.26   58.28   63.65   63.64   
58.21   58.20   63.71   63.63   
58.24   58.24   63.71   63.63   
58.15   58.21   63.68   63.62   
58.23   58.25   63.66   63.59   
58.28   58.29   63.72   63.60   
58.21   58.28   63.70   63.63   
58.22   58.27   63.70   63.60   
58.19   58.26   63.68   63.63   
58.23   58.24   63.69   63.61   
58.21   58.23   63.70   63.51   
58.22   58.25   63.62   63.62   
58.21   58.25   63.68   63.55   
58.23   58.25   63.66   63.60   
58.23   58.22   63.60   63.49   
