N=1073741824
GB=9.22
threads=56
Copy    Scale   Add     Triad
215.67   216.28   265.56   265.21   
216.97   216.22   265.92   264.27   
216.70   216.51   265.50   264.95   
217.09   216.61   265.85   264.46   
217.12   216.04   266.15   264.55   
216.68   216.54   266.57   264.56   
216.91   216.19   266.36   263.92   
216.54   216.04   266.74   265.11   
216.73   216.45   266.08   265.16   
216.80   216.20   266.45   264.78   
216.01   216.02   265.91   264.87   
216.69   216.37   266.23   264.06   
216.72   216.54   266.32   264.61   
216.67   216.55   265.50   264.88   
216.34   216.54   266.08   264.82   
216.27   216.48   265.52   264.68   
215.99   216.15   265.85   264.50   
216.68   216.24   266.11   264.85   
216.42   215.91   265.39   264.71   
215.86   214.46   266.26   264.27   
216.50   215.70   266.12   264.47   
216.44   215.48   265.84   264.66   
216.09   215.79   266.21   263.79   
216.26   216.34   264.99   263.87   
216.15   216.10   265.95   264.30   
215.88   216.24   266.57   264.55   
216.42   216.03   266.09   265.24   
216.48   215.93   265.89   264.66   
216.27   216.17   265.96   265.00   
216.48   215.73   266.08   264.78   
216.25   215.38   265.52   264.78   
216.43   216.16   266.47   264.88   
216.69   215.59   266.36   264.38   
216.38   215.81   265.66   264.61   
216.50   216.00   266.50   264.03   
216.43   215.92   265.81   264.89   
216.45   216.17   265.35   264.63   
216.14   216.23   266.24   265.04   
216.55   215.89   265.97   264.89   
216.47   216.18   266.61   264.75   
216.63   215.85   266.42   264.59   
216.49   216.38   265.62   264.83   
216.64   216.07   266.14   265.11   
216.37   216.21   265.71   264.63   
216.58   216.13   266.02   264.62   
216.62   216.08   266.25   264.65   
216.43   216.04   265.82   264.83   
216.56   216.37   265.74   264.82   
216.22   216.12   266.40   265.11   
216.59   216.28   265.50   264.84   
216.67   216.39   265.96   264.79   
216.37   216.19   265.79   265.22   
216.45   215.63   265.96   264.35   
216.40   215.88   266.56   264.17   
216.73   215.97   266.69   264.28   
216.25   215.69   266.35   264.93   
216.31   216.20   266.11   265.14   
216.23   215.57   265.84   264.99   
216.29   216.34   266.04   264.91   
216.40   216.36   265.63   264.51   
216.33   215.83   266.49   264.42   
216.24   215.86   265.73   264.58   
216.91   216.72   265.95   264.51   
216.90   216.17   266.72   264.23   
216.58   216.59   266.38   264.93   
216.60   216.40   266.26   265.10   
216.44   216.23   265.98   264.11   
216.60   216.36   265.67   264.88   
216.56   216.20   266.10   264.22   
216.55   216.18   265.85   264.90   
216.73   216.52   265.58   264.64   
216.76   215.99   265.93   264.11   
216.74   216.40   266.03   264.34   
216.51   216.32   266.01   264.76   
216.83   216.42   266.28   264.75   
216.58   216.57   266.01   264.62   
216.44   216.50   265.79   264.40   
216.82   215.80   266.01   264.75   
216.93   216.40   266.13   264.34   
216.74   216.57   266.13   264.61   
216.46   216.54   266.55   264.58   
216.82   215.70   266.36   264.72   
216.66   216.45   265.86   264.75   
216.52   216.37   266.04   264.09   
215.81   216.41   266.17   265.05   
216.82   216.43   266.48   264.64   
216.50   216.29   266.43   264.40   
216.77   216.07   266.06   265.04   
216.45   216.20   265.83   264.37   
216.69   215.94   265.94   264.58   
216.72   216.49   266.12   264.29   
216.67   215.90   265.72   264.92   
216.72   216.35   266.07   265.11   
216.67   216.56   266.00   265.19   
216.93   216.94   266.27   264.94   
216.65   216.50   266.22   264.65   
216.52   216.09   266.10   264.63   
216.16   216.09   266.08   264.37   
216.93   216.70   266.11   264.65   
217.04   216.81   266.51   264.33   
