N=1073741824
GB=9.22
threads=56
Copy    Scale   Add     Triad
236.27   237.60   296.92   294.03   
237.62   237.81   296.73   294.06   
237.08   237.27   296.04   294.03   
237.85   237.30   296.07   294.23   
237.78   237.25   297.27   293.43   
237.84   237.11   297.62   294.13   
237.32   237.77   296.79   294.05   
237.11   237.23   297.24   292.90   
235.92   237.64   296.03   292.83   
236.66   236.88   296.67   293.83   
238.13   237.50   296.06   292.89   
237.42   237.72   296.31   293.04   
237.31   238.04   295.90   293.16   
237.95   237.50   297.40   292.82   
237.83   236.83   296.44   293.65   
237.45   237.10   296.42   293.49   
236.96   237.12   296.37   292.28   
237.55   236.97   295.75   294.53   
236.55   237.55   295.69   293.47   
237.31   236.76   296.04   293.11   
236.97   237.03   297.37   292.97   
237.16   236.09   296.16   293.04   
237.63   237.50   296.34   292.45   
237.06   237.68   296.98   293.11   
238.13   237.00   297.00   293.99   
237.99   237.31   297.03   293.80   
237.55   237.46   297.01   293.09   
238.01   237.63   296.83   293.74   
237.94   237.51   296.36   294.13   
237.48   238.06   296.20   294.03   
237.89   237.59   297.21   294.37   
238.25   237.88   296.26   294.04   
238.16   237.66   297.34   294.33   
237.94   237.33   297.51   293.34   
237.04   237.36   297.78   294.33   
238.06   237.82   297.28   294.16   
238.08   237.76   297.42   294.38   
237.97   237.59   296.67   294.16   
237.16   237.71   296.98   294.40   
238.02   238.01   297.71   294.26   
237.84   237.80   297.35   294.29   
238.33   237.61   296.68   294.16   
238.02   237.71   297.29   294.12   
237.94   237.55   297.68   293.90   
238.03   237.59   297.44   294.25   
238.21   237.85   297.51   294.11   
238.06   237.66   297.83   293.84   
237.96   237.77   297.81   293.57   
238.32   237.71   297.46   293.49   
237.46   237.93   296.61   294.19   
238.02   237.49   297.53   294.01   
238.09   237.59   297.71   293.79   
237.31   237.98   296.83   294.44   
237.92   237.15   297.52   293.91   
238.03   237.45   297.79   293.63   
238.11   237.42   296.91   293.99   
238.48   237.47   297.66   293.88   
237.74   238.13   297.69   294.21   
238.08   237.42   296.95   294.05   
238.13   237.17   297.70   293.96   
238.24   237.37   297.73   294.49   
238.55   238.22   297.49   293.50   
237.42   237.78   297.23   294.16   
238.30   237.56   297.08   294.28   
238.33   237.77   296.38   294.24   
237.91   237.40   297.50   294.09   
238.21   237.70   294.36   293.76   
238.35   237.55   297.57   294.24   
238.35   237.99   297.71   294.40   
238.29   237.92   297.46   294.07   
237.80   237.82   297.58   294.37   
238.29   237.76   297.51   293.63   
238.16   237.50   297.34   294.25   
237.93   237.43   297.71   294.24   
237.88   237.81   297.40   293.93   
237.88   236.65   297.44   294.06   
238.15   237.87   296.39   293.82   
238.16   237.95   297.17   294.15   
237.91   237.28   296.62   293.98   
238.16   237.66   296.92   293.79   
238.47   238.07   297.23   294.36   
238.18   237.74   297.60   294.01   
238.26   237.51   297.49   293.37   
238.11   237.61   297.34   293.77   
237.07   237.79   297.11   293.91   
237.97   238.08   297.47   293.54   
238.01   237.92   297.52   294.25   
237.62   237.48   296.53   293.72   
238.61   237.76   297.61   294.01   
238.29   237.22   297.02   292.72   
238.15   237.83   297.82   294.01   
238.41   237.74   297.16   293.86   
238.20   237.93   297.55   294.17   
238.49   237.61   297.54   294.38   
238.25   237.85   297.39   293.38   
238.19   238.14   297.27   294.17   
238.04   237.88   297.14   294.36   
238.55   237.61   297.53   294.18   
238.21   237.83   297.36   293.57   
237.78   237.84   297.12   294.40   
