N=1073741824
GB=9.22
threads=56
Copy    Scale   Add     Triad
85.12   85.09   99.09   99.01   
85.11   85.13   99.16   98.96   
85.17   85.09   99.04   99.16   
85.05   85.07   99.16   99.12   
84.91   84.97   99.14   99.05   
85.18   85.22   99.12   99.16   
85.06   85.11   99.13   99.02   
85.22   85.21   98.98   99.00   
85.07   85.16   99.13   99.13   
85.31   85.17   99.16   99.02   
85.11   85.07   99.00   98.97   
85.10   85.16   99.04   99.03   
85.13   85.00   99.04   99.10   
85.14   85.19   99.10   99.00   
85.16   85.11   99.02   98.97   
85.05   85.12   99.03   98.96   
85.16   85.08   98.65   99.07   
85.07   85.09   99.07   99.05   
85.21   85.08   99.09   98.94   
85.06   85.15   99.01   98.49   
85.16   85.09   99.13   98.86   
85.04   85.01   99.04   98.91   
85.18   85.00   98.95   99.01   
85.06   85.09   99.02   99.00   
85.21   85.01   99.12   99.01   
85.11   85.08   98.94   98.97   
85.07   85.10   99.10   99.00   
85.16   85.14   99.16   98.97   
85.18   85.12   99.03   99.07   
85.16   85.04   99.10   99.07   
85.12   85.01   99.04   98.99   
85.06   85.07   99.05   98.99   
85.04   85.13   99.06   99.03   
85.04   85.06   99.02   99.03   
85.16   85.15   99.01   98.99   
85.17   85.22   99.05   99.03   
85.20   85.16   99.14   99.04   
85.09   85.13   99.04   99.09   
85.20   85.04   99.11   99.08   
85.12   85.15   99.05   99.00   
85.15   85.06   99.00   99.00   
85.03   85.15   99.09   98.98   
85.09   85.17   99.00   99.08   
85.17   85.08   99.02   98.91   
85.12   85.06   99.00   99.01   
85.22   85.02   99.02   98.96   
85.11   85.13   99.03   99.13   
85.18   85.06   98.85   99.09   
84.99   84.99   98.67   99.05   
85.21   85.02   99.03   99.06   
85.03   85.12   99.02   98.97   
85.15   85.16   99.00   98.89   
85.20   85.02   98.88   99.09   
85.13   85.19   99.06   99.06   
85.11   85.07   99.09   99.09   
85.10   85.07   99.07   99.00   
85.18   85.09   99.03   98.96   
85.15   85.13   98.82   98.95   
85.07   85.15   99.04   98.80   
84.99   85.15   99.06   99.04   
85.16   85.15   98.97   98.95   
85.06   85.10   99.12   98.94   
85.08   85.22   99.19   98.93   
85.14   85.04   98.75   99.00   
85.30   85.08   99.11   99.02   
85.15   85.22   99.03   99.07   
85.16   85.18   98.93   99.06   
85.06   85.16   98.97   98.98   
85.22   84.92   98.95   98.87   
85.16   85.15   99.03   98.99   
85.10   85.18   99.02   99.03   
85.12   85.03   99.01   99.04   
85.11   85.09   99.02   99.03   
85.01   85.13   98.99   98.89   
85.03   85.13   99.01   98.97   
85.06   84.96   98.96   99.03   
85.21   85.14   99.14   99.03   
85.04   85.15   99.05   99.04   
85.13   85.12   99.06   98.97   
85.05   85.11   98.96   99.05   
85.11   85.12   98.96   99.01   
85.26   85.17   99.08   99.04   
85.12   85.10   98.65   99.09   
85.16   85.03   99.07   98.91   
85.25   85.10   99.06   99.02   
85.11   85.11   98.97   99.02   
85.21   85.11   98.96   99.08   
85.25   85.08   98.93   99.04   
85.15   85.24   99.09   99.03   
85.09   85.10   98.98   98.94   
85.02   85.23   98.99   99.05   
85.15   85.11   99.00   98.85   
85.07   85.05   99.10   99.02   
85.03   85.03   99.00   99.02   
85.09   85.08   98.92   98.87   
85.11   85.05   99.02   99.10   
85.11   85.06   98.95   98.88   
85.19   85.17   99.00   99.00   
85.10   85.10   99.11   99.10   
85.10   85.02   99.02   98.81   
