N=1073741824
GB=9.22
threads=56
Copy    Scale   Add     Triad
117.41   117.75   137.83   137.37   
117.64   117.66   137.85   137.78   
117.01   117.86   137.77   137.88   
117.86   117.34   137.60   137.55   
117.78   117.69   137.97   137.62   
117.46   117.75   138.07   137.92   
117.70   117.68   137.75   138.03   
117.76   117.81   137.86   137.65   
117.67   117.78   138.05   138.00   
117.97   117.78   137.58   138.11   
117.59   117.63   137.82   137.97   
117.67   117.58   137.98   138.03   
117.60   117.50   137.73   137.97   
117.78   117.70   138.13   137.74   
117.33   117.75   137.98   137.65   
117.81   117.53   137.88   137.84   
117.48   117.49   137.58   137.63   
117.84   117.70   137.98   137.85   
117.71   117.60   137.96   137.72   
117.79   117.54   137.94   137.76   
117.68   117.44   137.79   137.70   
117.81   117.66   137.89   137.90   
117.66   117.30   137.92   137.94   
117.63   117.60   137.84   137.90   
117.88   117.55   137.92   137.81   
117.59   117.62   137.86   137.81   
117.61   117.72   137.85   137.92   
117.83   117.36   138.07   137.81   
117.72   117.64   137.99   137.91   
117.81   117.73   137.71   137.91   
117.59   117.50   138.06   137.60   
117.57   117.64   137.96   137.88   
117.41   117.66   137.52   137.70   
117.54   117.50   138.01   137.93   
117.88   117.38   137.96   137.28   
117.63   117.61   137.92   137.88   
117.74   117.59   138.04   137.79   
117.70   117.44   137.66   138.02   
117.72   117.56   137.63   137.65   
117.59   117.53   137.88   137.91   
117.64   117.53   137.85   137.87   
117.56   117.50   137.98   138.03   
117.89   117.69   138.05   138.01   
117.74   117.59   137.94   138.12   
117.76   117.64   137.92   138.07   
117.74   117.55   137.91   137.36   
117.77   117.37   138.13   137.95   
117.76   117.43   137.56   137.86   
117.58   117.43   137.79   137.98   
117.84   117.45   137.67   137.84   
117.49   117.67   137.96   138.08   
117.82   117.68   137.82   138.08   
117.77   117.45   137.97   138.10   
117.05   117.64   137.89   137.95   
117.79   117.65   137.45   137.89   
117.83   117.72   137.98   138.27   
117.55   117.80   137.92   138.00   
118.00   117.58   138.05   137.93   
117.68   117.56   137.81   137.95   
117.54   117.70   138.15   137.86   
117.75   117.71   137.91   137.76   
117.78   117.58   137.91   138.03   
117.80   117.75   137.90   138.20   
117.82   117.64   137.51   137.96   
117.62   117.50   138.04   138.15   
117.52   117.50   137.99   137.73   
117.76   117.49   137.77   137.92   
117.91   117.41   137.46   137.93   
117.67   117.75   137.65   138.04   
117.71   117.51   137.86   137.84   
117.72   117.47   137.91   137.80   
117.61   117.62   137.98   137.92   
117.73   117.59   138.01   137.90   
117.26   117.51   137.95   137.95   
117.70   117.42   137.90   138.04   
117.62   117.54   137.86   138.05   
117.81   117.62   137.88   138.07   
117.80   117.56   137.69   137.72   
117.68   117.81   137.77   137.95   
117.63   117.56   137.76   137.96   
117.56   117.69   137.77   137.95   
117.75   117.77   138.02   138.00   
117.49   117.43   137.76   137.71   
117.67   117.73   137.98   137.85   
117.80   117.71   137.95   137.76   
117.81   117.52   137.94   138.00   
117.51   117.70   137.68   137.86   
117.87   117.45   137.77   137.94   
117.58   117.72   137.76   138.05   
117.67   117.70   137.98   137.95   
117.77   117.59   137.49   137.85   
117.62   117.76   137.73   137.57   
117.71   117.60   137.92   137.98   
117.53   117.32   137.84   137.89   
117.62   117.60   137.66   137.96   
117.76   117.75   138.05   137.77   
117.77   117.63   137.97   137.79   
117.56   117.72   137.87   138.05   
117.88   117.68   137.90   137.48   
117.73   117.68   137.86   137.94   
