N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
48.72   49.17   67.68   54.86   1.97   
49.97   49.29   67.51   54.53   2.07   
49.86   49.50   68.26   54.57   2.07   
49.78   48.90   67.68   54.50   2.06   
49.74   49.63   68.22   54.52   2.09   
49.97   49.46   68.05   54.44   2.08   
49.94   49.75   67.65   54.94   2.08   
49.89   49.77   67.68   54.85   2.08   
50.00   49.10   67.74   54.57   2.08   
49.98   49.57   68.16   54.91   2.08   
50.00   49.53   67.80   54.76   2.07   
49.86   49.55   68.26   54.77   2.07   
49.80   49.38   68.26   54.90   2.07   
49.83   49.66   68.30   54.86   2.07   
49.75   49.69   68.13   54.21   2.06   
49.71   49.43   68.12   54.78   2.09   
49.69   49.44   67.76   54.37   2.07   
49.95   49.64   68.26   54.91   2.08   
49.81   49.74   68.10   54.62   2.08   
50.00   49.74   68.16   54.48   2.07   
49.86   49.72   68.34   54.61   2.07   
49.95   49.66   68.32   54.44   2.08   
49.80   49.21   67.21   54.91   2.08   
49.97   49.49   67.49   54.30   2.07   
49.83   49.78   67.66   54.79   2.06   
49.97   49.66   67.75   54.75   2.07   
49.37   49.54   68.33   54.93   2.07   
49.98   49.58   68.18   54.71   2.08   
49.81   49.52   68.28   54.72   2.07   
49.14   49.67   68.30   54.82   2.04   
49.73   49.64   67.63   54.35   2.08   
49.64   49.77   67.95   54.91   2.07   
49.97   49.71   67.99   54.89   2.08   
49.87   49.72   68.26   54.81   2.08   
49.91   49.37   68.30   54.62   2.07   
49.95   48.97   68.10   54.71   2.08   
49.95   49.72   68.16   54.62   2.07   
49.80   49.78   67.42   54.55   2.08   
49.98   49.69   68.28   54.62   2.08   
49.97   49.40   67.78   54.87   2.08   
49.95   49.64   67.66   54.78   2.07   
49.83   49.75   67.74   54.55   2.07   
49.81   49.50   68.32   54.79   2.07   
49.98   49.46   68.26   54.91   2.08   
49.98   49.57   67.74   54.87   2.10   
49.81   49.35   68.28   54.85   2.07   
49.66   49.73   68.34   54.66   2.06   
49.72   49.60   68.26   54.93   2.06   
49.72   49.75   68.16   54.92   2.10   
49.60   49.74   68.04   54.73   2.07   
49.89   49.48   68.36   54.61   2.08   
50.00   49.64   68.01   54.64   2.10   
49.97   49.63   68.32   54.37   2.08   
49.94   49.77   68.16   54.68   2.07   
49.84   49.69   67.49   54.26   2.07   
49.94   49.63   67.74   54.83   2.07   
49.97   49.60   67.12   54.94   2.08   
48.12   49.74   67.74   54.65   1.99   
49.71   49.75   67.57   54.77   2.06   
49.91   49.21   68.38   54.82   2.07   
49.71   48.71   67.80   54.93   2.07   
49.97   49.52   68.14   54.73   2.09   
49.80   49.72   68.18   54.91   2.07   
49.64   49.78   68.20   54.59   2.06   
49.69   49.63   68.07   54.83   2.09   
49.74   49.63   68.32   54.93   2.07   
49.84   49.11   66.94   53.81   2.14   
46.17   46.87   67.19   54.30   1.92   
49.86   49.53   68.28   54.62   2.07   
49.95   49.66   68.28   54.71   2.08   
49.98   49.72   67.82   54.66   2.08   
49.72   49.33   67.31   54.62   2.06   
49.83   49.75   67.74   54.79   2.08   
49.95   49.38   67.78   54.48   2.07   
49.94   49.64   67.76   54.63   2.08   
50.00   49.50   68.20   54.95   2.07   
49.87   49.55   67.99   54.79   2.07   
49.98   49.44   68.18   54.78   2.07   
49.78   49.64   67.86   54.94   2.07   
49.77   49.75   68.10   54.88   2.06   
49.63   49.03   68.28   54.70   2.07   
49.92   49.75   68.34   54.78   2.08   
49.56   49.34   68.07   54.76   2.07   
49.35   49.55   67.78   54.25   2.06   
49.48   48.94   66.13   52.04   2.15   
49.85   49.80   68.32   54.26   2.07   
49.98   49.64   68.28   54.51   2.07   
49.19   49.60   67.68   54.94   2.05   
49.81   49.29   67.46   54.93   2.07   
49.83   49.50   67.53   54.88   2.07   
49.85   49.72   67.32   54.83   2.07   
50.02   49.30   68.28   54.65   2.08   
49.97   49.43   68.13   54.84   2.08   
49.58   49.43   68.18   54.96   2.06   
49.40   49.32   68.22   54.85   2.05   
49.48   49.64   67.91   54.91   2.07   
49.64   49.54   68.02   54.46   2.08   
50.01   49.72   68.08   54.91   2.09   
49.86   49.72   68.30   54.75   2.08   
49.95   49.63   68.33   54.52   2.08   
